strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt4.0R,63,16.99,0.2697,0.397,1.65,6,-1.29,-13.6,0.23,0.99
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt3.0R,86,15.31,0.1781,0.384,1.44,6,0.56,-13.5,0.32,1.35
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt4.0R,86,15.28,0.1777,0.372,1.44,6,-3.01,-15.64,0.32,1.35
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt4.0R,65,15.18,0.2336,0.385,1.55,6,-3.1,-15.41,0.24,1.02
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF_none|tgt4.0R,65,15.18,0.2336,0.385,1.55,6,-3.1,-15.41,0.24,1.02
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF_none|tgt3.0R,87,14.55,0.1673,0.379,1.41,6,-0.2,-14.26,0.32,1.37
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt3.0R,87,14.55,0.1673,0.379,1.41,6,-0.2,-14.26,0.32,1.37
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt4.0R,87,14.52,0.1669,0.368,1.41,6,-3.77,-16.4,0.32,1.37
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF_none|tgt4.0R,87,14.52,0.1669,0.368,1.41,6,-3.77,-16.4,0.32,1.37
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF1D|tgt3.0R,47,14.35,0.3053,0.426,1.97,10,-0.4,-9.52,0.18,0.75
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF1D+12H|tgt3.0R,47,14.35,0.3053,0.426,1.97,10,-0.4,-9.52,0.18,0.75
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF_none|tgt3.0R,47,14.35,0.3053,0.426,1.97,10,-0.4,-9.52,0.18,0.75
BTC_SWING_4H_brk_dec_b70_r15|BTCD_bull|HTF1D+12H|tgt4.0R,46,14.12,0.307,0.391,1.79,7,-3.1,-12.2,0.17,0.74
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt3.0R,63,14.03,0.2227,0.397,1.54,6,-0.72,-13.6,0.23,0.99
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_bull|HTF1D+12H|tgt4.0R,19,13.76,0.7243,0.526,2.97,3,-1.78,-6.99,0.08,0.35
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF1D+12H|tgt3.0R,60,13.72,0.2286,0.383,1.61,12,-1.03,-12.8,0.22,0.96
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt2.5R,88,13.54,0.1539,0.386,1.38,6,1.29,-10.96,0.32,1.38
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF1D|tgt2.5R,48,13.42,0.2796,0.438,1.91,10,1.17,-8.56,0.18,0.77
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF1D+12H|tgt2.5R,48,13.42,0.2796,0.438,1.91,10,1.17,-8.56,0.18,0.77
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF_none|tgt2.5R,48,13.42,0.2796,0.438,1.91,10,1.17,-8.56,0.18,0.77
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+12H|tgt4.0R,27,13.21,0.4894,0.481,2.38,3,-2.33,-8.54,0.1,0.43
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF1D|tgt3.0R,61,12.96,0.2124,0.377,1.56,12,-1.79,-13.56,0.23,0.97
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF_none|tgt3.0R,61,12.96,0.2124,0.377,1.56,12,-1.79,-13.56,0.23,0.97
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF1D+12H|tgt4.0R,60,12.9,0.2151,0.367,1.57,12,-4.32,-14.37,0.22,0.96
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF1D+12H|tgt2.5R,61,12.85,0.2107,0.393,1.57,12,0.6,-11.29,0.23,0.97
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt2.5R,89,12.78,0.1436,0.382,1.35,6,0.53,-11.72,0.33,1.4
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF_none|tgt2.5R,89,12.78,0.1436,0.382,1.35,6,0.53,-11.72,0.33,1.4
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_bull|HTF_none|tgt4.0R,20,12.71,0.6356,0.5,2.58,3,-2.83,-8.04,0.09,0.36
