strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
BTC_SWING_4H_strict_combo_target3.0R,57,12.85,0.2255,0.404,1.58,8,-1.9,-13.02,0.21,0.9
BTC_SWING_4H_strict_combo_target4.0R,57,11.44,0.2006,0.386,1.52,8,-4.9,-14.59,0.21,0.9
BTC_SWING_4H_+HTF1D+body70_target4.0R,80,10.94,0.1368,0.35,1.31,9,-7.34,-19.97,0.29,1.26
BTC_SWING_4H_strict_combo_target2.5R,58,10.62,0.1831,0.397,1.46,9,-1.63,-13.52,0.21,0.91
BTC_SWING_4H_+HTF1D+ADX20_target3.0R,87,9.29,0.1068,0.345,1.22,8,-5.46,-20.21,0.32,1.37
BTC_SWING_4H_+HTF1D+body70_target3.0R,80,7.98,0.0997,0.35,1.23,9,-6.77,-19.97,0.29,1.26
BTC_SWING_4H_+HTF1D+range12_target4.0R,97,7.59,0.0782,0.33,1.18,6,-10.7,-23.33,0.36,1.52
BTC_SWING_4H_+HTF1D+12H+body60_target3.0R,95,7.51,0.079,0.337,1.18,6,-7.24,-21.3,0.35,1.49
BTC_SWING_4H_+HTF1D+12H+body60_target4.0R,95,7.47,0.0787,0.326,1.18,6,-10.81,-23.44,0.35,1.49
BTC_SWING_4H_+HTF1D+12H+ADX25_target4.0R,70,6.92,0.0989,0.329,1.21,10,-11.92,-23.65,0.26,1.1
BTC_SWING_4H_strict_combo_target2.0R,60,6.91,0.1152,0.417,1.3,9,-2.84,-12.59,0.22,0.94
BTC_SWING_4H_+HTF1D+body60_target3.0R,96,6.75,0.0703,0.333,1.16,6,-8.0,-22.06,0.35,1.51
BTC_SWING_4H_+HTF1D+body60_target4.0R,96,6.71,0.0699,0.323,1.16,6,-11.57,-24.21,0.35,1.51
BTC_SWING_4H_+HTF1D+range12_target3.0R,98,6.57,0.0671,0.337,1.15,6,-8.18,-22.24,0.36,1.54
BTC_SWING_4H_+HTF1D+12H+ADX25_target3.0R,71,6.49,0.0914,0.352,1.19,11,-8.26,-21.51,0.26,1.12
BTC_SWING_4H_+HTF1D+ADX25_target4.0R,71,6.16,0.0867,0.324,1.18,10,-12.68,-24.41,0.26,1.12
BTC_SWING_4H_+HTF1D+range12_target2.5R,99,5.85,0.0591,0.343,1.13,6,-6.4,-18.65,0.36,1.55
BTC_SWING_4H_+HTF1D+ADX25_target3.0R,72,5.72,0.0795,0.347,1.16,11,-9.03,-22.28,0.26,1.13
BTC_SWING_4H_+HTF1D+body70_target2.5R,82,5.03,0.0614,0.354,1.14,9,-7.22,-19.47,0.3,1.29
