exit_idx,exit,r,bars,outcome,entry_time,entry,stop,R_dollars,strategy
83,97639.50826580671,-1.0,14,stop,2025-01-03 18:00:00,98480.6,97639.50826580671,841.0917341932945,BTC_INTRA_1H_decisive_body60_target4.0R
155,100804.0,-0.6567113165066586,20,timeout,2025-01-06 15:00:00,102142.0,100104.57508227904,2037.4249177209567,BTC_INTRA_1H_decisive_body60_target4.0R
354,99129.1,0.06861157860057772,20,timeout,2025-01-15 13:00:00,98955.6,96426.87229049735,2528.727709502651,BTC_INTRA_1H_decisive_body60_target4.0R
384,104036.0,2.521318622331515,20,timeout,2025-01-16 19:00:00,100390.0,98943.93127718683,1446.068722813172,BTC_INTRA_1H_decisive_body60_target4.0R
395,103466.87396677554,-1.0,10,stop,2025-01-17 16:00:00,105019.0,103466.87396677554,1552.1260332244565,BTC_INTRA_1H_decisive_body60_target4.0R
455,101248.28198805205,-1.0,11,stop,2025-01-20 06:00:00,107267.0,101248.28198805205,6018.718011947945,BTC_INTRA_1H_decisive_body60_target4.0R
544,105409.0,0.06646413848606374,20,timeout,2025-01-23 14:00:00,105159.0,101397.57307572835,3761.4269242716546,BTC_INTRA_1H_decisive_body60_target4.0R
717,104108.10994496717,-1.0,3,stop,2025-01-31 15:00:00,105463.0,104108.10994496717,1354.8900550328253,BTC_INTRA_1H_decisive_body60_target4.0R
1916,87314.85335415587,4.0,19,target,2025-03-23 13:00:00,85063.4,84500.53666146102,562.8633385389694,BTC_INTRA_1H_decisive_body60_target4.0R
1922,87787.3,0.0,4,stop,2025-03-24 10:00:00,87787.3,86901.19471651196,886.1052834880393,BTC_INTRA_1H_decisive_body60_target4.0R
2418,83846.63258065707,-1.0,1,stop,2025-04-14 14:00:00,85394.3,83846.63258065707,1547.6674193429353,BTC_INTRA_1H_decisive_body60_target4.0R
2468,83409.02384866914,-1.0,3,stop,2025-04-16 14:00:00,84567.39,83409.02384866914,1158.3661513308616,BTC_INTRA_1H_decisive_body60_target4.0R
2570,87458.30618481575,4.0,6,target,2025-04-20 20:00:00,85043.2,84439.42345379606,603.7765462039388,BTC_INTRA_1H_decisive_body60_target4.0R
2585,86672.58375022835,-1.0,3,stop,2025-04-21 14:00:00,88278.38,86672.58375022835,1605.7962497716508,BTC_INTRA_1H_decisive_body60_target4.0R
2625,93920.6,2.2654955591280475,20,timeout,2025-04-22 13:00:00,90270.14,88658.81042343486,1611.329576565142,BTC_INTRA_1H_decisive_body60_target4.0R
2698,94092.10417813009,-1.0,20,stop,2025-04-25 14:00:00,95480.72,94092.10417813009,1388.615821869913,BTC_INTRA_1H_decisive_body60_target4.0R
2839,96935.66,0.048436516886976824,20,timeout,2025-05-01 14:00:00,96867.64,95463.32762636826,1404.3123736317357,BTC_INTRA_1H_decisive_body60_target4.0R
2855,96439.62556104826,-1.0,12,stop,2025-05-02 14:00:00,97753.36,96439.62556104826,1313.7344389517384,BTC_INTRA_1H_decisive_body60_target4.0R
2966,95779.4770286789,-1.0,20,stop,2025-05-06 23:00:00,96823.03,95779.4770286789,1043.5529713211,BTC_INTRA_1H_decisive_body60_target4.0R
2991,102770.49409881202,4.0,20,target,2025-05-08 00:00:00,97793.91,96549.763975297,1244.1460247030045,BTC_INTRA_1H_decisive_body60_target4.0R
3061,104376.13,-0.2855379153364546,20,timeout,2025-05-10 23:00:00,104800.0,103315.53864746634,1484.4613525336608,BTC_INTRA_1H_decisive_body60_target4.0R
3171,103702.63,0.21981681611969572,20,timeout,2025-05-15 15:00:00,103321.36,101586.87031567852,1734.489684321481,BTC_INTRA_1H_decisive_body60_target4.0R
3263,105054.74,0.45226888812730764,20,timeout,2025-05-19 14:00:00,104339.87,102759.23949729165,1580.6305027083436,BTC_INTRA_1H_decisive_body60_target4.0R
3292,109016.54,0.8224838956723235,20,timeout,2025-05-20 19:00:00,107087.97,104743.15813177063,2344.8118682293716,BTC_INTRA_1H_decisive_body60_target4.0R
3324,111727.06,-0.04238545575094056,20,timeout,2025-05-22 03:00:00,111813.53,109773.44340737011,2040.0865926298866,BTC_INTRA_1H_decisive_body60_target4.0R
3412,109126.98,-0.04117224476872198,20,timeout,2025-05-25 22:00:00,109217.76,107012.87657647184,2204.883423528154,BTC_INTRA_1H_decisive_body60_target4.0R
3753,109362.58,2.7033693455364185,20,timeout,2025-06-09 09:00:00,106668.85,105672.41567834593,996.4343216540728,BTC_INTRA_1H_decisive_body60_target4.0R
