exit_idx,exit,r,bars,outcome,entry_time,entry,stop,R_dollars,strategy
244,47719.62,0.9215236205316182,24,timeout,2021-02-08 09:00:00,43156.25,38204.26624361247,4951.9837563875335,BTC_SWING_4H_strict_combo_target3.0R
293,54365.051888643175,-1.0,2,stop,2021-02-20 09:00:00,57287.34,54365.051888643175,2922.288111356822,BTC_SWING_4H_strict_combo_target3.0R
323,47418.454932158915,-1.0,3,stop,2021-02-25 09:00:00,51491.73,47418.454932158915,4073.2750678410885,BTC_SWING_4H_strict_combo_target3.0R
401,54344.11569095706,-1.0,4,stop,2021-03-10 13:00:00,57069.51,54344.11569095706,2725.3943090429384,BTC_SWING_4H_strict_combo_target3.0R
425,56415.27097204097,-1.0,11,stop,2021-03-13 09:00:00,59875.31,56415.27097204097,3460.0390279590283,BTC_SWING_4H_strict_combo_target3.0R
463,56584.72,-0.3540929914525848,24,timeout,2021-03-17 17:00:00,57835.78,54302.640315794975,3533.1396842050235,BTC_SWING_4H_strict_combo_target3.0R
1301,46529.55,0.3279739024644344,24,timeout,2021-08-09 09:00:00,45684.84,43109.299709590436,2575.540290409561,BTC_SWING_4H_strict_combo_target3.0R
1637,54902.0,1.8901772327490873,24,timeout,2021-10-05 17:00:00,51362.0,49489.15975059577,1872.8402494042311,BTC_SWING_4H_strict_combo_target3.0R
1695,64107.0,0.9593738347719856,24,timeout,2021-10-15 13:00:00,61399.0,58576.325561892554,2822.674438107446,BTC_SWING_4H_strict_combo_target3.0R
1764,60036.59994980754,-1.0,11,stop,2021-10-29 13:00:00,62597.0,60036.59994980754,2560.40005019246,BTC_SWING_4H_strict_combo_target3.0R
1824,65539.87528104411,-1.0,11,stop,2021-11-08 21:00:00,67619.0,65539.87528104411,2079.1247189558926,BTC_SWING_4H_strict_combo_target3.0R
2632,47946.0,2.359262291975604,24,timeout,2022-03-24 13:00:00,43938.5,42239.87580987479,1698.624190125207,BTC_SWING_4H_strict_combo_target3.0R
3923,20473.1948062197,-1.0,11,stop,2022-10-29 05:00:00,20914.5,20473.1948062197,441.3051937802993,BTC_SWING_4H_strict_combo_target3.0R
3964,20930.842080418435,-1.0,12,stop,2022-11-04 21:00:00,21420.0,20930.842080418435,489.1579195815648,BTC_SWING_4H_strict_combo_target3.0R
4330,18108.619520235963,3.0,7,target,2023-01-10 17:00:00,17445.5,17224.460159921346,221.03984007865438,BTC_SWING_4H_strict_combo_target3.0R
4359,21282.5,2.1411453718161875,24,timeout,2023-01-12 17:00:00,19026.5,17972.85832312199,1053.641676878011,BTC_SWING_4H_strict_combo_target3.0R
4407,22990.5,0.5446501225009416,24,timeout,2023-01-20 17:00:00,22322.5,21096.02455750371,1226.4754424962885,BTC_SWING_4H_strict_combo_target3.0R
4539,22762.5,0.0,2,stop,2023-02-15 09:00:00,22762.5,21951.67455478384,810.82544521616,BTC_SWING_4H_strict_combo_target3.0R
4744,28097.5,0.34249153420628575,24,timeout,2023-03-17 21:00:00,27673.0,26433.553305401354,1239.446694598646,BTC_SWING_4H_strict_combo_target3.0R
4887,30466.5,0.522457046137812,24,timeout,2023-04-10 21:00:00,29943.0,28941.003751944972,1001.9962480550275,BTC_SWING_4H_strict_combo_target3.0R
4954,29880.801195732376,3.0,3,target,2023-04-25 21:00:00,28299.5,27772.39960142254,527.1003985774587,BTC_SWING_4H_strict_combo_target3.0R
5315,30588.0,0.2993159604429722,24,timeout,2023-06-21 13:00:00,30136.0,28625.890083605755,1510.1099163942454,BTC_SWING_4H_strict_combo_target3.0R
5465,29819.165110861624,-1.0,2,stop,2023-07-20 05:00:00,30261.0,29819.165110861624,441.83488913837573,BTC_SWING_4H_strict_combo_target3.0R
5927,27450.0,-0.5035488274415136,24,timeout,2023-10-01 21:00:00,27934.0,26972.822108951856,961.1778910481444,BTC_SWING_4H_strict_combo_target3.0R
5991,27810.0,0.0,2,stop,2023-10-16 05:00:00,27810.0,27135.462823226833,674.5371767731667,BTC_SWING_4H_strict_combo_target3.0R
6035,32082.520281438156,3.0,23,target,2023-10-20 01:00:00,29319.0,28397.826572853948,921.1734271460518,BTC_SWING_4H_strict_combo_target3.0R
6291,43717.699967292814,3.0,10,target,2023-12-04 01:00:00,40904.0,39966.100010902395,937.8999890976047,BTC_SWING_4H_strict_combo_target3.0R
6344,41431.46516442587,-1.0,5,stop,2023-12-13 17:00:00,42871.0,41431.46516442587,1439.5348355741298,BTC_SWING_4H_strict_combo_target3.0R
6394,43843.0,1.103018377829703,24,timeout,2023-12-18 21:00:00,42691.0,41646.59310419952,1044.406895800479,BTC_SWING_4H_strict_combo_target3.0R
6665,46638.0,0.0,1,stop,2024-02-09 05:00:00,46638.0,45655.05610986089,982.9438901391113,BTC_SWING_4H_strict_combo_target3.0R
6684,48609.0,0.0,4,stop,2024-02-11 21:00:00,48609.0,47682.9258334971,926.0741665028982,BTC_SWING_4H_strict_combo_target3.0R
6714,50769.0,0.0,20,stop,2024-02-14 05:00:00,50769.0,49022.15277594447,1746.8472240555275,BTC_SWING_4H_strict_combo_target3.0R
