exit_idx,exit,r,bars,outcome,entry_time,entry,stop,strategy
425,56415.27097204097,-1.0,11,stop,2021-03-13 09:00:00,59875.31,56415.27097204097,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
1301,46529.55,0.3279739024644344,24,timeout,2021-08-09 09:00:00,45684.84,43109.299709590436,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
1628,56044.100623510574,2.4999999999999982,15,target,2021-10-05 17:00:00,51362.0,49489.15975059577,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
1692,62534.0,0.8817820784054061,24,timeout,2021-10-15 01:00:00,59584.0,56238.50220383849,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
1705,63506.86668161041,-1.0,5,stop,2021-10-20 13:00:00,66459.0,63506.86668161041,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
1824,65539.87528104411,-1.0,11,stop,2021-11-08 21:00:00,67619.0,65539.87528104411,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
4359,21282.5,2.1411453718161875,24,timeout,2023-01-12 17:00:00,19026.5,17972.85832312199,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
4407,22990.5,0.5446501225009416,24,timeout,2023-01-20 17:00:00,22322.5,21096.02455750371,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
4479,22869.5,-0.7170640571883397,24,timeout,2023-02-01 17:00:00,23545.0,22602.964217801287,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
4539,22762.5,0.0,2,stop,2023-02-15 09:00:00,22762.5,21951.67455478384,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
4744,28097.5,0.34249153420628575,24,timeout,2023-03-17 21:00:00,27673.0,26433.553305401354,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
4811,28426.5,-0.06394642890779928,24,timeout,2023-03-29 05:00:00,28506.5,27255.45281305939,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
4885,30153.5,1.0618113782814191,24,timeout,2023-04-10 13:00:00,29054.5,28019.47624485926,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
4954,29617.250996443647,2.5,3,target,2023-04-25 21:00:00,28299.5,27772.39960142254,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
5315,30588.0,0.2993159604429722,24,timeout,2023-06-21 13:00:00,30136.0,28625.890083605755,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
5381,30265.91409292933,-1.0,2,stop,2023-07-06 05:00:00,31319.0,30265.91409292933,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
5927,27450.0,-0.5035488274415136,24,timeout,2023-10-01 21:00:00,27934.0,26972.822108951856,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
5991,27810.0,0.0,2,stop,2023-10-16 05:00:00,27810.0,27135.462823226833,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
6034,31621.93356786513,2.5,22,target,2023-10-20 01:00:00,29319.0,28397.826572853948,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
6272,38754.0,0.9454929171974616,24,timeout,2023-11-28 13:00:00,37877.0,36949.4414915772,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
6291,43248.749972744015,2.500000000000004,10,target,2023-12-04 01:00:00,40904.0,39966.100010902395,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
6394,43843.0,1.103018377829703,24,timeout,2023-12-18 21:00:00,42691.0,41646.59310419952,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
6486,44454.38849330343,-1.0,10,stop,2024-01-08 17:00:00,46835.0,44454.38849330343,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
6665,46968.38741273024,2.499999999999997,10,target,2024-02-07 17:00:00,44100.0,42952.6450349079,WINNER_BTCD_strong_bull_brk_dec_b60_r12_tgt2.5R
