feature,type,big_winner_mean,rest_mean,diff,cohens_d,big_n,rest_n,ratio
rsi,numeric,76.848,75.866,0.982,0.15,,,
rsi_minus_ma,numeric,12.286,9.818,2.468,0.43,,,
rsi_above_60,bool,1.0,0.991,0.009,,11.0,108.0,1.01
rsi_above_55,bool,1.0,1.0,0.0,,11.0,109.0,1.0
adx,numeric,37.776,39.925,-2.15,-0.26,,,
adx_above_30,bool,0.909,0.78,0.129,,10.0,85.0,1.17
adx_above_35,bool,0.727,0.578,0.149,,8.0,63.0,1.26
di_plus_minus_minus,numeric,29.506,27.518,1.988,0.22,,,
atr_ratio_ma,numeric,1.137,1.166,-0.029,-0.2,,,
atr_strong_expansion,bool,0.273,0.284,-0.012,,3.0,31.0,0.96
dist_above_ema50_in_atr,numeric,4.366,4.594,-0.228,-0.19,,,
dist_above_ema200_in_atr,numeric,6.282,7.362,-1.081,-0.57,,,
body_pct,numeric,0.722,0.726,-0.004,-0.03,,,
body_above_60pct,bool,1.0,0.771,0.229,,11.0,84.0,1.3
body_above_70pct,bool,0.545,0.569,-0.023,,6.0,62.0,0.96
range_in_atr,numeric,1.675,1.824,-0.15,-0.22,,,
range_above_atr,bool,0.909,0.936,-0.027,,10.0,102.0,0.97
range_above_1_2_atr,bool,0.727,0.789,-0.062,,8.0,86.0,0.92
ema50_slope_in_atr,numeric,0.655,0.702,-0.047,-0.22,,,
htf12h_bullish,bool,1.0,1.0,0.0,,11.0,109.0,1.0
htf1d_bullish,bool,1.0,1.0,0.0,,11.0,109.0,1.0
htf1d_stack,bool,0.455,0.716,-0.261,,5.0,78.0,0.64
prior_bar_bull,bool,0.545,0.624,-0.078,,6.0,68.0,0.87
prior_2bar_bull,bool,0.273,0.394,-0.122,,3.0,43.0,0.69
return_5bar,numeric,0.048,0.056,-0.008,-0.27,,,
return_10bar,numeric,0.072,0.085,-0.012,-0.27,,,
return_20bar,numeric,0.095,0.121,-0.025,-0.51,,,
