exit_idx,exit_price,r_outcome,exit_reason,mfe,mae,bars_held,entry_time,entry_price,stop_price,direction,r_planned,strategy,tf
390,3471.0,0.9608115568321646,time_exit,1.563317025344819,0.4222499440811429,20,2025-01-17 01:00:00,3383.85,3293.145429077334,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
2973,1888.3436956502683,3.0,target,3.691836862253519,0.34968816082712506,5,2025-05-07 22:00:00,1815.25,1790.885434783244,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
2974,1908.9033651270167,3.0,target,3.193523810168289,0.29825043857856426,4,2025-05-08 00:00:00,1826.02,1798.3922116243277,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3104,2619.1930210786263,3.0,target,3.042855721613812,0.271252898618371,8,2025-05-13 09:00:00,2483.6,2438.4023263071244,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3141,2559.635882819756,-1.0,stop,0.6042175486711293,1.0883770143194043,12,2025-05-14 18:00:00,2613.11,2559.635882819756,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3136,2566.3354086742047,-1.0,stop,0.8702933822030532,1.0107700857434272,2,2025-05-14 23:00:00,2608.62,2566.3354086742047,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3153,2532.4056477169597,-1.0,stop,0.07358951268645318,1.1935822823720166,2,2025-05-15 16:00:00,2598.04,2532.4056477169597,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3167,2566.15,0.0,stop,1.0251114513057247,0.2226668652883,7,2025-05-16 01:00:00,2566.15,2514.0093279472994,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3221,2512.41,0.0,stop,1.9398299388471756,0.798325619670198,10,2025-05-18 05:00:00,2512.41,2473.9169349613317,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3221,2492.427218403467,-1.0,stop,0.9430789721782167,1.2206241986442474,4,2025-05-18 13:00:00,2541.14,2492.427218403467,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3263,2513.66,1.0894292120149782,time_exit,2.7896410441672908,0.36984227490161353,20,2025-05-19 15:00:00,2466.5,2423.211276437343,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3264,2484.44,-0.3121234790851661,time_exit,0.9866436645626195,0.4631957902894798,20,2025-05-19 16:00:00,2509.15,2429.9826138346752,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3291,2567.04,0.9194802310173925,time_exit,1.589583960111595,0.23185199593192488,20,2025-05-20 19:00:00,2500.93,2429.0306836581462,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
3299,2535.61,0.0,stop,1.099770008579237,0.1929421067682906,1,2025-05-21 22:00:00,2535.61,2479.6346601382343,LONG,3.0,I12_1H_pullback_EMA50_HTF1D,1H
