group,strategy,n,trades_per_week,trades_per_month,total_r_gross,total_r_net,avg_r_gross,avg_r_net,median_r,win_rate,pf_net,max_losing_streak,best_r_net,worst_r_net,r_no_top1_net,r_no_top3_net,r_no_top5_net,r_no_top10_net,avg_mfe,avg_mae,avg_bars_held
SWING,P0_4H_breakout_regime_5R,158,0.58,2.54,20.72,12.82,0.1312,0.0812,-0.196,0.253,1.16,18,4.95,-1.05,7.87,-2.03,-11.93,-33.41,1.41,0.83,14.4
SWING,P1_4H_breakout_regime_HTF1D,158,0.58,2.54,20.72,12.82,0.1312,0.0812,-0.196,0.253,1.16,18,4.95,-1.05,7.87,-2.03,-11.93,-33.41,1.41,0.83,14.4
SWING,P2_4H_breakout_regime_HTF12H,158,0.58,2.54,20.72,12.82,0.1312,0.0812,-0.196,0.253,1.16,18,4.95,-1.05,7.87,-2.03,-11.93,-33.41,1.41,0.83,14.4
SWING,P3_4H_breakout_regime_HTF1D_stack,110,0.45,1.97,-1.68,-7.18,-0.0152,-0.0652,-0.628,0.209,0.88,18,4.95,-1.05,-12.13,-22.03,-30.23,-43.75,1.24,0.87,13.2
SWING,P4_4H_breakout_regime_2bull,103,0.39,1.68,-1.96,-7.11,-0.019,-0.069,-1.05,0.214,0.88,16,4.95,-1.05,-12.06,-21.96,-30.19,-45.17,1.33,0.84,14.7
SWING,P5_4H_breakout_regime_strong_range,147,0.54,2.36,23.32,15.97,0.1587,0.1087,-0.166,0.265,1.21,17,4.95,-1.05,11.02,1.12,-8.78,-30.16,1.42,0.83,15.0
SWING,P6_4H_breakout_regime_adx25,120,0.47,2.03,24.29,18.29,0.2025,0.1525,-0.05,0.267,1.29,14,4.95,-1.05,13.34,3.44,-6.46,-26.24,1.51,0.85,14.6
SWING,P7_4H_breakout_regime_rsi55,158,0.58,2.54,20.72,12.82,0.1312,0.0812,-0.196,0.253,1.16,18,4.95,-1.05,7.87,-2.03,-11.93,-33.41,1.41,0.83,14.4
SWING,P8_4H_breakout_regime_rsi60,154,0.57,2.47,21.31,13.61,0.1384,0.0884,-0.196,0.253,1.17,17,4.95,-1.05,8.66,-1.24,-11.14,-32.62,1.42,0.83,14.5
SWING,P9_4H_strict_combo,74,0.29,1.28,1.41,-2.29,0.0191,-0.0309,-1.05,0.203,0.95,17,4.95,-1.05,-7.24,-17.14,-25.37,-38.26,1.4,0.88,14.8
SWING,P10_4H_break20,147,0.54,2.36,14.92,7.57,0.1015,0.0515,-0.226,0.238,1.1,18,4.95,-1.05,2.62,-7.28,-17.18,-36.96,1.4,0.84,14.2
SWING,P11_4H_pullback_EMA50,142,0.52,2.27,-2.2,-9.3,-0.0155,-0.0655,-0.05,0.232,0.85,18,2.95,-1.05,-12.25,-18.15,-24.05,-38.8,1.21,0.84,9.3
SWING,P12_4H_pullback_EMA50_HTF1D,133,0.49,2.12,0.61,-6.04,0.0046,-0.0454,-0.05,0.241,0.89,15,2.95,-1.05,-8.99,-14.89,-20.79,-35.54,1.24,0.81,9.3
INTRADAY,I0_1H_breakout_regime_4R,116,1.7,7.39,24.19,18.39,0.2086,0.1586,-0.05,0.328,1.42,13,3.95,-1.05,14.44,6.54,-1.36,-15.65,1.41,0.71,14.2
INTRADAY,I1_1H_breakout_regime_HTF4H,116,1.7,7.39,24.19,18.39,0.2086,0.1586,-0.05,0.328,1.42,13,3.95,-1.05,14.44,6.54,-1.36,-15.65,1.41,0.71,14.2
