strategy,n,trades_per_week,trades_per_month,total_r_gross,total_r_net,avg_r_gross,avg_r_net,median_r,win_rate,pf_net,max_losing_streak,best_r_net,worst_r_net,r_no_top1_net,r_no_top3_net,r_no_top5_net,r_no_top10_net,avg_mfe,avg_mae,avg_bars_held
A_ETHUSD_4H_LONG_BREAKOUT_CONTINUATION (atual),613,2.23,9.72,-5.03,-35.68,-0.0082,-0.0582,-0.05,0.191,0.89,36,4.95,-1.05,-40.63,-50.53,-60.43,-85.18,1.28,0.87,13.4
A_ETHUSD_4H_LONG_BREAKOUT_runner_8R,613,2.23,9.72,21.87,-8.78,0.0357,-0.0143,-0.156,0.166,0.97,44,7.95,-1.05,-16.73,-32.63,-48.53,-88.28,1.38,0.88,15.6
A_4H_breakout_no_RSI52_filter,640,2.33,10.15,-4.1,-36.1,-0.0064,-0.0564,-0.05,0.194,0.89,39,4.95,-1.05,-41.05,-50.95,-60.85,-85.6,1.27,0.87,13.5
B_ETHUSD_30M_CONFIRMED_MOMENTUM_LONG (atual),1078,15.31,66.56,-116.3,-170.2,-0.1079,-0.1579,-0.086,0.257,0.67,26,3.95,-1.05,-174.15,-182.05,-189.95,-209.7,1.02,0.81,9.8
B_ETHUSD_30M_CONFIRMED_MOMENTUM_SHORT (atual),983,13.99,60.82,-45.84,-94.99,-0.0466,-0.0966,-0.05,0.258,0.78,20,3.95,-1.05,-98.94,-106.84,-114.74,-134.49,1.15,0.75,9.6
B_ETHUSD_30M_CONFIRMED_MOMENTUM_BOTH (atual),2061,29.26,127.26,-162.15,-265.2,-0.0787,-0.1287,-0.05,0.258,0.72,26,3.95,-1.05,-269.15,-277.05,-284.95,-304.7,1.08,0.78,9.7
B_30M_momentum_LONG_NO_confirmation,1078,15.31,66.56,-116.3,-170.2,-0.1079,-0.1579,-0.086,0.257,0.67,26,3.95,-1.05,-174.15,-182.05,-189.95,-209.7,1.02,0.81,9.8
C_old_global_strict_LONG_4H (RSI ext + bubble),65,0.27,1.17,-13.64,-16.89,-0.2099,-0.2599,-0.497,0.215,0.52,15,1.95,-1.05,-18.84,-22.74,-26.64,-33.32,0.91,0.91,9.8
C_old_global_strict_SHORT_4H,79,0.29,1.28,-23.0,-26.95,-0.2911,-0.3411,-1.05,0.127,0.42,25,1.95,-1.05,-28.9,-32.8,-36.7,-46.45,1.0,1.07,5.3
C_old_softened_LONG_4H (only RSI ext),118,0.44,1.93,-19.71,-25.61,-0.167,-0.217,-0.245,0.22,0.59,14,1.95,-1.05,-27.56,-31.46,-35.36,-45.11,0.94,0.92,9.0
D_4H_BREAKOUT_REGIME_FILTERED_target5R,158,0.58,2.54,20.72,12.82,0.1312,0.0812,-0.196,0.253,1.16,18,4.95,-1.05,7.87,-2.03,-11.93,-33.41,1.41,0.83,14.4
D_4H_BREAKOUT_REGIME_FILTERED_target4R,158,0.58,2.54,13.9,6.0,0.088,0.038,-0.05,0.278,1.08,16,3.95,-1.05,2.05,-5.85,-13.75,-32.28,1.24,0.81,12.5
D_4H_BREAKOUT_REGIME_FILTERED_target3R,158,0.58,2.54,10.66,2.76,0.0675,0.0175,-0.05,0.285,1.04,16,2.95,-1.05,-0.19,-6.09,-11.99,-26.74,1.19,0.81,12.0
D_4H_BREAKOUT_REGIME_FILTERED_target6R,158,0.58,2.54,16.87,8.97,0.1067,0.0567,-0.179,0.209,1.11,18,5.95,-1.05,3.02,-8.88,-20.78,-41.51,1.49,0.85,15.9
E_30M_BREAKOUT_REGIME_FILTERED_LONG,240,3.44,14.94,-19.52,-31.52,-0.0813,-0.1313,-0.05,0.262,0.7,19,2.95,-1.05,-34.47,-40.37,-46.27,-61.02,1.06,0.78,11.1
F_1H_BREAKOUT_REGIME_FILTERED_LONG,116,1.7,7.39,24.19,18.39,0.2086,0.1586,-0.05,0.328,1.42,13,3.95,-1.05,14.44,6.54,-1.36,-15.65,1.41,0.71,14.2
G_30M_SHORT_BREAKDOWN_REGIME_FILTERED,219,3.16,13.75,-34.56,-45.51,-0.1578,-0.2078,-0.11,0.187,0.57,21,2.95,-1.05,-48.46,-54.36,-60.26,-75.01,1.06,0.8,10.1
