strategy,n,trades_per_week,trades_per_month,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,best_r_net
SWING_4H_+DXY_strong_bear_target2.5R,177,0.49,2.13,22.01,0.1243,0.316,1.33,10,9.76,-2.49,2.45
SWING_4H_base_no_DXY_target2.5R,183,0.51,2.21,20.46,0.1118,0.317,1.3,11,8.21,-4.04,2.45
SWING_4H_+body60_target2.5R,144,0.4,1.74,20.02,0.139,0.34,1.37,9,7.77,-4.48,2.45
SWING_4H_+DXY_strong_bear_target3.0R,177,0.49,2.13,19.4,0.1096,0.305,1.29,13,4.65,-10.1,2.95
SWING_4H_base_no_DXY_target3.0R,183,0.51,2.21,17.85,0.0975,0.306,1.26,14,3.1,-11.65,2.95
SWING_4H_+body60_target3.0R,144,0.4,1.74,17.12,0.1189,0.326,1.31,9,2.37,-12.38,2.95
SWING_4H_+range_>1.2ATR_target2.5R,136,0.38,1.64,15.42,0.1134,0.346,1.31,12,3.17,-9.08,2.45
SWING_4H_+combo_strict_all_target2.5R,47,0.14,0.59,13.35,0.284,0.426,2.03,4,1.1,-7.47,2.45
INTRA_1H_+HTF1D+DXY_target3.0R,73,0.66,2.88,12.68,0.1737,0.425,1.46,8,-2.07,-14.09,2.95
INTRA_1H_+HTF1D+4H+DXY_target3.0R,73,0.66,2.88,12.68,0.1737,0.425,1.46,8,-2.07,-14.09,2.95
SWING_4H_+combo_strict_all_target3.0R,47,0.14,0.59,12.28,0.2613,0.426,1.95,4,-0.4,-8.4,2.95
SWING_4H_+ADX25_target2.5R,85,0.25,1.07,11.8,0.1388,0.329,1.45,7,-0.45,-11.59,2.45
INTRA_1H_+HTF1D_target3.0R,74,0.67,2.92,11.63,0.1572,0.419,1.41,8,-3.12,-15.14,2.95
INTRA_1H_+HTF1D+4H_target3.0R,74,0.67,2.92,11.63,0.1572,0.419,1.41,8,-3.12,-15.14,2.95
INTRA_1H_+HTF1D+DXY_target2.5R,73,0.66,2.88,11.48,0.1573,0.425,1.42,8,-0.77,-13.02,2.45
INTRA_1H_+HTF1D+4H+DXY_target2.5R,73,0.66,2.88,11.48,0.1573,0.425,1.42,8,-0.77,-13.02,2.45
SWING_4H_+range_>1.2ATR_target3.0R,136,0.38,1.64,11.31,0.0832,0.338,1.22,12,-3.44,-16.83,2.95
INTRA_1H_base_target3.0R,84,0.75,3.25,10.95,0.1303,0.417,1.32,7,-3.8,-17.03,2.95
INTRA_1H_+HTF1D+4H_target2.5R,74,0.67,2.92,10.43,0.1409,0.419,1.37,8,-1.82,-14.07,2.45
INTRA_1H_+HTF1D_target2.5R,74,0.67,2.92,10.43,0.1409,0.419,1.37,8,-1.82,-14.07,2.45
SWING_4H_+combo_body60_ADX25_DXY_target2.5R,63,0.18,0.79,10.09,0.1602,0.349,1.51,5,-2.16,-11.72,2.45
SWING_4H_+ADX25_target3.0R,85,0.25,1.07,10.02,0.1179,0.329,1.38,7,-4.73,-13.74,2.95
SWING_4H_+combo_body60_ADX25_DXY_target3.0R,63,0.18,0.79,9.52,0.1512,0.349,1.49,5,-4.21,-12.74,2.95
INTRA_1H_base_target2.5R,84,0.75,3.25,9.24,0.1101,0.417,1.27,7,-3.01,-15.26,2.45
SWING_4H_+body70_target3.0R,103,0.3,1.3,8.83,0.0858,0.33,1.21,8,-5.92,-18.29,2.95
SWING_4H_+ADX20_target2.5R,129,0.36,1.56,8.68,0.0673,0.318,1.18,7,-3.57,-15.82,2.45
INTRA_1H_+HTF1D+4H+DXY_target4.0R,73,0.66,2.88,8.14,0.1115,0.425,1.3,8,-5.39,-14.29,2.99
INTRA_1H_+HTF1D+DXY_target4.0R,73,0.66,2.88,8.14,0.1115,0.425,1.3,8,-5.39,-14.29,2.99
SWING_4H_+body70_target2.5R,103,0.3,1.3,7.22,0.0701,0.33,1.17,8,-5.03,-17.28,2.45
INTRA_1H_+HTF1D+4H_target4.0R,74,0.67,2.92,7.09,0.0958,0.419,1.25,8,-6.44,-15.34,2.99
INTRA_1H_+HTF1D_target4.0R,74,0.67,2.92,7.09,0.0958,0.419,1.25,8,-6.44,-15.34,2.99
INTRA_1H_+HTF1D+DXY_target2.0R,73,0.66,2.88,6.92,0.0948,0.425,1.25,8,-2.83,-12.58,1.95
INTRA_1H_+HTF1D+4H+DXY_target2.0R,73,0.66,2.88,6.92,0.0948,0.425,1.25,8,-2.83,-12.58,1.95
INTRA_1H_base_target4.0R,84,0.75,3.25,6.14,0.0731,0.417,1.18,7,-7.72,-17.6,2.99
INTRA_1H_+HTF1D+4H_target2.0R,74,0.67,2.92,5.87,0.0793,0.419,1.21,8,-3.88,-13.63,1.95
INTRA_1H_+HTF1D_target2.0R,74,0.67,2.92,5.87,0.0793,0.419,1.21,8,-3.88,-13.63,1.95
INTRA_1H_base_target2.0R,84,0.75,3.25,4.18,0.0498,0.417,1.12,7,-5.57,-15.32,1.95
SWING_4H_+ADX20_target3.0R,129,0.36,1.56,4.04,0.0313,0.31,1.08,8,-10.71,-22.51,2.95
INTRA_1H_+ALL_filters_target2.5R,61,0.55,2.41,1.0,0.0163,0.377,1.04,8,-11.25,-19.33,2.45
