strategy,n,trades_per_week,trades_per_month,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,best_r_net
G1_multi_TF_strict_DXY_bear_4H_target2.5R,178,0.49,2.15,21.87,0.1229,0.315,1.33,10,9.62,-2.63,2.45
G1_multi_TF_strict_4H_target2.5R,183,0.51,2.21,20.46,0.1118,0.317,1.3,11,8.21,-4.04,2.45
G1_multi_TF_strict_DXY_bear_4H_target3.0R,178,0.49,2.15,19.27,0.1082,0.303,1.29,14,4.52,-10.23,2.95
G1_multi_TF_strict_DXY_macro_bear_4H_target2.5R,180,0.5,2.17,18.86,0.1048,0.311,1.27,11,6.61,-5.64,2.45
G1_multi_TF_strict_4H_target3.0R,183,0.51,2.21,17.85,0.0975,0.306,1.26,14,3.1,-11.65,2.95
G1_multi_TF_strict_DXY_macro_bear_4H_target3.0R,180,0.5,2.17,16.25,0.0903,0.3,1.23,13,1.5,-13.25,2.95
G1_multi_TF_strict_DXY_bear_4H_target4.0R,178,0.49,2.15,12.96,0.0728,0.292,1.2,14,-6.79,-20.44,3.95
G5_1H_decisive_HTF1D_target3.0R,74,0.67,2.92,11.63,0.1572,0.419,1.41,8,-3.12,-15.14,2.95
G1_multi_TF_strict_4H_target4.0R,183,0.51,2.21,11.54,0.0631,0.295,1.17,14,-8.21,-21.86,3.95
G5_1H_decisive_target3.0R,84,0.75,3.25,10.95,0.1303,0.417,1.32,7,-3.8,-17.03,2.95
G5_1H_decisive_HTF1D_target2.5R,74,0.67,2.92,10.43,0.1409,0.419,1.37,8,-1.82,-14.07,2.45
G1_multi_TF_strict_DXY_macro_bear_4H_target4.0R,180,0.5,2.17,9.94,0.0552,0.289,1.14,13,-9.81,-23.46,3.95
G5_1H_decisive_target2.5R,84,0.75,3.25,9.24,0.1101,0.417,1.27,7,-3.01,-15.26,2.45
G5_1H_decisive_DXY_bear_target3.0R,82,0.73,3.17,9.05,0.1103,0.415,1.28,7,-5.7,-17.73,2.95
G5_1H_decisive_DXY_bear_target2.5R,82,0.73,3.17,7.84,0.0957,0.415,1.24,7,-4.41,-16.66,2.45
G5_1H_decisive_HTF1D_target4.0R,74,0.67,2.92,7.09,0.0958,0.419,1.25,8,-6.44,-15.34,2.99
G5_1H_decisive_target4.0R,84,0.75,3.25,6.14,0.0731,0.417,1.18,7,-7.72,-17.6,2.99
G5_1H_decisive_HTF1D_target2.0R,74,0.67,2.92,5.87,0.0793,0.419,1.21,8,-3.88,-13.63,1.95
G6_4H_decisive_HTF1D_target4.0R,68,0.2,0.85,5.71,0.084,0.368,1.19,4,-8.81,-18.06,3.95
G6_4H_decisive_DXY_bear_target4.0R,65,0.19,0.81,5.03,0.0774,0.354,1.18,5,-9.49,-18.75,3.95
G6_4H_decisive_target4.0R,69,0.2,0.86,4.66,0.0676,0.362,1.15,4,-9.86,-19.11,3.95
G6_4H_decisive_HTF1D_target3.0R,68,0.2,0.85,4.58,0.0674,0.368,1.15,4,-8.81,-18.06,2.95
G5_1H_decisive_DXY_bear_target4.0R,82,0.73,3.17,4.5,0.0549,0.415,1.14,7,-9.02,-17.92,2.99
G5_1H_decisive_target2.0R,84,0.75,3.25,4.18,0.0498,0.417,1.12,7,-5.57,-15.32,1.95
G6_4H_decisive_DXY_bear_target3.0R,65,0.19,0.81,3.9,0.06,0.354,1.14,5,-9.49,-18.75,2.95
G6_4H_decisive_target3.0R,69,0.2,0.86,3.53,0.0512,0.362,1.12,4,-9.86,-19.11,2.95
G5_1H_decisive_DXY_bear_target2.0R,82,0.73,3.17,3.28,0.04,0.415,1.1,7,-6.47,-16.22,1.95
G6_4H_decisive_HTF1D_target2.5R,68,0.2,0.85,3.04,0.0448,0.368,1.1,4,-8.81,-18.06,2.45
G3_1H_london_open_target2.5R,74,0.64,2.79,2.54,0.0343,0.311,1.08,12,-9.71,-21.64,2.45
G6_4H_decisive_DXY_bear_target2.5R,65,0.19,0.81,2.36,0.0363,0.354,1.08,5,-9.49,-18.75,2.45
G3_1H_london_open_target3.0R,74,0.64,2.79,2.29,0.031,0.311,1.07,12,-12.46,-23.66,2.95
G6_4H_decisive_target2.5R,69,0.2,0.86,1.99,0.0289,0.362,1.07,4,-9.86,-19.11,2.45
G3_1H_london_open_DXY_bear_target2.5R,72,0.63,2.72,1.14,0.0158,0.306,1.04,12,-11.11,-22.47,2.45
G3_1H_london_open_DXY_bear_target3.0R,72,0.63,2.72,0.39,0.0054,0.306,1.01,12,-14.36,-24.22,2.95
G4_1H_fb_DXY_bear_target2.5R,19,0.19,0.82,-0.55,-0.0292,0.316,0.92,6,-7.28,-7.19,2.45
G4_1H_fb_DXY_bear_target3.0R,19,0.19,0.82,-0.86,-0.0455,0.316,0.88,6,-7.28,-7.19,2.14
G3_1H_london_open_target2.0R,74,0.64,2.79,-0.96,-0.013,0.311,0.97,12,-10.71,-20.46,1.95
G4_1H_fb_DXY_bear_target2.0R,19,0.19,0.82,-1.05,-0.0555,0.316,0.86,6,-7.28,-7.19,1.95
G3_1H_london_open_DXY_bear_target2.0R,72,0.63,2.72,-1.86,-0.0258,0.306,0.94,12,-11.61,-21.36,1.95
G4_1H_fb_HTF1D+DXY_target2.5R,17,0.17,0.74,-2.15,-0.1263,0.235,0.71,6,-7.34,-7.09,2.45
G4_1H_fb_HTF1D+DXY_target3.0R,17,0.17,0.74,-2.46,-0.1445,0.235,0.67,6,-7.34,-7.09,2.14
G4_1H_fb_HTF1D+DXY_target2.0R,17,0.17,0.74,-2.65,-0.1557,0.235,0.64,6,-7.34,-7.09,1.95
G3_1H_ny_open_DXY_bear_target2.5R,58,0.5,2.18,-3.13,-0.054,0.414,0.86,6,-13.31,-18.63,2.45
G4_1H_fb_HTF1D_target2.5R,18,0.18,0.78,-3.2,-0.1776,0.222,0.62,7,-8.39,-8.14,2.45
G4_1H_fb_HTF1D_target3.0R,18,0.18,0.78,-3.51,-0.1949,0.222,0.58,7,-8.39,-8.14,2.14
G4_1H_fb_HTF1D_target2.0R,18,0.18,0.78,-3.7,-0.2054,0.222,0.56,7,-8.39,-8.14,1.95
G3_1H_ny_open_DXY_bear_target3.0R,58,0.5,2.18,-4.18,-0.0721,0.414,0.81,6,-13.31,-18.63,2.95
G4_1H_fb_base_target2.5R,23,0.23,1.0,-4.36,-0.1896,0.261,0.61,8,-11.08,-11.0,2.45
G3_1H_ny_open_target2.5R,60,0.52,2.25,-4.58,-0.0764,0.4,0.81,6,-14.76,-20.08,2.45
G3_1H_ny_open_DXY_bear_target2.0R,58,0.5,2.18,-4.63,-0.0799,0.414,0.79,6,-13.31,-18.63,1.95
G4_1H_fb_base_target3.0R,23,0.23,1.0,-4.67,-0.2031,0.261,0.58,8,-11.08,-11.0,2.14
