strategy,n,trades_per_week,trades_per_month,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,best_r_net
H4_FB_DXY_bearish_4H_target3.0R,6,0.02,0.08,1.34,0.2242,0.333,1.42,2,-1.05,0.0,2.95
H4_FB_DXY_bearish_4H_target2.5R,6,0.02,0.08,0.84,0.1408,0.333,1.26,2,-1.05,0.0,2.45
H4_FB_DXY_bearish_4H_target2.0R,6,0.02,0.08,0.7,0.1167,0.333,1.22,2,-1.05,0.0,1.95
H1_london_open_30M_target2.0R,85,1.26,5.47,-15.45,-0.1818,0.212,0.63,14,-25.2,-34.95,1.95
H6_RSI_oversold_bounce_4H_target3.0R,70,0.2,0.85,-17.51,-0.2501,0.157,0.53,10,-31.96,-36.91,2.95
H6_RSI_oversold_bounce_4H_target2.5R,70,0.2,0.85,-19.71,-0.2816,0.157,0.47,10,-31.96,-36.91,2.45
H1_london_open_30M_target3.0R,85,1.26,5.47,-20.28,-0.2386,0.176,0.51,14,-35.03,-39.86,2.95
H6_RSI_oversold_bounce_30M_target2.0R,111,1.71,7.44,-20.31,-0.183,0.225,0.63,15,-30.06,-39.81,1.95
H1_london_open_30M_target2.5R,85,1.26,5.47,-21.37,-0.2514,0.176,0.49,14,-33.62,-39.86,2.45
H7_4H_breakout_DXY_macro_bear_target2.5R,342,0.95,4.12,-33.87,-0.099,0.222,0.79,21,-46.12,-58.37,2.45
H7_4H_breakout_DXY_macro_bear_target3.0R,342,0.95,4.12,-38.04,-0.1112,0.211,0.76,27,-52.79,-67.54,2.95
H7_4H_breakout_DXY_macro_bear_target4.0R,342,0.95,4.12,-48.57,-0.142,0.199,0.7,27,-68.32,-88.07,3.95
H5_inside_bar_break_4H_target2.5R,150,0.42,1.81,-55.56,-0.3704,0.147,0.39,31,-67.81,-80.06,2.45
H5_inside_bar_break_30M_target2.0R,197,2.87,12.49,-69.94,-0.355,0.157,0.39,20,-79.69,-89.44,1.95
H2_EMA20_pullback_4H_target3.0R,419,1.13,4.89,-73.11,-0.1745,0.193,0.69,37,-87.86,-102.61,2.95
H2_EMA20_pullback_4H_target2.5R,419,1.13,4.89,-85.14,-0.2032,0.217,0.62,37,-97.39,-109.64,2.45
H2_EMA20_pullback_30M_target2.0R,685,9.83,42.73,-149.78,-0.2187,0.244,0.57,23,-159.53,-169.28,1.95
H2_EMA20_pullback_30M_target2.5R,685,9.83,42.73,-153.57,-0.2242,0.21,0.57,31,-165.82,-178.07,2.45
H3_multi_TF_pullback_30M_target2.5R,1673,24.81,107.89,-233.05,-0.1393,0.222,0.72,25,-245.3,-257.55,2.45
H3_multi_TF_pullback_30M_target3.0R,1673,24.81,107.89,-235.79,-0.1409,0.212,0.72,25,-250.54,-265.29,2.95
H3_multi_TF_pullback_30M_target2.0R,1673,24.81,107.89,-277.9,-0.1661,0.231,0.67,25,-287.65,-297.4,1.95
