strategy,n,trades_per_week,trades_per_month,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,best_r_net
D_4H_BREAKOUT_REGIME_target3.0R_hold24,117,0.33,1.42,3.64,0.0311,0.308,1.08,8,-11.11,-21.85,2.95
MACRO_4H_breakout_DXY_bearish_target3.0R,115,0.32,1.39,3.5,0.0305,0.304,1.08,8,-11.25,-21.99,2.95
MACRO_4H_breakout_DXY_bear+falling_target3.0R,115,0.32,1.39,3.5,0.0305,0.304,1.08,8,-11.25,-21.99,2.95
MACRO_4H_breakout_DXY_falling_target3.0R,116,0.32,1.4,2.45,0.0212,0.302,1.06,8,-12.3,-23.04,2.95
E_4H_FAILED_BREAKDOWN_target2.5R,17,0.05,0.23,1.83,0.1075,0.412,1.42,3,-4.15,-4.19,2.45
MACRO_4H_FB_DXY_bearish_target3.0R,3,0.01,0.04,0.49,0.165,0.333,1.45,1,0.0,0.0,1.59
MACRO_4H_FB_DXY_bearish_target2.5R,3,0.01,0.04,0.49,0.165,0.333,1.45,1,0.0,0.0,1.59
E_4H_FAILED_BREAKDOWN_target3.0R,17,0.05,0.23,-0.24,-0.0143,0.294,0.95,4,-4.94,-4.69,1.63
E_4H_FAILED_BREAKDOWN_target3.5R,17,0.05,0.23,-0.24,-0.0143,0.294,0.95,4,-4.94,-4.69,1.63
D_4H_BREAKOUT_REGIME_target3.0R_hold30,117,0.33,1.42,-0.58,-0.005,0.256,0.99,10,-15.33,-28.03,2.95
E_4H_FAILED_BREAKDOWN_target4.0R,17,0.05,0.23,-2.91,-0.1713,0.176,0.47,12,-5.4,-5.15,1.67
D_4H_BREAKOUT_REGIME_target4.0R_hold24,117,0.33,1.42,-3.41,-0.0291,0.299,0.92,8,-14.55,-23.94,3.01
D_4H_BREAKOUT_REGIME_target5.0R_hold24,117,0.33,1.42,-3.41,-0.0291,0.299,0.92,8,-14.55,-23.94,3.01
MACRO_4H_breakout_DXY_bear+falling_target5.0R,115,0.32,1.39,-3.55,-0.0308,0.296,0.92,8,-14.69,-24.08,3.01
MACRO_4H_breakout_DXY_bear+falling_target4.0R,115,0.32,1.39,-3.55,-0.0308,0.296,0.92,8,-14.69,-24.08,3.01
MACRO_4H_breakout_DXY_bearish_target4.0R,115,0.32,1.39,-3.55,-0.0308,0.296,0.92,8,-14.69,-24.08,3.01
MACRO_4H_breakout_DXY_bearish_target5.0R,115,0.32,1.39,-3.55,-0.0308,0.296,0.92,8,-14.69,-24.08,3.01
MACRO_4H_breakout_DXY_falling_target5.0R,116,0.32,1.4,-4.6,-0.0396,0.293,0.9,8,-15.74,-25.13,3.01
MACRO_4H_breakout_DXY_falling_target4.0R,116,0.32,1.4,-4.6,-0.0396,0.293,0.9,8,-15.74,-25.13,3.01
F_BB_squeeze_4H_target3.0R,110,0.31,1.34,-5.68,-0.0516,0.227,0.9,19,-20.43,-35.18,2.95
B_old_global_strict_LONG_4H (rejection+RSI ext),118,0.32,1.39,-7.9,-0.0669,0.229,0.87,12,-17.65,-27.4,1.95
D_4H_BREAKOUT_REGIME_target4.0R_hold30,117,0.33,1.42,-9.84,-0.0841,0.248,0.79,10,-23.51,-32.04,3.95
D_4H_BREAKOUT_REGIME_target5.0R_hold30,117,0.33,1.42,-11.0,-0.094,0.248,0.77,10,-23.51,-32.04,3.12
F_BB_squeeze_4H_target4.0R,110,0.31,1.34,-18.14,-0.1649,0.209,0.67,19,-33.48,-43.26,3.95
I_30M_EU_session_DXY_target3R,126,1.87,8.13,-18.29,-0.1451,0.214,0.69,22,-33.04,-47.26,2.95
I_30M_breakout_regime_HTF_target4.0R,211,3.13,13.61,-23.02,-0.1091,0.237,0.76,15,-42.77,-61.48,3.95
I_30M_breakout_DXY_target4.0R,211,3.13,13.61,-23.02,-0.1091,0.237,0.76,15,-42.77,-61.48,3.95
G_pullback_EMA50_4H_target3.0R,150,0.42,1.82,-24.78,-0.1652,0.213,0.7,18,-39.53,-54.28,2.95
I_30M_breakout_regime_HTF_target3.0R,211,3.13,13.61,-29.3,-0.1389,0.237,0.69,15,-44.05,-58.8,2.95
I_30M_breakout_DXY_target3.0R,211,3.13,13.61,-29.3,-0.1389,0.237,0.69,15,-44.05,-58.8,2.95
I_30M_breakout_regime_HTF_target2.5R,211,3.13,13.61,-31.28,-0.1482,0.246,0.67,15,-43.53,-55.78,2.45
I_30M_breakout_DXY_target2.5R,211,3.13,13.61,-31.28,-0.1482,0.246,0.67,15,-43.53,-55.78,2.45
G_pullback_EMA50_30M_target2.5R,283,4.14,17.98,-34.42,-0.1216,0.237,0.75,24,-46.67,-58.92,2.45
H_hammer_4H_target3R,152,0.42,1.83,-38.58,-0.2538,0.125,0.52,15,-53.33,-68.08,2.95
A_EURUSD_30M_QUALITY_BREAKOUT_CONTINUATION (atual),605,8.8,38.29,-104.34,-0.1725,0.215,0.65,23,-119.09,-133.84,2.95
