event_id,symbol,tf,cls_at_signal,r,bubble,nas,shapes_n
2026-05-04T11:00:14.721336+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_CANDIDATO_FORTE,-1.0,cluster_absent,NONE,0.0
2026-05-04T13:30:08.177102+00:00_PEPPERSTONE:XPTUSD_15_monitor_dynamic_bb_zone,XPTUSD,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-04T16:15:01.704541+00:00_PEPPERSTONE:US500_15_monitor_trendline_lta,US500,15,SETUP_CANDIDATO_FORTE,3.07,unclear,NONE,
2026-05-04T18:45:08.769377+00:00_PEPPERSTONE:US500_15_monitor_trendline_lta,US500,15,SETUP_EM_OBSERVACAO,2.15,cluster_absent,NONE,0.0
2026-05-05T00:00:04.834328+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T00:15:04.918075+00:00_PEPPERSTONE:US500_15_monitor_trendline_lta,US500,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T05:00:04.689646+00:00_PEPPERSTONE:EURUSD_60_monitor_dynamic_bb_zone,EURUSD,60,SETUP_EM_OBSERVACAO,1.96,cluster_absent,NONE,0.0
2026-05-05T05:00:14.559779+00:00_PEPPERSTONE:ETHUSD_240_monitor_zone,ETHUSD,240,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T05:00:09.884162+00:00_PEPPERSTONE:BTCUSD_240_monitor_breakout,BTCUSD,240,SETUP_EM_OBSERVACAO,2.0,cluster_absent,NONE,0.0
2026-05-05T06:45:02.805314+00:00_PEPPERSTONE:US500_15_monitor_trendline_lta,US500,15,SETUP_CANDIDATO_FORTE,-1.0,unclear,NONE,
2026-05-05T13:00:05.277673+00:00_PEPPERSTONE:ETHUSD_240_monitor_zone,ETHUSD,240,INTRADAY_EM_OBSERVACAO,1.0,cluster_absent,NONE,0.0
2026-05-05T13:00:02.798259+00:00___,,,SETUP_EM_OBSERVACAO,6.0,cluster_absent,NONE,0.0
2026-05-05T14:00:00.923208+00:00_PEPPERSTONE:XAUUSD_240_monitor_trendline_lta,XAUUSD,240,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-05-05T14:00:13.535485+00:00_VANTAGE:USOUSD_240_monitor_trendline_lta,USOUSD,240,SETUP_EM_OBSERVACAO,2.42,unclear,NONE,
2026-05-05T17:00:21.293902+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T17:15:06.683976+00:00_PEPPERSTONE:XPTUSD_15_monitor_dynamic_bb_zone,XPTUSD,15,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-05-05T18:30:13.319081+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
