exit_idx,exit_price,r_outcome,exit_reason,mfe,mae,bars_held,entry_time,entry_price,stop_price,direction,r_planned,strategy,tf
501,4547.8,0.7042959344110034,time_exit,3.7710602701714775,0.882079374165228,30,2022-03-24 22:00:00,4527.2,4497.950931542395,LONG,4.5,A_4H_pullback_rejection_current,4H
481,4522.4,0.0,stop,1.2484682082690919,0.7756755140133369,8,2022-03-25 06:00:00,4522.4,4495.32682362584,LONG,4.5,A_4H_pullback_rejection_current,4H
500,4576.650297561218,-1.0,stop,0.7021037459817262,2.2377808636867442,13,2022-03-29 14:00:00,4612.4,4576.650297561218,LONG,4.5,A_4H_pullback_rejection_current,4H
494,4596.33950461935,-1.0,stop,0.10252731407903187,1.534492134049529,2,2022-03-30 10:00:00,4625.6,4596.33950461935,LONG,4.5,A_4H_pullback_rejection_current,4H
500,4568.54656265648,-1.0,stop,0.3173912004493931,1.9327317815983225,6,2022-03-30 18:00:00,4607.3,4568.54656265648,LONG,4.5,A_4H_pullback_rejection_current,4H
517,4552.4,0.0,stop,1.4522847723282704,0.4982290824775581,8,2022-04-04 06:00:00,4552.4,4524.099765236738,LONG,4.5,A_4H_pullback_rejection_current,4H
518,4526.942639148399,-1.0,stop,0.965816566250578,1.39408385097943,8,2022-04-04 10:00:00,4560.8,4526.942639148399,LONG,4.5,A_4H_pullback_rejection_current,4H
516,4566.315130849579,-1.0,stop,0.6650728162152177,1.0558888010013756,2,2022-04-05 02:00:00,4580.9,4566.315130849579,LONG,4.5,A_4H_pullback_rejection_current,4H
541,4436.565102675601,-1.0,stop,0.6795482968122125,1.1668434340221,12,2022-04-07 14:00:00,4489.1,4436.565102675601,LONG,4.5,A_4H_pullback_rejection_current,4H
978,3984.8,0.0,stop,1.241521418293988,0.3675261960292819,3,2022-07-21 22:00:00,3984.8,3962.488665220079,LONG,4.5,A_4H_pullback_rejection_current,4H
991,3923.8874508678655,-1.0,stop,0.6673412282904629,1.2509270797509628,11,2022-07-22 18:00:00,3960.9,3923.8874508678655,LONG,4.5,A_4H_pullback_rejection_current,4H
1009,4097.5,0.0,stop,1.0854334332522635,0.8215241279125052,4,2022-07-28 22:00:00,4097.5,4074.0070807487523,LONG,4.5,A_4H_pullback_rejection_current,4H
1014,4100.4,0.0,stop,1.7166144820463627,0.9551088095596094,8,2022-07-29 02:00:00,4100.4,4077.1565749809843,LONG,4.5,A_4H_pullback_rejection_current,4H
1008,4079.8918196251993,-1.0,stop,0.14994424544878465,1.076872308223022,1,2022-07-29 06:00:00,4101.9,4079.8918196251993,LONG,4.5,A_4H_pullback_rejection_current,4H
1014,4102.3,0.0,stop,1.0179746289339078,0.2973557468728091,6,2022-07-29 10:00:00,4102.3,4064.9709753662564,LONG,4.5,A_4H_pullback_rejection_current,4H
1020,4081.9546071944706,-1.0,stop,0.5464157588050224,1.013712493710647,6,2022-08-01 10:00:00,4122.4,4081.9546071944706,LONG,4.5,A_4H_pullback_rejection_current,4H
1053,4123.1,0.9860429451517972,time_exit,3.2916972667148614,0.2016072936183931,30,2022-08-02 22:00:00,4096.2,4068.9192409496327,LONG,4.5,A_4H_pullback_rejection_current,4H
1038,4106.9,0.0,stop,2.1969222233598455,0.1764457218761262,13,2022-08-03 06:00:00,4106.9,4077.9959271453463,LONG,4.5,A_4H_pullback_rejection_current,4H
1038,4121.5407280635345,-1.0,stop,0.385621541055828,1.6397016787751086,5,2022-08-04 14:00:00,4152.4,4121.5407280635345,LONG,4.5,A_4H_pullback_rejection_current,4H
1051,4115.795254147054,-1.0,stop,0.1359321717795214,1.0934988040930333,5,2022-08-08 18:00:00,4148.9,4115.795254147054,LONG,4.5,A_4H_pullback_rejection_current,4H
1063,4249.265302731236,4.5,target,4.834163782087066,0.5732940981051999,11,2022-08-09 18:00:00,4127.6,4100.563266059726,LONG,4.5,A_4H_pullback_rejection_current,4H
1064,4207.7,0.0,stop,1.899467432697097,0.26277217448378626,6,2022-08-10 18:00:00,4207.7,4181.060954165899,LONG,4.5,A_4H_pullback_rejection_current,4H
1098,4234.1,0.0,stop,3.2586506888203735,0.5586258323692199,30,2022-08-12 10:00:00,4234.1,4206.17433116038,LONG,4.5,A_4H_pullback_rejection_current,4H
1073,4253.747523891893,-1.0,stop,0.015997887333422122,1.0505279348940726,2,2022-08-14 22:00:00,4272.5,4253.747523891893,LONG,4.5,A_4H_pullback_rejection_current,4H
1081,4291.3,0.0,stop,1.3730490369040154,0.6964741491542245,1,2022-08-16 10:00:00,4291.3,4271.198751422431,LONG,4.5,A_4H_pullback_rejection_current,4H
1087,4252.583876623281,-1.0,stop,0.2405029991511557,1.0117712378082633,1,2022-08-17 10:00:00,4276.7,4252.583876623281,LONG,4.5,A_4H_pullback_rejection_current,4H
