strategy,n,trades_per_week,trades_per_month,total_r_gross,total_r_net,avg_r_gross,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top1_net,r_no_top3_net,r_no_top5_net,r_no_top10_net,best_r_net,worst_r_net,avg_mfe,avg_mae
H2_failed_breakdown_4H_target3.5R,58,0.3,1.29,17.88,14.98,0.3082,0.2582,0.293,1.62,9,11.53,4.63,-2.27,-16.33,3.45,-1.05,1.54,0.85
H1_BB_squeeze_breakout_4H_target4.0R,113,0.57,2.5,18.18,12.53,0.1609,0.1109,0.274,1.29,21,8.58,0.68,-7.22,-21.16,3.95,-1.05,1.34,0.81
H2_failed_breakdown_4H_target2.5R,58,0.3,1.29,14.88,11.98,0.2565,0.2065,0.328,1.5,7,9.53,4.63,-0.27,-12.52,2.45,-1.05,1.37,0.81
H1_BB_squeeze_breakout_4H_target3.0R,113,0.57,2.5,17.1,11.45,0.1513,0.1013,0.31,1.28,23,8.5,2.6,-3.3,-17.82,2.95,-1.05,1.24,0.79
H10_bull_flag_4H_target3.0R,6,0.03,0.14,4.55,4.25,0.7579,0.7079,0.667,9.29,1,1.3,-0.45,-0.35,0.0,2.95,-0.35,1.29,0.52
H10_bull_flag_1H_target2.5R,1,1.0,1.0,-1.0,-1.05,-1.0,-1.05,0.0,0.0,1,0.0,0.0,0.0,0.0,-1.05,-1.05,0.35,1.73
H2_failed_breakdown_1H_target2.0R,127,1.06,4.59,2.82,-3.53,0.0222,-0.0278,0.386,0.93,13,-5.48,-9.38,-13.28,-23.03,1.95,-1.05,0.88,0.74
H6_rsi_reset_4H_target3.0R,150,0.75,3.25,2.79,-4.71,0.0186,-0.0314,0.253,0.93,13,-7.66,-13.56,-19.46,-34.21,2.95,-1.05,1.23,0.94
H2_failed_breakdown_1H_target3.0R,127,1.06,4.59,-0.39,-6.74,-0.0031,-0.0531,0.323,0.88,18,-9.69,-15.59,-21.49,-31.82,2.95,-1.05,0.99,0.79
H9_breakout_us_session_1H_target3R,220,1.83,7.96,3.4,-7.6,0.0155,-0.0345,0.45,0.9,12,-9.59,-13.42,-16.94,-24.95,1.99,-1.05,0.76,0.71
H9_breakout_us_session_1H_target2R,220,1.83,7.96,1.96,-9.04,0.0089,-0.0411,0.482,0.88,8,-10.99,-14.89,-18.79,-26.25,1.95,-1.05,0.7,0.68
H5_hammer_in_trend_1H_target2.5R,366,3.04,13.23,4.83,-13.47,0.0132,-0.0368,0.262,0.92,26,-15.92,-20.82,-25.72,-37.97,2.45,-1.05,1.19,0.94
