strategy,n,trades_per_week,trades_per_month,total_r_gross,total_r_net,avg_r_gross,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top1_net,r_no_top3_net,r_no_top5_net,r_no_top10_net,best_r_net,worst_r_net,avg_mfe,avg_mae
BTD_4H_pullback_EMA50_target3.0R,149,0.7,3.05,8.45,1.0,0.0567,0.0067,0.309,1.02,10,-1.95,-7.85,-13.75,-26.92,2.95,-1.05,1.15,0.89
BREAK_2R_1H_regime,248,2.06,8.98,12.64,0.24,0.051,0.001,0.48,1.0,10,-1.71,-5.61,-9.51,-18.33,1.95,-1.05,0.68,0.65
BTD_4H_pullback_EMA50_target2.5R,149,0.7,3.05,6.76,-0.69,0.0454,-0.0046,0.309,0.99,10,-3.14,-8.04,-12.94,-25.19,2.45,-1.05,1.14,0.89
BTD_4H_pullback_EMA50_HTF1D_target2.5R,144,0.68,2.94,5.26,-1.94,0.0365,-0.0135,0.312,0.97,10,-4.39,-9.29,-14.19,-26.44,2.45,-1.05,1.12,0.91
BREAK_2R_4H_regime,117,0.58,2.53,3.28,-2.57,0.0281,-0.0219,0.427,0.94,11,-4.52,-8.42,-12.32,-20.77,1.95,-1.05,0.79,0.67
BTD_4H_pullback_EMA50_target2.0R,149,0.7,3.05,3.84,-3.61,0.0258,-0.0242,0.322,0.94,9,-5.56,-9.46,-13.36,-23.11,1.95,-1.05,1.1,0.89
BTD_1H_pullback_EMA50_HTF4H_target2.5R,334,2.76,12.02,-5.81,-22.51,-0.0174,-0.0674,0.222,0.86,21,-24.96,-29.86,-34.76,-47.01,2.45,-1.05,1.2,1.0
BREAK_2R_30M_regime,260,3.82,16.63,-10.19,-23.19,-0.0392,-0.0892,0.412,0.74,9,-25.14,-29.04,-32.94,-40.59,1.95,-1.05,0.69,0.68
BTD_1H_pullback_EMA50_HTF1D_target2.5R,324,2.68,11.66,-9.85,-26.05,-0.0304,-0.0804,0.219,0.83,24,-28.5,-33.4,-38.3,-50.55,2.45,-1.05,1.18,1.01
BTD_1H_pullback_EMA50_target3.0R,344,2.85,12.38,-13.35,-30.55,-0.0388,-0.0888,0.206,0.82,24,-33.5,-39.4,-45.3,-60.05,2.95,-1.05,1.21,1.05
BTD_1H_pullback_EMA50_target2.5R,344,2.85,12.38,-14.81,-32.01,-0.0431,-0.0931,0.215,0.81,24,-34.46,-39.36,-44.26,-56.51,2.45,-1.05,1.17,1.04
BTD_1H_pullback_EMA50_target2.0R,344,2.85,12.38,-19.67,-36.87,-0.0572,-0.1072,0.235,0.78,20,-38.82,-42.72,-46.62,-56.37,1.95,-1.05,1.12,1.04
EMA20_pullback_30M_target2R,734,10.77,46.84,-46.13,-82.83,-0.0628,-0.1128,0.274,0.76,19,-84.78,-88.68,-92.58,-102.33,1.95,-1.05,1.04,1.0
EMA20_pullback_1H_target2R,642,5.31,23.1,-68.89,-100.99,-0.1073,-0.1573,0.305,0.65,13,-102.94,-106.84,-110.74,-120.49,1.95,-1.05,0.86,0.93
