strategy,n,trades_per_week,trades_per_month,total_r_gross,total_r_net,avg_r_gross,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top1_net,r_no_top3_net,r_no_top5_net,r_no_top10_net,best_r_net,worst_r_net,avg_mfe,avg_mae
F_1H_breakout_HTF1D+4H_target4.0R,222,1.85,8.06,30.03,18.93,0.1353,0.0853,0.405,1.22,11,14.98,7.08,-0.47,-12.58,3.95,-1.05,1.08,0.77
F_1H_breakout_HTF1D_target4.0R,222,1.85,8.06,30.03,18.93,0.1353,0.0853,0.405,1.22,11,14.98,7.08,-0.47,-12.58,3.95,-1.05,1.08,0.77
F_1H_breakout_HTF1D_target3.0R,222,1.85,8.06,28.54,17.44,0.1286,0.0786,0.405,1.2,11,14.49,8.59,2.69,-11.28,2.95,-1.05,1.06,0.77
F_1H_breakout_HTF1D+4H_target3.0R,222,1.85,8.06,28.54,17.44,0.1286,0.0786,0.405,1.2,11,14.49,8.59,2.69,-11.28,2.95,-1.05,1.06,0.77
IFB_30M_FB_strict_target2.0R,26,0.39,1.68,5.85,4.55,0.2249,0.1749,0.423,1.41,6,2.6,-1.3,-5.2,-11.15,1.95,-1.05,1.09,0.91
IFB_30M_FB_strict_target3.0R,26,0.39,1.68,2.78,1.48,0.1069,0.0569,0.308,1.13,11,-1.47,-7.37,-10.64,-11.26,2.95,-1.05,1.18,0.91
IFB_30M_FB_strict_target2.5R,26,0.39,1.68,1.28,-0.02,0.0492,-0.0008,0.308,1.0,11,-2.47,-7.37,-10.64,-11.26,2.45,-1.05,1.17,0.91
IFB_1H_FB_strict_target2.0R,22,0.22,0.97,-1.73,-2.83,-0.0786,-0.1286,0.273,0.71,5,-4.78,-7.57,-9.31,-9.24,1.95,-1.05,0.7,0.68
IFB_1H_FB_strict_target2.5R,22,0.22,0.97,-3.42,-4.52,-0.1554,-0.2054,0.273,0.53,5,-6.03,-8.23,-9.38,-9.24,1.51,-1.05,0.71,0.68
IFB_1H_FB_strict_target3.0R,22,0.22,0.97,-3.42,-4.52,-0.1554,-0.2054,0.273,0.53,5,-6.03,-8.23,-9.38,-9.24,1.51,-1.05,0.71,0.68
COMBO_30M_FB_or_squeeze_HTF_target2.0R,236,3.46,15.06,-7.16,-18.96,-0.0303,-0.0803,0.284,0.84,16,-20.91,-24.81,-28.71,-38.46,1.95,-1.05,1.01,0.9
IBB_1H_squeeze_strict_target2.0R,254,2.12,9.23,-7.71,-20.41,-0.0304,-0.0804,0.374,0.8,11,-22.36,-26.26,-30.16,-39.91,1.95,-1.05,0.86,0.77
COMBO_1H_FB_or_squeeze_HTF_target2.0R,285,2.37,10.3,-6.71,-20.96,-0.0235,-0.0735,0.368,0.82,11,-22.91,-26.81,-30.71,-40.46,1.95,-1.05,0.86,0.77
IBB_1H_squeeze_strict_target2.5R,254,2.12,9.23,-9.77,-22.47,-0.0385,-0.0885,0.366,0.78,11,-24.92,-29.82,-34.72,-45.47,2.45,-1.05,0.86,0.77
COMBO_1H_FB_or_squeeze_HTF_target2.5R,285,2.37,10.3,-10.24,-24.49,-0.0359,-0.0859,0.361,0.79,11,-26.94,-31.84,-36.74,-48.02,2.45,-1.05,0.86,0.77
COMBO_30M_FB_or_squeeze_HTF_target2.5R,236,3.46,15.06,-13.45,-25.25,-0.057,-0.107,0.25,0.78,16,-27.7,-32.6,-37.5,-49.75,2.45,-1.05,1.08,0.91
IBB_30M_squeeze_strict_target2.0R,196,2.88,12.51,-16.23,-26.03,-0.0828,-0.1328,0.265,0.74,14,-27.98,-31.88,-35.78,-45.53,1.95,-1.05,0.99,0.9
IBB_30M_squeeze_strict_target2.5R,196,2.88,12.51,-17.96,-27.76,-0.0916,-0.1416,0.245,0.72,14,-30.21,-35.11,-40.01,-52.26,2.45,-1.05,1.05,0.9
IBB_1H_squeeze_strict_target3.0R,254,2.12,9.23,-15.88,-28.58,-0.0625,-0.1125,0.354,0.72,14,-31.53,-37.43,-41.76,-51.24,2.95,-1.05,0.86,0.77
COMBO_30M_FB_or_squeeze_HTF_target3.0R,236,3.46,15.06,-17.74,-29.54,-0.0751,-0.1251,0.229,0.75,16,-32.49,-38.39,-44.29,-59.04,2.95,-1.05,1.1,0.91
COMBO_1H_FB_or_squeeze_HTF_target3.0R,285,2.37,10.3,-16.42,-30.67,-0.0576,-0.1076,0.351,0.73,14,-33.62,-39.52,-44.24,-53.9,2.95,-1.05,0.86,0.77
IBB_30M_squeeze_strict_target3.0R,196,2.88,12.51,-22.74,-32.54,-0.116,-0.166,0.224,0.67,14,-35.49,-41.39,-47.29,-62.04,2.95,-1.05,1.07,0.91
