strategy,n,trades_per_week,trades_per_month,total_r_gross,total_r_net,avg_r_gross,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top1_net,r_no_top3_net,r_no_top5_net,r_no_top10_net,best_r_net,worst_r_net,avg_mfe,avg_mae
H2v_FB_4H_atr_exp_target4.0R,45,0.23,1.0,21.82,19.57,0.4849,0.4349,0.333,2.06,8,15.62,7.72,-0.18,-13.19,3.95,-1.05,1.59,0.86
COMBO_FB_or_squeeze_4H_target3.5R,128,0.65,2.83,24.99,18.59,0.1953,0.1453,0.312,1.4,12,15.14,8.24,1.34,-14.43,3.45,-1.05,1.3,0.79
COMBO_FB_or_squeeze_4H_target3.0R,128,0.65,2.83,24.92,18.52,0.1947,0.1447,0.32,1.4,12,15.57,9.67,3.77,-10.98,2.95,-1.05,1.28,0.79
H2v_FB_4H_base_target4.0R,58,0.3,1.29,21.38,18.48,0.3686,0.3186,0.293,1.77,9,14.53,6.63,-1.27,-16.33,3.95,-1.05,1.58,0.85
COMBO_FB_or_squeeze_4H_target4.0R,128,0.65,2.83,24.32,17.92,0.19,0.14,0.305,1.38,12,13.97,6.07,-1.83,-17.14,3.95,-1.05,1.31,0.8
H2v_FB_4H_atr_exp_target3.5R,45,0.23,1.0,18.82,16.57,0.4182,0.3682,0.333,1.9,8,13.12,6.22,-0.68,-13.19,3.45,-1.05,1.56,0.86
H2v_FB_4H_atr_exp_target2.5R,45,0.23,1.0,17.51,15.26,0.389,0.339,0.378,1.83,5,12.81,7.91,3.01,-9.24,2.45,-1.05,1.43,0.8
H2v_FB_4H_base_target3.5R,58,0.3,1.29,17.88,14.98,0.3082,0.2582,0.293,1.62,9,11.53,4.63,-2.27,-16.33,3.45,-1.05,1.54,0.85
H2v_FB_4H_base_target2.5R,58,0.3,1.29,17.51,14.61,0.3018,0.2518,0.328,1.61,7,12.16,7.26,2.36,-9.89,2.45,-1.05,1.42,0.81
H2v_FB_4H_htf1d_bull_target4.0R,57,0.29,1.27,17.38,14.53,0.3049,0.2549,0.281,1.6,9,10.58,2.68,-5.22,-18.24,3.95,-1.05,1.53,0.87
H2v_FB_4H_atr_exp_target5.0R,45,0.23,1.0,16.38,14.13,0.3641,0.3141,0.311,1.76,8,9.18,0.61,-4.82,-15.07,4.95,-1.05,1.62,0.88
H2v_FB_4H_base_target5.0R,58,0.3,1.29,16.94,14.04,0.2921,0.2421,0.276,1.58,9,9.09,-0.81,-7.16,-18.29,4.95,-1.05,1.61,0.87
H2v_FB_4H_atr_exp_target3.0R,45,0.23,1.0,15.82,13.57,0.3516,0.3016,0.333,1.73,8,10.62,4.72,-1.18,-13.19,2.95,-1.05,1.52,0.86
H2v_FB_4H_body50+atr_target4.0R,11,0.07,0.31,12.83,12.28,1.166,1.116,0.545,4.78,2,8.33,1.67,-2.18,-1.05,3.95,-1.05,1.96,0.66
H2v_FB_4H_htf1d_bull_target2.5R,57,0.29,1.27,15.01,12.16,0.2632,0.2132,0.316,1.51,7,9.71,4.81,-0.09,-12.34,2.45,-1.05,1.39,0.82
H2v_FB_4H_htf1d_bull_target3.5R,57,0.29,1.27,14.38,11.53,0.2522,0.2022,0.281,1.48,9,8.08,1.18,-5.72,-18.24,3.45,-1.05,1.5,0.87
H2v_FB_4H_base_target3.0R,58,0.3,1.29,14.38,11.48,0.2479,0.1979,0.293,1.48,9,8.53,2.63,-3.27,-16.33,2.95,-1.05,1.51,0.85
H1v_BB_squeeze_4H_base_target3.0R,113,0.57,2.5,17.1,11.45,0.1513,0.1013,0.31,1.28,23,8.5,2.6,-3.3,-17.82,2.95,-1.05,1.24,0.79
H1v_BB_squeeze_4H_htf1d_bull_target3.0R,113,0.57,2.5,17.1,11.45,0.1513,0.1013,0.31,1.28,23,8.5,2.6,-3.3,-17.82,2.95,-1.05,1.24,0.79
H2v_FB_4H_body50+atr_target5.0R,11,0.07,0.31,11.94,11.39,1.0855,1.0355,0.545,4.5,2,6.44,1.67,-2.18,-1.05,4.95,-1.05,2.03,0.66
H2v_FB_4H_body50+atr_target3.5R,11,0.07,0.31,11.83,11.28,1.0751,1.0251,0.545,4.47,2,7.83,1.67,-2.18,-1.05,3.45,-1.05,1.95,0.66
H2v_FB_4H_body50+atr_target3.0R,11,0.07,0.31,10.83,10.28,0.9842,0.9342,0.545,4.16,2,7.33,1.67,-2.18,-1.05,2.95,-1.05,1.89,0.66
H1v_BB_squeeze_4H_base_target5.0R,113,0.57,2.5,15.85,10.2,0.1403,0.0903,0.292,1.25,23,5.25,-3.49,-10.23,-22.07,4.95,-1.05,1.29,0.79
H1v_BB_squeeze_4H_htf1d_bull_target5.0R,113,0.57,2.5,15.85,10.2,0.1403,0.0903,0.292,1.25,23,5.25,-3.49,-10.23,-22.07,4.95,-1.05,1.29,0.79
H2v_FB_4H_htf1d_bull_target5.0R,57,0.29,1.27,11.94,9.09,0.2095,0.1595,0.263,1.38,9,4.14,-4.44,-9.86,-20.12,4.95,-1.05,1.55,0.88
H2v_FB_4H_body50_target4.0R,15,0.1,0.43,9.83,9.08,0.6551,0.6051,0.4,2.41,3,5.13,-1.53,-5.38,-5.25,3.95,-1.05,1.65,0.83
H2v_FB_4H_body50+atr_target2.5R,11,0.07,0.31,9.57,9.02,0.87,0.82,0.545,3.78,2,6.57,1.67,-2.18,-1.05,2.45,-1.05,1.68,0.66
H1v_BB_squeeze_4H_htf1d_bull_target4.0R,113,0.57,2.5,14.49,8.84,0.1282,0.0782,0.292,1.22,23,4.89,-3.01,-10.23,-22.07,3.95,-1.05,1.27,0.79
H1v_BB_squeeze_4H_base_target4.0R,113,0.57,2.5,14.49,8.84,0.1282,0.0782,0.292,1.22,23,4.89,-3.01,-10.23,-22.07,3.95,-1.05,1.27,0.79
H2v_FB_4H_htf1d_bull_target3.0R,57,0.29,1.27,11.38,8.53,0.1996,0.1496,0.281,1.35,9,5.58,-0.32,-6.22,-18.24,2.95,-1.05,1.47,0.87
H2v_FB_4H_body50_target5.0R,15,0.1,0.43,8.94,8.19,0.596,0.546,0.4,2.27,3,3.24,-1.53,-5.38,-5.25,4.95,-1.05,1.7,0.83
H2v_FB_4H_body50_target3.5R,15,0.1,0.43,8.83,8.08,0.5884,0.5384,0.4,2.25,3,4.63,-1.53,-5.38,-5.25,3.45,-1.05,1.65,0.83
H2v_FB_4H_body50_target3.0R,15,0.1,0.43,7.83,7.08,0.5217,0.4717,0.4,2.1,3,4.13,-1.53,-5.38,-5.25,2.95,-1.05,1.6,0.83
H1v_BB_squeeze_4H_base_target2.5R,113,0.57,2.5,12.33,6.68,0.1091,0.0591,0.31,1.17,23,4.23,-0.67,-5.57,-17.82,2.45,-1.05,1.21,0.79
H1v_BB_squeeze_4H_htf1d_bull_target2.5R,113,0.57,2.5,12.33,6.68,0.1091,0.0591,0.31,1.17,23,4.23,-0.67,-5.57,-17.82,2.45,-1.05,1.21,0.79
H2v_FB_4H_body50_target2.5R,15,0.1,0.43,6.57,5.82,0.438,0.388,0.4,1.9,3,3.37,-1.53,-5.38,-5.25,2.45,-1.05,1.45,0.83
H2v_FB_4H_rsi_above_ma_target4.0R,9,0.06,0.26,5.76,5.31,0.6399,0.5899,0.444,2.25,2,1.36,-3.18,-4.2,0.0,3.95,-1.05,1.5,0.81
H2v_FB_4H_rsi_above_ma_target3.5R,9,0.06,0.26,5.26,4.81,0.5844,0.5344,0.444,2.13,2,1.36,-3.18,-4.2,0.0,3.45,-1.05,1.43,0.81
H2v_FB_4H_rsi_above_ma_target3.0R,9,0.06,0.26,4.76,4.31,0.5288,0.4788,0.444,2.01,2,1.36,-3.18,-4.2,0.0,2.95,-1.05,1.43,0.81
H2v_FB_4H_rsi_above_ma_target2.5R,9,0.06,0.26,4.0,3.55,0.4448,0.3948,0.444,1.84,2,1.1,-3.18,-4.2,0.0,2.45,-1.05,1.3,0.81
H2v_FB_4H_all_filters_target3.0R,3,0.05,0.21,2.88,2.73,0.9596,0.9096,0.667,3.6,1,0.02,0.0,0.0,0.0,2.71,-1.05,1.61,0.71
H2v_FB_4H_all_filters_target4.0R,3,0.05,0.21,2.88,2.73,0.9596,0.9096,0.667,3.6,1,0.02,0.0,0.0,0.0,2.71,-1.05,1.61,0.71
H2v_FB_4H_all_filters_target3.5R,3,0.05,0.21,2.88,2.73,0.9596,0.9096,0.667,3.6,1,0.02,0.0,0.0,0.0,2.71,-1.05,1.61,0.71
H2v_FB_4H_all_filters_target5.0R,3,0.05,0.21,2.88,2.73,0.9596,0.9096,0.667,3.6,1,0.02,0.0,0.0,0.0,2.71,-1.05,1.61,0.71
H2v_FB_4H_all_filters_target2.5R,3,0.05,0.21,2.62,2.47,0.8743,0.8243,0.667,3.36,1,0.02,0.0,0.0,0.0,2.45,-1.05,1.48,0.71
