strategy,n,trades_per_week,trades_per_month,total_r_gross,total_r_net,avg_r_gross,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top1_net,r_no_top3_net,r_no_top5_net,r_no_top10_net,best_r_net,worst_r_net,avg_mfe,avg_mae
A_US500_4H_LONG_PULLBACK_REJECTION (atual),412,1.92,8.33,-47.05,-67.65,-0.1142,-0.1642,0.129,0.68,35,-72.1,-81.0,-89.9,-112.15,4.45,-1.05,1.32,1.05
B_US500_INTRADAY_LONG_PULLBACK_EXECUTION (atual 30M),943,13.84,60.18,-58.05,-105.2,-0.0616,-0.1116,0.179,0.78,32,-109.15,-117.05,-124.95,-144.7,3.95,-1.05,1.27,1.0
C_old_global_strict_LONG_4H (RSI+Bubble),46,0.21,0.9,-3.75,-6.05,-0.0815,-0.1315,0.217,0.76,9,-8.0,-11.9,-15.8,-24.8,1.95,-1.05,1.07,0.92
C_old_global_strict_SHORT_4H,66,0.31,1.33,-32.0,-35.3,-0.4848,-0.5348,0.061,0.18,38,-37.25,-41.15,-43.05,-42.8,1.95,-1.05,0.86,1.23
C_old_softened_LONG_4H (only RSI ext),67,0.3,1.31,-6.75,-10.1,-0.1008,-0.1508,0.209,0.72,17,-12.05,-15.95,-19.85,-29.6,1.95,-1.05,1.09,0.94
D_4H_BREAKOUT_REGIME_FILTERED_target3.0R,87,0.45,1.96,1.05,-3.3,0.012,-0.038,0.333,0.91,10,-6.25,-12.15,-17.32,-24.94,2.95,-1.05,1.02,0.79
D_4H_BREAKOUT_REGIME_FILTERED_target4.0R,87,0.45,1.96,-0.15,-4.5,-0.0018,-0.0518,0.333,0.88,10,-8.45,-13.8,-17.76,-24.94,3.95,-1.05,1.04,0.79
D_4H_BREAKOUT_REGIME_FILTERED_target4.5R,87,0.45,1.96,2.55,-1.8,0.0293,-0.0207,0.322,0.95,16,-5.62,-11.11,-15.24,-24.53,3.82,-1.05,1.12,0.8
D_4H_BREAKOUT_REGIME_FILTERED_target5.0R,87,0.45,1.96,2.55,-1.8,0.0293,-0.0207,0.322,0.95,16,-5.62,-11.11,-15.24,-24.53,3.82,-1.05,1.12,0.8
D_4H_BREAKOUT_REGIME_body60_target4.5R,72,0.37,1.62,4.61,1.01,0.064,0.014,0.361,1.03,15,-2.31,-6.59,-10.46,-18.93,3.32,-1.05,1.15,0.76
D_4H_BREAKOUT_REGIME_adx25_target4.5R,56,0.33,1.42,-3.77,-6.57,-0.0674,-0.1174,0.304,0.73,15,-8.68,-12.4,-15.66,-21.14,2.11,-1.05,1.05,0.81
E_4H_pullback_EMA50_target3R,102,0.57,2.46,-2.66,-7.76,-0.0261,-0.0761,0.255,0.82,11,-10.71,-16.61,-21.11,-29.73,2.95,-1.05,1.1,0.79
E_4H_pullback_EMA50_target4R,102,0.57,2.46,-5.12,-10.22,-0.0502,-0.1002,0.245,0.77,11,-14.17,-19.56,-24.01,-32.87,3.95,-1.05,1.14,0.81
E_1H_pullback_EMA50_target3R,222,1.84,8.02,-33.82,-44.92,-0.1523,-0.2023,0.234,0.59,12,-47.87,-53.77,-59.67,-74.42,2.95,-1.05,1.0,1.0
E_1H_pullback_EMA50_target4R,222,1.84,8.02,-26.73,-37.83,-0.1204,-0.1704,0.198,0.68,19,-41.78,-49.68,-57.58,-74.51,3.95,-1.05,1.1,1.04
E_1H_pullback_EMA50_HTF1D_target3R,206,1.71,7.44,-25.18,-35.48,-0.1222,-0.1722,0.248,0.64,11,-38.43,-44.33,-50.23,-64.98,2.95,-1.05,1.03,0.94
E_1H_pullback_EMA50_HTF1D_target4R,206,1.71,7.44,-17.96,-28.26,-0.0872,-0.1372,0.209,0.73,19,-32.21,-40.11,-48.01,-64.94,3.95,-1.05,1.14,0.99
F_1H_BREAKOUT_REGIME_FILTERED,225,1.88,8.17,17.3,6.05,0.0769,0.0269,0.32,1.06,21,2.1,-5.8,-13.7,-29.16,3.95,-1.05,1.2,0.82
G_30M_BREAKOUT_REGIME_FILTERED,233,3.43,14.9,2.92,-8.73,0.0125,-0.0375,0.365,0.92,10,-11.68,-17.58,-23.48,-36.33,2.95,-1.05,0.98,0.78
