strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XAG_INTRA_1H_brk10_b60|no_macro|HTF1D+HTF4H|tgt4.0R,138,19.15,0.1388,0.377,1.34,6,-0.6,-17.94,1.18,5.07
XAG_INTRA_1H_brk10_b60|no_macro|HTF1D|tgt4.0R,139,18.1,0.1302,0.374,1.32,6,-1.65,-18.99,1.19,5.11
XAG_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+HTF4H|tgt4.0R,68,17.36,0.2553,0.441,1.89,5,-0.58,-9.81,0.6,2.55
XAG_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D+HTF4H|tgt4.0R,69,16.55,0.2398,0.449,1.81,8,-1.39,-10.12,0.59,2.54
XAG_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt4.0R,69,16.31,0.2364,0.435,1.8,5,-1.63,-10.86,0.6,2.59
XAG_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+HTF4H|tgt3.0R,69,16.12,0.2336,0.449,1.79,4,1.37,-9.5,0.6,2.59
XAG_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt4.0R,70,15.5,0.2214,0.443,1.72,8,-2.44,-11.17,0.6,2.58
XAG_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D+HTF4H|tgt4.0R,109,15.4,0.1413,0.394,1.39,8,-3.76,-16.96,0.94,4.01
XAG_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D+HTF4H|tgt3.0R,70,15.31,0.2186,0.457,1.71,6,0.56,-9.6,0.6,2.58
XAG_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+HTF4H|tgt4.0R,56,15.13,0.2701,0.482,1.89,5,-1.3,-8.89,0.48,2.07
XAG_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt4.0R,56,15.13,0.2701,0.482,1.89,5,-1.3,-8.89,0.48,2.07
XAG_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt3.0R,70,15.07,0.2153,0.443,1.7,4,0.32,-10.55,0.61,2.63
XAG_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+HTF4H|tgt3.0R,57,14.88,0.2611,0.491,1.83,5,0.13,-8.59,0.49,2.11
XAG_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt3.0R,57,14.88,0.2611,0.491,1.83,5,0.13,-8.59,0.49,2.11
XAG_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D|tgt4.0R,110,14.35,0.1304,0.391,1.36,8,-4.81,-18.01,0.94,4.04
XAG_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt3.0R,71,14.26,0.2008,0.451,1.63,6,-0.49,-10.65,0.61,2.62
XAG_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D+HTF4H|tgt2.5R,70,13.32,0.1903,0.457,1.65,6,1.07,-8.6,0.6,2.58
XAG_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+HTF4H|tgt2.5R,69,13.21,0.1914,0.449,1.65,4,0.96,-9.5,0.6,2.59
XAG_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt2.5R,57,12.4,0.2175,0.491,1.69,5,0.15,-8.59,0.49,2.11
XAG_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+HTF4H|tgt2.5R,57,12.4,0.2175,0.491,1.69,5,0.15,-8.59,0.49,2.11
XAG_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt2.5R,71,12.27,0.1728,0.451,1.57,6,0.02,-9.65,0.61,2.62
XAG_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt2.5R,70,12.16,0.1737,0.443,1.57,4,-0.09,-10.55,0.61,2.63
XAG_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D+HTF4H|tgt4.0R,47,11.68,0.2485,0.468,1.79,9,-4.75,-10.75,0.41,1.77
XAG_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D+HTF4H|tgt2.0R,72,11.57,0.1607,0.472,1.54,6,1.82,-7.64,0.62,2.65
XAG_INTRA_1H_brk10_b60|no_macro|HTF1D+HTF4H|tgt3.0R,143,11.4,0.0797,0.371,1.19,7,-3.35,-18.1,1.23,5.26
XAG_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt2.0R,59,11.15,0.1889,0.508,1.59,5,1.4,-7.69,0.51,2.19
XAG_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+HTF4H|tgt2.0R,59,11.15,0.1889,0.508,1.59,5,1.4,-7.69,0.51,2.19
XAG_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D+HTF4H|tgt3.0R,112,10.65,0.0951,0.393,1.25,8,-4.1,-17.76,0.96,4.12
XAG_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt4.0R,48,10.63,0.2214,0.458,1.67,9,-5.8,-11.8,0.42,1.81
XAG_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt2.0R,73,10.52,0.1441,0.466,1.47,6,0.77,-8.69,0.63,2.69
XAG_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+HTF4H|tgt2.0R,71,10.52,0.1482,0.465,1.49,4,0.77,-8.61,0.62,2.67
XAG_INTRA_1H_brk10_b60|no_macro|HTF1D|tgt3.0R,144,10.35,0.0718,0.368,1.17,7,-4.4,-19.15,1.24,5.29
XAG_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt4.0R,36,10.16,0.2822,0.5,1.9,5,-3.9,-8.94,0.32,1.36
XAG_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+HTF4H|tgt4.0R,36,10.16,0.2822,0.5,1.9,5,-3.9,-8.94,0.32,1.36
XAG_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D|tgt3.0R,113,9.6,0.085,0.389,1.22,8,-5.15,-18.81,0.97,4.15
XAG_INTRA_1H_brk10_b60|DXY_bear|HTF1D+HTF4H|tgt4.0R,88,9.51,0.1081,0.386,1.28,12,-8.43,-19.39,0.76,3.24
XAG_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt2.0R,72,9.47,0.1316,0.458,1.42,4,-0.28,-9.66,0.63,2.7
XAG_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D+HTF4H|tgt4.0R,90,9.4,0.1045,0.378,1.27,7,-9.71,-20.59,0.79,3.38
XAG_INTRA_1H_brk10_b60|no_macro|HTF1D+HTF4H|tgt2.5R,144,9.13,0.0634,0.375,1.15,7,-3.12,-15.37,1.24,5.29
XAG_INTRA_1H_brk10_b60|DXY_bear|HTF1D|tgt4.0R,89,8.46,0.0951,0.382,1.24,12,-9.48,-20.44,0.77,3.28
XAG_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D+HTF4H|tgt3.0R,48,8.44,0.1758,0.458,1.53,9,-5.8,-11.8,0.42,1.81
XAG_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D|tgt4.0R,91,8.35,0.0918,0.374,1.23,7,-10.76,-21.64,0.8,3.42
XAG_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+HTF4H|tgt4.0R,52,8.24,0.1585,0.442,1.52,6,-5.82,-11.67,0.46,1.96
XAG_INTRA_1H_brk10_b60|no_macro|HTF1D|tgt2.5R,145,8.08,0.0557,0.372,1.13,7,-4.17,-16.42,1.24,5.33
XAG_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt3.0R,37,8.0,0.2162,0.432,1.49,4,-5.89,-13.97,0.14,0.6
XAG_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt4.0R,37,8.0,0.2162,0.405,1.49,4,-7.76,-14.97,0.14,0.6
XAG_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+12H|tgt4.0R,37,8.0,0.2162,0.405,1.49,4,-7.76,-14.97,0.14,0.6
XAG_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+12H|tgt3.0R,37,8.0,0.2162,0.432,1.49,4,-5.89,-13.97,0.14,0.6
XAG_INTRA_1H_brk10_b60|DXY_bear|HTF1D+HTF4H|tgt3.0R,90,7.96,0.0885,0.389,1.22,10,-6.79,-19.78,0.77,3.32
XAG_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+HTF4H|tgt3.0R,37,7.92,0.2139,0.486,1.64,5,-4.95,-9.99,0.33,1.4
XAG_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt3.0R,37,7.92,0.2139,0.486,1.64,5,-4.95,-9.99,0.33,1.4
XAG_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D+HTF4H|tgt2.5R,112,7.89,0.0705,0.393,1.19,8,-4.36,-16.61,0.96,4.12
XAG_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D+HTF4H|tgt3.0R,91,7.5,0.0825,0.385,1.21,6,-7.25,-19.87,0.8,3.42
XAG_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt3.0R,49,7.39,0.1508,0.449,1.44,9,-6.85,-12.85,0.43,1.84
XAG_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt4.0R,68,7.33,0.1079,0.338,1.26,6,-10.69,-20.38,0.24,1.05
XAG_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt4.0R,68,7.33,0.1079,0.338,1.26,6,-10.69,-20.38,0.24,1.05
XAG_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt4.0R,53,7.19,0.1357,0.434,1.42,6,-6.87,-12.72,0.47,1.99
XAG_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D+HTF4H|tgt2.5R,92,7.08,0.077,0.391,1.2,6,-5.17,-17.42,0.81,3.45
XAG_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+HTF4H|tgt3.0R,52,7.05,0.1355,0.442,1.44,6,-5.82,-11.67,0.46,1.96
XAG_INTRA_1H_brk10_b60|DXY_bear|HTF1D|tgt3.0R,91,6.91,0.076,0.385,1.18,10,-7.84,-20.83,0.78,3.35
XAG_SWING_4H_brk10_b70|no_macro|HTF1D|tgt3.0R,71,6.86,0.0966,0.352,1.2,7,-7.89,-21.92,0.25,1.09
XAG_SWING_4H_brk10_b70|no_macro|HTF1D+12H|tgt3.0R,71,6.86,0.0966,0.352,1.2,7,-7.89,-21.92,0.25,1.09
XAG_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D|tgt2.5R,113,6.84,0.0606,0.389,1.16,8,-5.41,-17.66,0.97,4.15
XAG_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D|tgt4.0R,71,6.65,0.0937,0.394,1.24,7,-10.02,-18.74,0.61,2.61
XAG_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D+HTF4H|tgt4.0R,71,6.65,0.0937,0.394,1.24,7,-10.02,-18.74,0.61,2.61
XAG_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D|tgt3.0R,92,6.45,0.0702,0.38,1.18,6,-8.3,-20.92,0.81,3.45
XAG_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D+HTF4H|tgt2.5R,48,6.45,0.1344,0.458,1.41,9,-5.8,-11.8,0.42,1.81
XAG_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt2.5R,37,6.43,0.1738,0.486,1.52,5,-4.95,-9.99,0.33,1.4
XAG_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+HTF4H|tgt2.5R,37,6.43,0.1738,0.486,1.52,5,-4.95,-9.99,0.33,1.4
XAG_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt3.0R,69,6.3,0.0913,0.348,1.21,6,-8.45,-19.66,0.25,1.06
XAG_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt3.0R,69,6.3,0.0913,0.348,1.21,6,-8.45,-19.66,0.25,1.06
XAG_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D|tgt2.5R,93,6.03,0.0649,0.387,1.16,6,-6.22,-18.47,0.81,3.49
XAG_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+12H|tgt2.5R,37,6.0,0.1621,0.432,1.37,4,-5.89,-13.97,0.14,0.6
XAG_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt3.0R,53,6.0,0.1132,0.434,1.35,6,-6.87,-12.72,0.47,1.99
XAG_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt2.5R,37,6.0,0.1621,0.432,1.37,4,-5.89,-13.97,0.14,0.6
XAG_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D|tgt3.0R,73,5.63,0.0771,0.397,1.19,6,-9.12,-19.28,0.63,2.69
XAG_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D+HTF4H|tgt3.0R,73,5.63,0.0771,0.397,1.19,6,-9.12,-19.28,0.63,2.69
XAG_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+HTF4H|tgt2.5R,52,5.56,0.107,0.442,1.35,6,-5.82,-11.67,0.46,1.96
XAG_INTRA_1H_brk10_b60|no_macro|HTF1D+HTF4H|tgt2.0R,148,5.56,0.0376,0.392,1.09,6,-4.19,-13.94,1.27,5.44
XAG_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt2.5R,49,5.4,0.1102,0.449,1.32,9,-6.85,-12.85,0.43,1.84
XAG_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D+HTF4H|tgt2.0R,94,5.14,0.0547,0.415,1.14,6,-4.61,-14.36,0.82,3.53
XAG_SWING_4H_brk10_b70|no_macro|HTF1D+12H|tgt4.0R,70,5.12,0.0732,0.329,1.15,7,-13.76,-24.91,0.25,1.08
XAG_SWING_4H_brk10_b70|no_macro|HTF1D|tgt4.0R,70,5.12,0.0732,0.329,1.15,7,-13.76,-24.91,0.25,1.08
XAG_INTRA_1H_pullback|DXY_strong_bear|HTF1D+HTF4H|tgt4.0R,30,5.0,0.1667,0.433,1.36,5,-9.75,-13.53,0.32,1.36
XAG_INTRA_1H_brk10_b60|DXY_bear|HTF1D+HTF4H|tgt2.5R,90,4.98,0.0553,0.389,1.14,10,-7.27,-18.78,0.77,3.32
XAG_INTRA_1H_pullback|DXY_below_ema200|HTF1D+HTF4H|tgt4.0R,50,4.86,0.0973,0.34,1.2,5,-13.95,-20.87,0.48,2.06
XAG_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D+HTF4H|tgt2.0R,115,4.63,0.0403,0.409,1.11,7,-5.12,-14.87,0.99,4.23
