strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XAU_1H_body60+HTF1D+HTF4H_target3.0R,126,28.82,0.2287,0.444,1.62,9,14.07,-0.29,1.06,4.55
XAU_1H_body60+HTF1D+HTF4H_target2.5R,127,27.0,0.2126,0.449,1.57,9,14.75,2.5,1.07,4.58
XAU_1H_base_decisive_body60_r12_target3.0R,130,26.7,0.2054,0.438,1.54,9,11.95,-2.4,1.1,4.69
XAU_1H_base_decisive_body60_r12_target2.5R,131,26.3,0.2008,0.443,1.52,9,14.05,1.8,1.1,4.73
XAU_1H_body60+HTF1D+HTF4H_target4.0R,125,25.39,0.2031,0.44,1.54,9,8.44,-3.61,1.05,4.51
XAU_1H_base_decisive_body60_r12_target4.0R,129,23.28,0.1804,0.434,1.47,9,6.33,-5.72,1.09,4.66
XAU_1H_body60+HTF1D+HTF4H_target2.0R,131,19.89,0.1518,0.443,1.39,9,10.14,0.39,1.1,4.73
XAU_1H_base_decisive_body60_r12_target2.0R,135,18.69,0.1384,0.437,1.35,9,8.94,-0.81,1.14,4.87
XAU_1H_+HTF1D+HTF12H+HTF4H_target2.5R,82,13.95,0.1701,0.439,1.47,12,1.7,-8.09,0.69,2.96
XAU_1H_+HTF1D_target2.5R,82,13.95,0.1701,0.439,1.47,12,1.7,-8.09,0.69,2.96
XAU_1H_+HTF1D+HTF12H_target2.5R,82,13.95,0.1701,0.439,1.47,12,1.7,-8.09,0.69,2.96
XAU_1H_+HTF1D+HTF4H_target2.5R,82,13.95,0.1701,0.439,1.47,12,1.7,-8.09,0.69,2.96
XAU_1H_+HTF1D+HTF12H_target2.0R,83,13.0,0.1566,0.446,1.43,9,3.25,-6.5,0.7,3.0
XAU_1H_+HTF1D+HTF12H+HTF4H_target2.0R,83,13.0,0.1566,0.446,1.43,9,3.25,-6.5,0.7,3.0
XAU_1H_+HTF1D+HTF4H_target2.0R,83,13.0,0.1566,0.446,1.43,9,3.25,-6.5,0.7,3.0
XAU_1H_+HTF1D_target2.0R,83,13.0,0.1566,0.446,1.43,9,3.25,-6.5,0.7,3.0
XAU_1H_+HTF1D+HTF4H_target4.0R,81,12.34,0.1524,0.432,1.41,12,-0.6,-9.9,0.68,2.92
XAU_1H_+HTF1D_target4.0R,81,12.34,0.1524,0.432,1.41,12,-0.6,-9.9,0.68,2.92
