strategy,tf,period_start,period_end,span_years,n_trades,trades_per_week,trades_per_month,total_r,avg_r,median_r,win_rate,losses,breakeven,wins,profit_factor,max_losing_streak,best_trade_r,worst_trade_r,avg_bars_held,avg_mfe_r,avg_mae_r,r_without_top1,r_without_top3,r_without_top5
A_old_global_strict_LONG,4H,2019-01-01,2026-05-12,7.36,67,0.17,0.76,5.69,0.085,0.0,0.269,30,19,18,1.19,12,2.0,-1.0,5.6,1.17,0.89,3.69,-0.31,-4.31
A_old_global_strict_SHORT,4H,2019-01-01,2026-05-12,7.36,136,0.35,1.54,-18.84,-0.139,-1.0,0.199,70,39,27,0.73,22,2.0,-1.0,5.4,1.11,1.03,-20.84,-24.84,-28.84
A_old_softened_no_bubble_LONG,4H,2019-01-01,2026-05-12,7.36,90,0.23,1.02,10.69,0.119,0.0,0.278,39,26,25,1.27,10,2.0,-1.0,6.0,1.2,0.92,8.69,4.69,0.69
B_XAUUSD_4H_LONG_REJECTION_SWING,4H,2019-01-01,2026-05-12,7.36,1070,2.79,12.12,-59.31,-0.055,0.0,0.18,505,373,193,0.88,42,5.29,-1.0,7.4,1.33,0.97,-64.6,-73.63,-81.85
New_4H_breakout_LONG,4H,2019-01-01,2026-05-12,7.36,846,2.2,9.58,69.91,0.083,0.0,0.266,359,268,225,1.21,29,3.0,-1.0,9.9,1.22,0.83,66.91,60.91,54.91
New_4H_sweep_reentry_LONG,4H,2019-01-01,2026-05-12,7.36,770,2.01,8.72,-61.84,-0.08,0.0,0.177,351,283,136,0.82,36,2.5,-1.0,7.7,1.21,1.01,-64.34,-69.34,-74.34
C_XAUUSD_1H_LONG_REJECTION_EXECUTION,1H,2024-01-01,2026-05-12,2.36,1338,10.88,47.3,22.38,0.017,0.0,0.174,624,481,233,1.04,42,6.1,-1.0,8.7,1.35,0.96,16.28,4.5,-5.38
New_1H_simple_rejection_LONG,1H,2024-01-01,2026-05-12,2.36,1139,9.26,40.27,-23.85,-0.021,0.0,0.235,523,350,268,0.95,24,2.0,-1.0,6.9,1.18,0.93,-25.85,-29.85,-33.85
New_1H_simple_rejection_SHORT,1H,2024-01-01,2026-05-12,2.36,900,7.32,31.82,-241.82,-0.269,-1.0,0.137,472,306,123,0.49,37,2.0,-1.0,5.6,1.09,0.96,-243.82,-247.82,-251.82
New_1H_rsi_reclaim_LONG,1H,2024-01-01,2026-05-12,2.36,272,2.21,9.62,5.7,0.021,0.0,0.257,118,85,70,1.05,17,2.0,-1.0,7.7,1.13,0.91,3.7,-0.3,-4.3
D_intraday_bb_30M_rejection_LONG,30M,2025-01-01,2026-05-12,1.36,1378,19.49,84.74,-139.74,-0.101,0.0,0.211,680,409,291,0.79,33,2.0,-1.0,6.9,1.1,0.95,-141.74,-145.74,-149.74
D_intraday_bb_30M_rejection_SHORT,30M,2025-01-01,2026-05-12,1.36,1079,15.26,66.35,-265.88,-0.246,-1.0,0.156,584,329,168,0.54,47,2.0,-1.0,5.6,1.05,0.95,-267.88,-271.88,-275.88
New_30M_momentum_LONG,30M,2025-01-01,2026-05-12,1.36,1210,17.11,74.41,6.61,0.005,0.0,0.321,560,278,388,1.01,18,2.0,-1.0,8.3,1.03,0.82,4.61,0.61,-3.39
New_30M_momentum_SHORT,30M,2025-01-01,2026-05-12,1.36,720,10.18,44.28,-74.18,-0.103,-0.13,0.26,375,169,187,0.77,22,2.0,-1.0,8.3,0.97,0.79,-76.18,-80.18,-84.18
New_30M_sweep_reentry_LONG,30M,2025-01-01,2026-05-12,1.36,1213,17.15,74.59,-162.67,-0.134,0.0,0.206,580,386,250,0.71,34,2.0,-1.0,6.4,1.07,0.94,-164.67,-168.67,-172.67
New_30M_sweep_reentry_SHORT,30M,2025-01-01,2026-05-12,1.36,1534,21.69,94.33,-442.98,-0.289,-1.0,0.133,808,525,204,0.44,54,2.0,-1.0,5.2,1.01,0.97,-444.98,-448.98,-452.98
New_15M_rejection_LONG,15M,2025-11-30,2026-05-12,0.44,932,40.27,175.12,-136.71,-0.147,-0.003,0.201,466,284,187,0.7,46,2.0,-1.0,7.1,1.04,0.96,-138.71,-142.71,-146.71
New_15M_rejection_SHORT,15M,2025-11-30,2026-05-12,0.44,740,31.98,139.05,-112.19,-0.152,0.0,0.169,356,260,125,0.68,37,2.0,-1.0,6.1,1.1,0.88,-114.19,-118.19,-122.19
