strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
LONG|cl5|direct_bos|stop1.0|div_req=False|tgt5.0R,43,4.05,0.0941,0.488,1.25,5,-7.42,-12.84,0.12,0.49
LONG|cl5|direct_bos|stop0.75|div_req=False|tgt5.0R,45,3.82,0.0849,0.467,1.2,5,-8.99,-15.64,0.12,0.52
LONG|cl5|direct_bos|stop1.0|div_req=True|tgt5.0R,42,3.47,0.0827,0.476,1.21,5,-7.99,-13.41,0.11,0.48
SHORT|cl5|pullback|stop1.0|div_req=True|tgt4.0R,6,3.36,0.5601,0.5,2.28,2,-1.05,0.0,0.03,0.15
LONG|cl5|direct_bos|stop0.75|div_req=True|tgt5.0R,44,3.21,0.0729,0.455,1.17,5,-9.6,-16.25,0.12,0.51
SHORT|cl5|pullback|stop0.75|div_req=True|tgt4.0R,6,3.07,0.5111,0.333,2.13,2,-1.05,0.0,0.03,0.15
LONG|cl5|direct_bos|stop1.0|div_req=False|tgt4.0R,43,3.05,0.0709,0.488,1.19,5,-7.42,-12.84,0.12,0.49
LONG|cl7|direct_bos|stop1.0|div_req=True|tgt5.0R,31,2.98,0.096,0.419,1.27,7,-7.79,-10.58,0.08,0.35
SHORT|cl5|pullback|stop0.75|div_req=True|tgt5.0R,6,2.95,0.4924,0.333,2.09,2,-1.05,0.0,0.03,0.15
SHORT|cl5|pullback|stop1.0|div_req=True|tgt5.0R,6,2.86,0.4771,0.5,2.09,2,-1.05,0.0,0.03,0.15
LONG|cl5|direct_bos|stop0.75|div_req=False|tgt4.0R,45,2.82,0.0626,0.467,1.15,5,-8.99,-15.64,0.12,0.52
SHORT|cl5|pullback|stop1.0|div_req=True|tgt2.5R,6,2.68,0.4469,0.5,2.02,2,-1.05,0.0,0.03,0.15
LONG|cl5|direct_bos|stop0.75|div_req=False|tgt3.0R,45,2.56,0.0569,0.467,1.13,5,-8.99,-15.64,0.12,0.52
LONG|cl7|direct_bos|stop1.0|div_req=False|tgt5.0R,32,2.54,0.0792,0.406,1.22,7,-8.24,-11.02,0.08,0.36
LONG|cl5|direct_bos|stop1.0|div_req=True|tgt4.0R,42,2.47,0.0589,0.476,1.15,5,-7.99,-13.41,0.11,0.48
SHORT|cl5|pullback|stop1.0|div_req=True|tgt3.0R,6,2.36,0.3934,0.5,1.9,2,-1.05,0.0,0.03,0.15
LONG|cl7|direct_bos|stop0.75|div_req=True|tgt5.0R,32,2.22,0.0694,0.375,1.17,7,-9.69,-13.0,0.08,0.36
LONG|cl5|direct_bos|stop0.75|div_req=True|tgt4.0R,44,2.21,0.0502,0.455,1.11,5,-9.6,-16.25,0.12,0.51
SHORT|cl5|pullback|stop0.75|div_req=True|tgt2.5R,6,2.18,0.3632,0.333,1.8,2,-1.05,0.0,0.03,0.15
SHORT|cl5|pullback|stop0.75|div_req=True|tgt3.0R,6,2.07,0.3445,0.333,1.76,2,-1.05,0.0,0.03,0.15
LONG|cl5|direct_bos|stop1.0|div_req=False|tgt3.0R,43,2.05,0.0476,0.488,1.13,5,-7.42,-12.84,0.12,0.49
LONG|cl7|direct_bos|stop1.0|div_req=True|tgt4.0R,31,1.98,0.0638,0.419,1.18,7,-7.79,-10.58,0.08,0.35
LONG|cl5|direct_bos|stop0.75|div_req=True|tgt3.0R,44,1.95,0.0443,0.455,1.1,5,-9.6,-16.25,0.12,0.51
SHORT|cl7|pullback|stop1.0|div_req=True|tgt4.0R,6,1.8,0.2992,0.5,1.68,3,-1.05,0.0,0.03,0.13
SHORT|cl5|pullback|stop1.0|div_req=True|tgt2.0R,6,1.68,0.2802,0.5,1.64,2,-1.05,0.0,0.03,0.15
LONG|cl5|direct_bos|stop0.75|div_req=False|tgt2.5R,45,1.56,0.0346,0.467,1.08,5,-8.99,-15.64,0.12,0.52
LONG|cl5|direct_bos|stop1.0|div_req=False|tgt2.5R,43,1.55,0.036,0.488,1.09,5,-7.42,-12.84,0.12,0.49
LONG|cl7|direct_bos|stop1.0|div_req=False|tgt4.0R,32,1.54,0.048,0.406,1.13,7,-8.24,-11.02,0.08,0.36
LONG|cl5|direct_bos|stop1.0|div_req=True|tgt3.0R,42,1.47,0.0351,0.476,1.09,5,-7.99,-13.41,0.11,0.48
SHORT|cl7|pullback|stop0.75|div_req=True|tgt4.0R,6,1.31,0.2178,0.333,1.48,3,-1.05,0.0,0.03,0.13
SHORT|cl7|pullback|stop1.0|div_req=True|tgt5.0R,6,1.3,0.2162,0.5,1.49,3,-1.05,0.0,0.03,0.13
LONG|cl7|direct_bos|stop0.75|div_req=True|tgt4.0R,32,1.22,0.0382,0.375,1.09,7,-9.69,-13.0,0.08,0.36
SHORT|cl7|pullback|stop0.75|div_req=True|tgt5.0R,6,1.19,0.1991,0.333,1.44,3,-1.05,0.0,0.03,0.13
SHORT|cl5|pullback|stop0.75|div_req=True|tgt2.0R,6,1.18,0.1966,0.333,1.43,2,-1.05,0.0,0.03,0.15
LONG|cl7|direct_bos|stop0.75|div_req=False|tgt5.0R,33,1.17,0.0355,0.364,1.08,7,-10.74,-14.05,0.09,0.37
LONG|cl5|direct_bos|stop1.0|div_req=False|tgt2.0R,43,1.04,0.0243,0.488,1.06,5,-7.42,-12.84,0.12,0.49
LONG|cl7|direct_bos|stop1.0|div_req=True|tgt3.0R,31,0.98,0.0315,0.419,1.09,7,-7.79,-10.58,0.08,0.35
LONG|cl5|direct_bos|stop1.0|div_req=True|tgt2.5R,42,0.97,0.0232,0.476,1.06,5,-7.99,-13.41,0.11,0.48
LONG|cl7|direct_bos|stop0.75|div_req=True|tgt3.0R,32,0.96,0.03,0.375,1.07,7,-9.69,-13.0,0.08,0.36
LONG|cl5|direct_bos|stop0.75|div_req=True|tgt2.5R,44,0.95,0.0215,0.455,1.05,5,-9.6,-16.25,0.12,0.51
SHORT|cl7|pullback|stop1.0|div_req=True|tgt3.0R,6,0.8,0.1326,0.5,1.3,3,-1.05,0.0,0.03,0.13
LONG|cl7|direct_bos|stop1.0|div_req=False|tgt3.0R,32,0.54,0.0167,0.406,1.05,7,-8.24,-11.02,0.08,0.36
LONG|cl7|direct_bos|stop1.0|div_req=True|tgt2.5R,31,0.48,0.0154,0.419,1.04,7,-7.79,-10.58,0.08,0.35
LONG|cl5|direct_bos|stop1.0|div_req=True|tgt2.0R,42,0.47,0.0112,0.476,1.03,5,-7.99,-13.41,0.11,0.48
SHORT|cl7|pullback|stop0.75|div_req=True|tgt3.0R,6,0.31,0.0511,0.333,1.11,3,-1.05,0.0,0.03,0.13
SHORT|cl7|pullback|stop1.0|div_req=True|tgt2.5R,6,0.3,0.0492,0.5,1.11,3,-1.05,0.0,0.03,0.13
LONG|cl5|direct_bos|stop0.75|div_req=False|tgt2.0R,45,0.25,0.0057,0.467,1.01,5,-8.99,-15.64,0.12,0.52
LONG|cl7|direct_bos|stop0.75|div_req=False|tgt4.0R,33,0.17,0.0052,0.364,1.01,7,-10.74,-14.05,0.09,0.37
LONG|cl7|direct_bos|stop1.0|div_req=False|tgt2.5R,32,0.04,0.0011,0.406,1.0,7,-8.24,-11.02,0.08,0.36
LONG|cl7|direct_bos|stop1.0|div_req=True|tgt2.0R,31,-0.02,-0.0007,0.419,1.0,7,-7.79,-10.58,0.08,0.35
SHORT|cl5|direct_bos|stop1.0|div_req=True|tgt4.0R,16,-0.03,-0.0016,0.375,1.0,6,-8.27,-6.3,0.05,0.22
LONG|cl7|direct_bos|stop0.75|div_req=True|tgt2.5R,32,-0.04,-0.0012,0.375,1.0,7,-9.69,-13.0,0.08,0.36
LONG|cl7|direct_bos|stop0.75|div_req=False|tgt3.0R,33,-0.09,-0.0027,0.364,0.99,7,-10.74,-14.05,0.09,0.37
LONG|cl5|pullback|stop1.0|div_req=True|tgt2.0R,16,-0.18,-0.0112,0.5,0.97,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=False|tgt2.0R,16,-0.18,-0.0112,0.5,0.97,2,-5.76,-6.3,0.04,0.18
SHORT|cl7|pullback|stop0.75|div_req=True|tgt2.5R,6,-0.19,-0.0322,0.333,0.93,3,-1.05,0.0,0.03,0.13
