event_idx,event_type,ob_idx,entry_idx,entry_time,entry,stop,R_pts,r,exit_idx
50,BOS_BULL,41,56,2019-01-15 07:00:00,1287.95,1284.2019262829083,3.7480737170917564,0.0,58
532,CHOCH_BULL,523,536,2019-05-08 14:00:00,1281.094778575958,1275.0515178744442,6.0432607015136455,2.292673129354135,560
1259,CHOCH_BULL,1258,1271,2019-10-28 10:00:00,1492.86,1484.972506362702,7.887493637297894,-1.0,1277
2077,CHOCH_BULL,2073,2089,2020-05-11 14:00:00,1693.81,1675.7758987965547,18.03410120344529,3.000981273724962,2113
2304,CHOCH_BULL,2303,2309,2020-07-01 10:00:00,1771.69,1760.1588815683483,11.531118431651748,-1.0,2310
2739,CHOCH_BULL,2734,2751,2020-10-13 10:00:00,1894.68,1876.485287316582,18.194712683418174,0.0,2757
2787,CHOCH_BULL,2779,2793,2020-10-22 10:00:00,1904.07,1889.912636415142,14.157363584857876,-1.0,2817
3162,CHOCH_BULL,3161,3173,2021-01-22 11:00:00,1844.4451537722032,1827.3028521800202,17.142301592183003,0.0,3188
3371,CHOCH_BULL,3370,3376,2021-03-11 11:00:00,1719.7170328452585,1703.0183823406915,16.698650504567013,-1.0,3381
3592,CHOCH_BULL,3587,3599,2021-05-04 14:00:00,1772.27,1759.3965761684008,12.873423831599212,5.0,3616
3762,CHOCH_BULL,3759,3766,2021-06-11 14:00:00,1878.9851559163008,1865.666301767647,13.318854148653827,-1.0,3768
3813,CHOCH_BULL,3807,3814,2021-06-23 14:00:00,1781.988493169983,1767.094764064158,14.89372910582506,-1.0,3837
4526,CHOCH_BULL,4523,4529,2021-12-08 11:00:00,1780.9489844539958,1768.1952109776666,12.753773476329116,-1.0,4553
4774,CHOCH_BULL,4769,4775,2022-02-04 11:00:00,1796.1780607895791,1784.718224094377,11.459836695202057,3.077874506291033,4799
5128,CHOCH_BULL,5121,5133,2022-05-02 02:00:00,1883.1088482829307,1866.2904569478135,16.818391335117212,-1.0,5135
5310,CHOCH_BULL,5309,5315,2022-06-13 10:00:00,1834.9054943607423,1819.2156940637326,15.689800297009697,-1.0,5317
5630,CHOCH_BULL,5627,5638,2022-08-26 06:00:00,1749.32,1738.8369793285601,10.483020671439817,-1.0,5640
6306,CHOCH_BULL,6305,6310,2023-02-02 11:00:00,1929.8845047815023,1914.6009768397162,15.283527941786133,-1.0,6311
6815,CHOCH_BULL,6813,6820,2023-06-02 10:00:00,1963.22,1948.6259103377402,14.594089662259876,-1.0,6822
