event_idx,event_type,ob_idx,entry_idx,entry_time,entry,stop,R_pts,r,exit_idx
50,BOS_BULL,47,50,2019-01-14 07:00:00,1295.18,1285.0852126977686,10.094787302231452,-1.0,74
104,CHOCH_BULL,99,104,2019-01-25 11:00:00,1293.64,1277.5507247006028,16.089275299397286,2.0,128
195,CHOCH_BULL,194,195,2019-02-15 15:00:00,1320.66,1313.8255524338272,6.834447566172912,2.0,205
281,CHOCH_BULL,279,281,2019-03-08 03:00:00,1292.41,1282.7352444970536,9.674755502946482,1.2589465435369787,305
406,CHOCH_BULL,405,406,2019-04-07 22:00:00,1296.26,1289.0243111327213,7.235688867278668,0.0,427
481,CHOCH_BULL,477,481,2019-04-25 10:00:00,1281.92,1273.0360566310062,8.883943368993869,-0.13507515189574523,505
532,CHOCH_BULL,531,532,2019-05-07 22:00:00,1286.25,1281.7281030308689,4.521896969131149,0.0,535
601,CHOCH_BULL,597,601,2019-05-23 10:00:00,1283.45,1271.6861662669453,11.763833733054753,-0.1615119733171128,625
631,CHOCH_BULL,629,631,2019-05-30 14:00:00,1288.04,1273.1997920119325,14.840207988067505,2.0,642
691,CHOCH_BULL,690,691,2019-06-13 14:00:00,1341.27,1331.4461107538186,9.823889246181352,0.0,697
834,CHOCH_BULL,832,834,2019-07-17 14:00:00,1423.97,1396.4162345818886,27.553765418111425,0.0,846
900,CHOCH_BULL,899,900,2019-08-01 14:00:00,1438.48,1396.236008118787,42.243991881213105,1.5303951430961111,924
1117,CHOCH_BULL,1115,1117,2019-09-20 18:00:00,1516.55,1495.034601806352,21.515398193648025,-0.5614583514222988,1141
1259,CHOCH_BULL,1258,1259,2019-10-24 10:00:00,1498.98,1485.4056289888797,13.57437101112032,0.0,1271
1424,CHOCH_BULL,1423,1424,2019-12-03 07:00:00,1470.22,1457.607376817076,12.612623182923926,0.0,1443
1462,CHOCH_BULL,1459,1462,2019-12-11 15:00:00,1470.3,1460.9701204960108,9.329879503989105,0.0,1467
1729,CHOCH_BULL,1726,1729,2020-02-14 11:00:00,1582.56,1571.922897621662,10.637102378337886,2.0,1741
1812,CHOCH_BULL,1807,1812,2020-03-05 11:00:00,1658.43,1627.0244543332763,31.40554566672381,0.0,1819
1884,CHOCH_BULL,1883,1884,2020-03-23 10:00:00,1528.65,1472.6161869956352,56.0338130043649,2.0,1903
1943,CHOCH_BULL,1940,1943,2020-04-06 06:00:00,1634.8,1608.2180116595518,26.581988340448106,2.0,1963
2010,CHOCH_BULL,2008,2010,2020-04-22 10:00:00,1708.39,1672.3935684970988,35.99643150290126,-0.29391802348928453,2034
2077,CHOCH_BULL,2074,2077,2020-05-07 14:00:00,1719.69,1681.4625246126304,38.22747538736962,-0.23595594290749827,2101
2171,CHOCH_BULL,2166,2171,2020-05-29 10:00:00,1728.69,1707.910353571382,20.77964642861798,-1.0,2189
2219,CHOCH_BULL,2215,2219,2020-06-10 10:00:00,1723.66,1707.2516051291427,16.408394870857364,0.0,2227
2506,CHOCH_BULL,2503,2506,2020-08-17 10:00:00,1972.76,1919.6473868039368,53.112613196063194,-1.0,2530
2570,CHOCH_BULL,2568,2570,2020-09-01 02:00:00,1987.85,1959.2303354229748,28.619664577025105,-1.0,2575
2686,CHOCH_BULL,2684,2686,2020-09-28 14:00:00,1878.32,1841.8249227873814,36.495077212618526,0.6200836312294626,2710
2739,CHOCH_BULL,2734,2739,2020-10-09 10:00:00,1923.32,1876.8287894856296,46.49121051437032,-0.5949511680589649,2763
2787,CHOCH_BULL,2783,2787,2020-10-21 10:00:00,1926.1,1901.9718976745764,24.12810232542347,-1.0,2793
2852,CHOCH_BULL,2848,2852,2020-11-05 07:00:00,1918.17,1887.5868930810354,30.58310691896463,0.0,2865
2964,CHOCH_BULL,2962,2964,2020-12-02 07:00:00,1829.82,1803.1522155839643,26.6677844160356,0.0,2983
3296,CHOCH_BULL,3293,3296,2021-02-22 03:00:00,1790.86,1771.9781247084866,18.881875291513325,0.0,3310
3476,CHOCH_BULL,3473,3476,2021-04-06 02:00:00,1737.59,1721.3681036876553,16.221896312344597,0.0,3496
3520,CHOCH_BULL,3517,3520,2021-04-15 10:00:00,1754.57,1730.3906006557927,24.17939934420724,1.7064112889092433,3544
3577,CHOCH_BULL,3575,3577,2021-04-28 22:00:00,1788.94,1767.3674610577189,21.5725389422812,-1.0,3580
3592,CHOCH_BULL,3588,3592,2021-05-03 10:00:00,1792.11,1762.3391110563462,29.770888943653745,1.5595772127556016,3616
3649,CHOCH_BULL,3643,3649,2021-05-16 22:00:00,1851.15,1817.8716606716816,33.27833932831845,0.6030949982807952,3673
3742,CHOCH_BULL,3739,3742,2021-06-07 14:00:00,1897.72,1879.022133787296,18.697866212703957,-1.0,3758
3813,CHOCH_BULL,3810,3813,2021-06-23 10:00:00,1794.33,1771.9774382229393,22.3525617770606,-1.0,3828
3902,CHOCH_BULL,3897,3902,2021-07-14 10:00:00,1823.31,1802.8226190436073,20.4873809563926,-1.0,3919
4033,CHOCH_BULL,4028,4033,2021-08-13 06:00:00,1758.48,1737.4840499222846,20.995950077715406,1.4593290556791916,4057
4291,CHOCH_BULL,4286,4291,2021-10-13 10:00:00,1781.68,1753.4833079467624,28.19669205323771,-0.12341873271621676,4315
4526,CHOCH_BULL,4525,4526,2021-12-07 23:00:00,1790.12,1779.8138115260433,10.306188473956581,-1.0,4529
4704,CHOCH_BULL,4700,4704,2022-01-19 15:00:00,1841.94,1807.4479013613127,34.49209863868737,0.2986191158704147,4728
4774,CHOCH_BULL,4771,4774,2022-02-04 07:00:00,1813.27,1801.1403951785599,12.129604821440125,-1.0,4775
4975,CHOCH_BULL,4970,4975,2022-03-23 18:00:00,1944.09,1910.202620770761,33.88737922923883,-1.0,4996
5128,CHOCH_BULL,5124,5128,2022-04-29 06:00:00,1914.75,1877.6290700538414,37.12092994615864,-1.0,5134
5149,CHOCH_BULL,5147,5149,2022-05-04 18:00:00,1881.16,1855.7203180627105,25.439681937289606,0.0,5154
5213,CHOCH_BULL,5211,5213,2022-05-19 10:00:00,1839.5,1807.890420579328,31.609579420671935,0.31572707334009414,5237
5274,CHOCH_BULL,5270,5274,2022-06-02 14:00:00,1868.08,1840.5714922946572,27.50850770534271,-1.0,5288
5310,CHOCH_BULL,5309,5310,2022-06-10 14:00:00,1869.73,1820.0367335207852,49.6932664792148,-1.0,5317
5488,CHOCH_BULL,5487,5488,2022-07-22 06:00:00,1724.27,1708.3074460190523,15.962553980947632,1.0624866183846846,5512
5630,CHOCH_BULL,5627,5630,2022-08-24 22:00:00,1755.21,1738.8710282919358,16.338971708064264,-1.0,5640
5787,CHOCH_BULL,5781,5787,2022-09-30 02:00:00,1667.62,1637.3415476951948,30.278452304805114,2.0,5802
5940,CHOCH_BULL,5938,5940,2022-11-04 14:00:00,1674.47,1638.6128471293216,35.85715287067842,2.0,5964
6129,CHOCH_BULL,6127,6129,2022-12-20 07:00:00,1806.59,1780.1444860042589,26.445513995741067,0.07789600914287113,6153
6175,CHOCH_BULL,6171,6175,2023-01-02 23:00:00,1838.35,1809.1355831358685,29.214416864131408,1.3948592638188728,6199
6306,CHOCH_BULL,6305,6306,2023-02-01 19:00:00,1950.06,1915.0370966098715,35.02290339012848,-1.0,6311
6419,CHOCH_BULL,6417,6419,2023-02-28 15:00:00,1828.13,1800.834184946565,27.295815053435035,0.6938792618180613,6443
6466,CHOCH_BULL,6463,6466,2023-03-10 11:00:00,1858.39,1823.7300559523032,34.659944047696854,2.0,6484
6815,CHOCH_BULL,6813,6815,2023-06-01 14:00:00,1978.05,1948.407123394421,29.642876605578977,-1.0,6822
6879,CHOCH_BULL,6878,6879,2023-06-16 06:00:00,1964.29,1950.0771153841422,14.212884615857774,-1.0,6886
6981,CHOCH_BULL,6978,6981,2023-07-11 06:00:00,1938.16,1921.4189667890691,16.741033210930937,0.0,6988
7047,CHOCH_BULL,7045,7047,2023-07-26 06:00:00,1971.41,1958.6596281205063,12.750371879493741,-1.0,7054
7168,CHOCH_BULL,7164,7168,2023-08-23 10:00:00,1917.94,1892.9448646077547,24.995135392245402,0.12042343251054469,7192
7377,CHOCH_BULL,7376,7377,2023-10-11 06:00:00,1870.46,1854.9507142990965,15.509285700903547,2.0,7390
7522,CHOCH_BULL,7520,7522,2023-11-14 11:00:00,1967.77,1939.6775877216062,28.092412278393795,0.08543232158976818,7546
7649,CHOCH_BULL,7647,7649,2023-12-13 19:00:00,2027.3,1974.0120892490838,53.287910750916126,0.24208117410154448,7673
7766,CHOCH_BULL,7762,7766,2024-01-12 07:00:00,2045.92,2008.6106873187425,37.30931268125755,-1.0,7786
7845,CHOCH_BULL,7842,7845,2024-01-31 11:00:00,2051.61,2028.4123765351856,23.19762346481457,-1.0,7857
7918,CHOCH_BULL,7917,7918,2024-02-16 15:00:00,2013.87,1991.2185393403804,22.651460659619488,0.3884959178675769,7942
8057,CHOCH_BULL,8056,8057,2024-03-20 18:00:00,2186.2,2149.9457168215135,36.254283178486276,0.0,8058
8209,CHOCH_BULL,8205,8209,2024-04-26 02:00:00,2337.75,2304.936504441838,32.813495558161776,-1.0,8223
8266,CHOCH_BULL,8264,8266,2024-05-09 14:00:00,2334.85,2300.4055385740094,34.44446142599054,0.0,8278
8380,CHOCH_BULL,8378,8380,2024-06-05 14:00:00,2355.06,2321.4063930691987,33.65360693080129,-1.0,8391
8443,CHOCH_BULL,8441,8443,2024-06-20 02:00:00,2340.24,2323.2429096737924,16.9970903262074,0.0,8451
8498,CHOCH_BULL,8496,8498,2024-07-03 06:00:00,2346.3,2323.532153878737,22.76784612126312,2.0,8513
8614,CHOCH_BULL,8610,8614,2024-07-30 14:00:00,2405.7,2369.936607980312,35.76339201968767,2.0,8631
8774,CHOCH_BULL,8768,8774,2024-09-05 06:00:00,2515.45,2466.280710051614,49.169289948385995,0.15944911972961076,8798
8932,CHOCH_BULL,8930,8932,2024-10-11 14:00:00,2659.61,2629.8427552014805,29.76724479851964,1.0857571877665688,8956
9090,CHOCH_BULL,9085,9090,2024-11-18 23:00:00,2622.47,2572.642299138316,49.82770086168375,1.462640233036379,9114
9176,CHOCH_BULL,9175,9176,2024-12-09 07:00:00,2657.55,2627.942971066028,29.607028933972288,2.0,9190
9271,CHOCH_BULL,9270,9271,2025-01-02 07:00:00,2642.67,2625.866030288327,16.80396971167329,0.0,9279
9693,CHOCH_BULL,9691,9693,2025-04-10 14:00:00,3162.68,3085.5970832946,77.08291670539984,2.0,9715
9791,CHOCH_BULL,9786,9791,2025-05-05 22:00:00,3379.54,3237.9141438736974,141.62585612630255,-0.7598894929469935,9815
9854,CHOCH_BULL,9852,9854,2025-05-20 10:00:00,3261.09,3190.3642514516864,70.72574854831373,1.0921057971869477,9878
9952,CHOCH_BULL,9951,9952,2025-06-11 18:00:00,3355.14,3308.413512193957,46.72648780604277,2.0,9965
10081,CHOCH_BULL,10075,10081,2025-07-11 10:00:00,3351.82,3304.348641281762,47.47135871823821,-0.6884150966474198,10105
10171,CHOCH_BULL,10170,10171,2025-08-01 10:00:00,3342.13,3275.4195831874167,66.71041681258339,0.6426282737887713,10195
10250,CHOCH_BULL,10246,10250,2025-08-20 14:00:00,3346.75,3304.7020123906455,42.04798760935455,0.8335714024088634,10274
10594,CHOCH_BULL,10593,10594,2025-11-09 23:00:00,4048.3,3979.8057142366074,68.49428576339278,2.0,10610
10658,CHOCH_BULL,10654,10658,2025-11-24 15:00:00,4120.45,4021.7194001248463,98.73059987515353,1.0129584964181775,10682
10821,CHOCH_BULL,10819,10821,2026-01-04 23:00:00,4405.55,4288.748725326786,116.80127467321381,0.5468262241032484,10845
10985,CHOCH_BULL,10981,10985,2026-02-11 07:00:00,5093.25,4965.211930297799,128.03806970220103,-1.0,10993
11100,CHOCH_BULL,11098,11100,2026-03-10 10:00:00,5205.79,5123.406514258445,82.38348574155498,-1.0,11113
11187,CHOCH_BULL,11186,11187,2026-03-30 22:00:00,4604.94,4456.350887104288,148.58911289571188,0.0,11200
11338,CHOCH_BULL,11336,11338,2026-05-06 02:00:00,4662.95,4532.102302420739,130.84769757926097,0.39137104394962385,11362
