event_idx,event_type,ob_idx,entry_idx,entry_time,entry,stop,R_pts,r,exit_idx
50,BOS_BULL,47,51,2019-01-14 11:00:00,1288.9,1285.53691,3.3630900000000565,0.0,56
481,CHOCH_BULL,477,482,2019-04-25 14:00:00,1277.21,1265.7268199999999,11.483180000000175,0.5033448922685079,506
532,CHOCH_BULL,531,533,2019-05-08 02:00:00,1286.09,1276.391485,9.698514999999816,0.0,553
691,CHOCH_BULL,690,699,2019-06-16 22:00:00,1337.49,1319.3200100000001,18.16998999999987,3.6901506274907376,723
1259,CHOCH_BULL,1258,1271,2019-10-28 10:00:00,1492.86,1487.2460050000002,5.613994999999704,-1.0,1277
1462,CHOCH_BULL,1459,1469,2019-12-12 19:00:00,1464.27,1457.980645,6.289354999999887,1.7728368012300613,1493
2077,CHOCH_BULL,2074,2089,2020-05-11 14:00:00,1693.47,1680.5992800000001,12.870719999999892,4.23130951493005,2113
2570,CHOCH_BULL,2568,2573,2020-09-01 14:00:00,1972.82,1909.02501,63.79498999999987,-0.6934713838814004,2597
2739,CHOCH_BULL,2734,2751,2020-10-13 10:00:00,1894.68,1880.9690450000003,13.710954999999785,0.0,2757
2787,CHOCH_BULL,2783,2791,2020-10-22 02:00:00,1914.09,1893.662695,20.427304999999933,-1.0,2802
2964,CHOCH_BULL,2962,2965,2020-12-02 11:00:00,1815.49,1763.427845,52.062155000000075,1.0475939768532418,2989
3577,CHOCH_BULL,3575,3579,2021-04-29 06:00:00,1775.89,1761.8186500000002,14.071349999999939,-1.0,3580
3592,CHOCH_BULL,3588,3604,2021-05-05 10:00:00,1770.33,1763.3278950000001,7.002104999999801,5.0,3610
3742,CHOCH_BULL,3739,3747,2021-06-08 10:00:00,1888.71,1854.902085,33.807915000000094,-1.0,3771
3813,CHOCH_BULL,3810,3814,2021-06-23 14:00:00,1782.02,1771.563775,10.456224999999904,-1.0,3828
4291,CHOCH_BULL,4286,4303,2021-10-15 10:00:00,1769.34,1749.2849200000003,20.055079999999634,0.5225608673712699,4327
4526,CHOCH_BULL,4525,4528,2021-12-08 07:00:00,1786.4,1771.3139,15.086099999999988,-1.0,4540
5128,CHOCH_BULL,5124,5132,2022-05-01 22:00:00,1891.7,1871.153955,20.54604500000005,-1.0,5135
5149,CHOCH_BULL,5147,5156,2022-05-05 22:00:00,1871.71,1849.4548100000002,22.255189999999857,-1.0,5172
5274,CHOCH_BULL,5270,5280,2022-06-03 14:00:00,1848.93,1827.5857500000002,21.344249999999874,-0.008901694835848328,5304
5310,CHOCH_BULL,5309,5315,2022-06-13 10:00:00,1845.86,1824.18745,21.67255,-1.0,5316
5488,CHOCH_BULL,5487,5496,2022-07-25 14:00:00,1716.88,1680.029565,36.85043500000006,1.3172164724785442,5520
5630,CHOCH_BULL,5627,5638,2022-08-26 06:00:00,1749.32,1741.56878,7.751219999999876,-1.0,5640
6306,CHOCH_BULL,6305,6310,2023-02-02 11:00:00,1932.27,1919.5397500000001,12.730249999999842,-1.0,6311
6815,CHOCH_BULL,6813,6820,2023-06-02 10:00:00,1963.22,1952.333345,10.886655000000019,-1.0,6821
6879,CHOCH_BULL,6878,6880,2023-06-16 10:00:00,1959.38,1923.57773,35.802270000000135,-1.0,6898
7047,CHOCH_BULL,7045,7048,2023-07-26 10:00:00,1966.24,1950.36433,15.8756699999999,0.0,7054
7845,CHOCH_BULL,7842,7847,2024-01-31 19:00:00,2038.7,2008.3753100000001,30.32468999999992,-0.09068518095321032,7871
8057,CHOCH_BULL,8056,8066,2024-03-22 06:00:00,2164.83,2145.996465,18.833534999999756,1.751131691421735,8090
8209,CHOCH_BULL,8205,8212,2024-04-26 14:00:00,2334.71,2303.657595,31.052404999999908,-1.0,8223
8380,CHOCH_BULL,8378,8390,2024-06-07 06:00:00,2338.41,2314.40222,24.00777999999991,-1.0,8391
8774,CHOCH_BULL,8768,8782,2024-09-06 14:00:00,2493.44,2470.4541550000004,22.9858449999997,2.63858039589151,8806
8932,CHOCH_BULL,8930,8934,2024-10-13 22:00:00,2647.09,2600.47911,46.61088999999993,1.2349045469846218,8958
9271,CHOCH_BULL,9270,9272,2025-01-02 11:00:00,2636.54,2594.7719650000004,41.7680349999996,0.5939949054342677,9296
9952,CHOCH_BULL,9951,9955,2025-06-12 06:00:00,3342.73,3300.08913,42.64087000000018,0.8323000914380883,9979
11100,CHOCH_BULL,11098,11101,2026-03-10 14:00:00,5186.39,5012.07271,174.31728999999996,-1.0,11120
