config,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5,r_no_top10,trades_per_month
V3b|direct_bos|tgt2.0R,97,18.24,0.188,0.433,1.56,6,8.49,-1.26,1.09
V3b|direct_bos|tgt3.0R,97,15.9,0.1639,0.423,1.49,6,1.84,-7.92,1.09
V3b|direct_bos|tgt2.5R,97,14.09,0.1452,0.423,1.44,6,1.84,-7.92,1.09
V3b|direct_bos|tgt5.0R,97,13.88,0.1431,0.423,1.43,6,0.08,-9.37,1.09
V3b|direct_bos|tgt4.0R,97,13.88,0.1431,0.423,1.43,6,0.08,-9.37,1.09
V3c|touch_in_zone|tgt5.0R,36,6.54,0.1817,0.361,1.36,6,-10.54,-16.47,0.41
V3b|touch_in_zone|tgt5.0R,40,6.17,0.1543,0.175,1.35,15,-14.67,-17.5,0.46
V3c|touch_in_zone|tgt4.0R,36,5.31,0.1475,0.361,1.3,6,-10.54,-16.47,0.41
V3b|touch_in_zone|tgt2.5R,40,3.71,0.0927,0.225,1.21,15,-8.54,-17.5,0.46
V3c|touch_in_zone|tgt2.5R,36,3.38,0.0938,0.361,1.19,6,-8.87,-16.47,0.41
V3b|touch_in_zone|tgt4.0R,40,3.24,0.0809,0.175,1.18,15,-14.67,-17.5,0.46
V3c|touch_in_zone|tgt3.0R,36,2.62,0.0728,0.361,1.15,6,-10.54,-16.47,0.41
V3b|touch_in_zone|tgt2.0R,40,2.0,0.05,0.25,1.11,15,-7.75,-17.5,0.46
V3b|touch_in_zone|tgt3.0R,40,1.21,0.0302,0.175,1.07,15,-13.54,-17.5,0.46
V3c|direct_bos|tgt4.0R,82,1.15,0.014,0.463,1.04,5,-9.48,-15.78,0.92
V3a|touch_in_zone|tgt5.0R,19,0.42,0.0222,0.211,1.03,5,-12.7,-9.45,0.36
V3c|touch_in_zone|tgt2.0R,36,0.38,0.0105,0.361,1.02,6,-9.37,-16.47,0.41
V3c|direct_bos|tgt5.0R,82,0.18,0.0022,0.463,1.01,5,-9.48,-15.78,0.92
V3c|direct_bos|tgt3.0R,82,0.15,0.0018,0.463,1.01,5,-9.48,-15.78,0.92
V3c|direct_bos|tgt2.5R,82,-0.35,-0.0043,0.463,0.99,5,-9.48,-15.78,0.92
V3a|touch_in_zone|tgt4.0R,19,-0.58,-0.0304,0.211,0.95,5,-12.7,-9.45,0.36
V3c|direct_bos|tgt2.0R,82,-0.85,-0.0104,0.463,0.97,5,-9.48,-15.78,0.92
V3a|touch_in_zone|tgt3.0R,19,-0.95,-0.05,0.211,0.93,5,-12.7,-9.45,0.36
V3a|direct_bos|tgt3.0R,80,-2.14,-0.0267,0.425,0.92,6,-12.18,-18.28,0.9
V3a|direct_bos|tgt5.0R,80,-2.35,-0.0294,0.425,0.92,6,-12.18,-18.28,0.9
V3a|direct_bos|tgt4.0R,80,-2.35,-0.0294,0.425,0.92,6,-12.18,-18.28,0.9
V3a|direct_bos|tgt2.5R,80,-2.69,-0.0337,0.425,0.9,6,-12.18,-18.28,0.9
V3a|touch_in_zone|tgt2.5R,19,-2.95,-0.1553,0.211,0.77,5,-12.7,-9.45,0.36
V3a|direct_bos|tgt2.0R,80,-3.69,-0.0462,0.425,0.87,6,-12.18,-18.28,0.9
V3a|touch_in_zone|tgt2.0R,19,-4.95,-0.2605,0.211,0.61,5,-12.7,-9.45,0.36
