config,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5,r_no_top10,trades_per_month
blend|atr0.0|be2.0|tgt5.0R,37,9.28,0.2509,0.432,1.49,6,-8.62,-15.36,0.42
struct|buf0.0|be2.0|tgt5.0R,37,9.28,0.2509,0.432,1.49,6,-8.62,-15.36,0.42
struct|buf0.0|noBE|tgt5.0R,37,8.28,0.2239,0.432,1.42,6,-9.62,-16.36,0.42
blend|atr0.0|noBE|tgt5.0R,37,8.28,0.2239,0.432,1.42,6,-9.62,-16.36,0.42
blend|atr0.0|be2.0|tgt4.0R,37,7.76,0.2096,0.432,1.41,6,-8.62,-15.36,0.42
struct|buf0.0|be2.0|tgt4.0R,37,7.76,0.2096,0.432,1.41,6,-8.62,-15.36,0.42
blend|atr0.0|be1.0|tgt5.0R,37,6.84,0.1848,0.351,1.4,6,-10.91,-15.83,0.42
struct|buf0.0|be1.0|tgt5.0R,37,6.84,0.1848,0.351,1.4,6,-10.91,-15.83,0.42
struct|buf0.05|be2.0|tgt5.0R,36,6.82,0.1895,0.417,1.34,6,-10.26,-16.72,0.41
struct|buf0.05|noBE|tgt5.0R,36,6.82,0.1895,0.417,1.34,6,-10.26,-16.72,0.41
blend|atr0.0|noBE|tgt4.0R,37,6.76,0.1826,0.432,1.34,6,-9.62,-16.36,0.42
struct|buf0.0|noBE|tgt4.0R,37,6.76,0.1826,0.432,1.34,6,-9.62,-16.36,0.42
struct|buf0.05|be1.0|tgt5.0R,36,6.54,0.1817,0.361,1.36,6,-10.54,-16.47,0.41
struct|buf0.5|noBE|tgt5.0R,34,5.83,0.1715,0.471,1.4,6,-7.56,-12.27,0.39
struct|buf0.5|be2.0|tgt5.0R,34,5.83,0.1715,0.471,1.4,6,-7.56,-12.27,0.39
blend|atr0.2|be2.0|tgt5.0R,36,5.72,0.1588,0.417,1.29,6,-10.62,-16.86,0.41
blend|atr0.2|noBE|tgt5.0R,36,5.72,0.1588,0.417,1.29,6,-10.62,-16.86,0.41
struct|buf0.5|be1.0|tgt5.0R,34,5.71,0.1681,0.441,1.39,6,-7.68,-12.39,0.39
struct|buf0.1|be2.0|tgt5.0R,36,5.71,0.1587,0.417,1.29,6,-10.73,-16.87,0.41
struct|buf0.1|noBE|tgt5.0R,36,5.71,0.1587,0.417,1.29,6,-10.73,-16.87,0.41
struct|buf0.05|noBE|tgt4.0R,36,5.59,0.1553,0.417,1.28,6,-10.26,-16.72,0.41
struct|buf0.05|be2.0|tgt4.0R,36,5.59,0.1553,0.417,1.28,6,-10.26,-16.72,0.41
struct|buf0.2|noBE|tgt5.0R,36,5.51,0.1529,0.417,1.3,6,-9.88,-15.45,0.41
struct|buf0.2|be2.0|tgt5.0R,36,5.51,0.1529,0.417,1.3,6,-9.88,-15.45,0.41
struct|buf0.05|be1.0|tgt4.0R,36,5.31,0.1475,0.361,1.3,6,-10.54,-16.47,0.41
struct|buf0.0|be1.0|tgt4.0R,37,5.31,0.1435,0.351,1.31,6,-10.91,-15.83,0.42
blend|atr0.0|be1.0|tgt4.0R,37,5.31,0.1435,0.351,1.31,6,-10.91,-15.83,0.42
blend|atr0.0|be2.0|tgt2.5R,37,5.27,0.1424,0.432,1.28,6,-6.98,-15.16,0.42
struct|buf0.0|be2.0|tgt2.5R,37,5.27,0.1424,0.432,1.28,6,-6.98,-15.16,0.42
struct|buf0.0|be2.0|tgt3.0R,37,4.93,0.1332,0.432,1.26,6,-8.62,-15.36,0.42
blend|atr0.0|be2.0|tgt3.0R,37,4.93,0.1332,0.432,1.26,6,-8.62,-15.36,0.42
blend|atr0.2|noBE|tgt4.0R,36,4.91,0.1364,0.417,1.25,6,-10.62,-16.86,0.41
blend|atr0.2|be2.0|tgt4.0R,36,4.91,0.1364,0.417,1.25,6,-10.62,-16.86,0.41
struct|buf0.5|noBE|tgt4.0R,34,4.83,0.1421,0.471,1.33,6,-7.56,-12.27,0.39
struct|buf0.5|be2.0|tgt4.0R,34,4.83,0.1421,0.471,1.33,6,-7.56,-12.27,0.39
struct|buf0.1|noBE|tgt4.0R,36,4.74,0.1317,0.417,1.24,6,-10.73,-16.87,0.41
struct|buf0.1|be2.0|tgt4.0R,36,4.74,0.1317,0.417,1.24,6,-10.73,-16.87,0.41
blend|atr0.5|be2.0|tgt5.0R,36,4.73,0.1315,0.417,1.26,6,-9.94,-15.53,0.41
blend|atr0.5|noBE|tgt5.0R,36,4.73,0.1315,0.417,1.26,6,-9.94,-15.53,0.41
struct|buf0.5|be1.0|tgt4.0R,34,4.71,0.1387,0.441,1.33,6,-7.68,-12.39,0.39
struct|buf0.2|be1.0|tgt5.0R,36,4.61,0.128,0.361,1.27,6,-10.77,-15.95,0.41
struct|buf0.1|be1.0|tgt5.0R,36,4.58,0.1271,0.361,1.24,6,-11.87,-17.53,0.41
blend|atr0.2|be1.0|tgt5.0R,36,4.53,0.1257,0.361,1.24,6,-11.81,-17.49,0.41
struct|buf0.2|noBE|tgt4.0R,36,4.51,0.1252,0.417,1.25,6,-9.88,-15.45,0.41
struct|buf0.2|be2.0|tgt4.0R,36,4.51,0.1252,0.417,1.25,6,-9.88,-15.45,0.41
struct|buf0.2|be0.5|tgt5.0R,36,4.44,0.1234,0.222,1.33,9,-10.68,-13.31,0.41
struct|buf0.0|noBE|tgt2.0R,37,4.41,0.1192,0.459,1.23,6,-5.34,-13.89,0.42
blend|atr0.0|noBE|tgt2.0R,37,4.41,0.1192,0.459,1.23,6,-5.34,-13.89,0.42
struct|buf0.5|be0.5|tgt5.0R,34,4.4,0.1294,0.265,1.36,9,-9.0,-12.31,0.39
blend|atr0.0|noBE|tgt2.5R,37,4.27,0.1154,0.432,1.21,6,-7.98,-16.16,0.42
struct|buf0.0|noBE|tgt2.5R,37,4.27,0.1154,0.432,1.21,6,-7.98,-16.16,0.42
struct|buf0.0|noBE|tgt3.0R,37,3.93,0.1062,0.432,1.2,6,-9.62,-16.36,0.42
blend|atr0.0|noBE|tgt3.0R,37,3.93,0.1062,0.432,1.2,6,-9.62,-16.36,0.42
struct|buf0.5|noBE|tgt3.0R,34,3.83,0.1127,0.471,1.27,6,-7.56,-12.27,0.39
struct|buf0.5|be2.0|tgt3.0R,34,3.83,0.1127,0.471,1.27,6,-7.56,-12.27,0.39
blend|atr0.5|be1.0|tgt5.0R,36,3.83,0.1063,0.361,1.22,6,-10.85,-15.91,0.41
