feature,n_kept,frac_kept,avg_r_kept,avg_r_dropped,delta_avg_r,pf_kept,win_rate_kept,max_streak_kept,no_top5_kept,no_top10_kept,total_r_kept
nas_bottom_last_20,5,0.048,1.317,0.0806,1.1769,16.16,0.6,1,-0.0,0.0,6.58
no_bear_div_any_last_5,68,0.654,0.6038,-0.7359,0.4637,3.26,0.368,7,21.31,4.3,41.06
bull_div_any_last_10,64,0.615,0.1897,0.0606,0.0496,1.47,0.312,7,-5.83,-17.8,12.14
no_bear_div_label_last_10,88,0.846,0.185,-0.1072,0.0449,1.43,0.273,9,-3.47,-19.36,16.28
bull_div_any_last_5,30,0.288,0.1637,0.1305,0.0236,1.42,0.267,10,-9.74,-11.72,4.91
nas_rsi_gt_50,104,1.0,0.1401,,0.0,1.3,0.279,10,-5.18,-22.19,14.57
nas_rsi_gt_55,104,1.0,0.1401,,0.0,1.3,0.279,10,-5.18,-22.19,14.57
nas_dist_positive,104,1.0,0.1401,,0.0,1.3,0.279,10,-5.18,-22.19,14.57
nas_dist_strong_pos,104,1.0,0.1401,,0.0,1.3,0.279,10,-5.18,-22.19,14.57
nas_dist_above_pullback,104,1.0,0.1401,,0.0,1.3,0.279,10,-5.18,-22.19,14.57
shape_any_last_3,98,0.942,0.139,0.1575,-0.0011,1.3,0.276,9,-6.13,-22.79,13.62
nas_rsi_gt_60,102,0.981,0.1345,0.4218,-0.0056,1.29,0.275,10,-6.03,-23.04,13.72
shape_any_last_10,102,0.981,0.1338,0.4581,-0.0063,1.28,0.275,10,-6.1,-23.11,13.65
shape_any_last_5,99,0.952,0.127,0.399,-0.0131,1.27,0.273,9,-7.18,-23.84,12.57
bull_div_label_last_10,1,0.01,-1.05,0.1516,-1.1901,0.0,0.0,1,0.0,0.0,-1.05
bull_div_label_last_20,1,0.01,-1.05,0.1516,-1.1901,0.0,0.0,1,0.0,0.0,-1.05
