strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XPT_SWING_4H_brk10_b50|DXY_below_ema200|HTF1D+12H|tgt4.0R,81,19.58,0.2417,0.358,1.53,6,-0.17,-16.36,0.22,0.95
XPT_SWING_4H_brk10_b50|DXY_below_ema200|HTF1D|tgt4.0R,83,17.48,0.2106,0.349,1.45,6,-2.27,-18.46,0.23,0.97
XPT_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D+12H|tgt4.0R,60,16.66,0.2777,0.35,1.71,9,-3.09,-15.32,0.16,0.7
XPT_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+12H|tgt4.0R,67,15.99,0.2386,0.343,1.57,8,-3.76,-17.27,0.18,0.79
XPT_SWING_4H_pullback|DXY_below_ema200|HTF1D+12H|tgt4.0R,45,15.87,0.3526,0.4,1.82,4,-3.88,-13.43,0.12,0.52
XPT_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D|tgt4.0R,61,15.61,0.2559,0.344,1.63,9,-4.14,-16.37,0.17,0.72
XPT_SWING_4H_pullback|DXY_bear|HTF1D+12H|tgt4.0R,39,15.53,0.3982,0.41,1.89,3,-4.22,-13.39,0.11,0.45
XPT_SWING_4H_brk10_b50|DXY_below_ema200|HTF1D+12H|tgt3.0R,86,15.32,0.1781,0.349,1.39,6,0.57,-14.18,0.24,1.01
XPT_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+12H|tgt4.0R,57,15.21,0.2669,0.333,1.63,6,-4.54,-17.02,0.16,0.67
XPT_SWING_4H_pullback|DXY_below_ema200|HTF1D|tgt4.0R,46,14.82,0.3222,0.391,1.73,4,-4.93,-14.48,0.12,0.53
XPT_SWING_4H_pullback|DXY_bear|HTF1D|tgt4.0R,40,14.48,0.362,0.4,1.78,3,-5.27,-14.44,0.11,0.46
XPT_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt4.0R,69,13.89,0.2013,0.333,1.46,8,-5.86,-19.37,0.19,0.81
XPT_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D+12H|tgt3.0R,61,13.88,0.2275,0.361,1.56,9,-0.87,-14.29,0.17,0.72
XPT_SWING_4H_brk10_b70|DXY_strong_bear|HTF1D+12H|tgt4.0R,53,13.66,0.2577,0.321,1.62,9,-5.74,-17.29,0.15,0.62
XPT_SWING_4H_brk10_b50|DXY_bear|HTF1D+12H|tgt4.0R,83,13.54,0.1631,0.325,1.34,6,-6.21,-22.05,0.23,0.97
XPT_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D+12H|tgt4.0R,67,13.45,0.2007,0.328,1.46,8,-6.3,-18.97,0.18,0.79
XPT_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+12H|tgt4.0R,47,13.41,0.2853,0.383,1.78,5,-4.63,-12.57,0.13,0.55
XPT_SWING_4H_brk10_b50|DXY_below_ema200|HTF1D|tgt3.0R,88,13.22,0.1502,0.341,1.32,6,-1.53,-16.28,0.24,1.03
XPT_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt4.0R,59,13.11,0.2222,0.322,1.5,6,-6.64,-19.12,0.16,0.69
XPT_SWING_4H_brk10_b70|DXY_bear|HTF1D+12H|tgt4.0R,62,13.02,0.21,0.323,1.5,9,-6.38,-18.12,0.17,0.73
XPT_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+12H|tgt2.5R,47,12.91,0.2747,0.426,1.76,5,0.66,-10.2,0.13,0.55
XPT_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D|tgt3.0R,62,12.83,0.2069,0.355,1.5,9,-1.92,-15.34,0.17,0.73
XPT_SWING_4H_brk10_b70|DXY_strong_bear|HTF1D|tgt4.0R,54,12.61,0.2335,0.315,1.55,9,-6.79,-18.34,0.15,0.63
XPT_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+12H|tgt3.0R,47,12.58,0.2677,0.404,1.74,5,-2.17,-11.4,0.13,0.55
XPT_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt4.0R,48,12.36,0.2575,0.375,1.68,5,-5.68,-13.62,0.13,0.56
XPT_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+12H|tgt3.0R,70,12.34,0.1763,0.343,1.41,8,-2.41,-16.54,0.19,0.82
XPT_SWING_4H_pullback|DXY_below_ema200|HTF1D+12H|tgt3.0R,45,12.19,0.2709,0.4,1.63,4,-2.56,-13.43,0.12,0.52
XPT_SWING_4H_brk10_b70|DXY_bear|HTF1D|tgt4.0R,63,11.97,0.19,0.317,1.44,9,-7.43,-19.17,0.17,0.74
XPT_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D+12H|tgt4.0R,47,11.87,0.2526,0.362,1.67,6,-5.82,-13.32,0.13,0.55
XPT_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt2.5R,48,11.86,0.2471,0.417,1.66,5,-0.39,-11.25,0.13,0.56
XPT_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+12H|tgt2.5R,72,11.79,0.1638,0.347,1.39,8,-0.46,-12.71,0.2,0.85
XPT_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D+12H|tgt2.5R,62,11.66,0.188,0.371,1.46,9,-0.59,-12.84,0.17,0.73
