event_id,timestamp,T8_pass,polarity_level,polarity_source,retest_filled,retest_fill_time,immediate_entry,immediate_stop,immediate_target,immediate_R,exit_reason_immediate,retest_entry,retest_stop,retest_target,retest_R,exit_reason_retest,no_overlap,notes
0,2016-07-27T10:00:00+00:00,trigger+EMAstack+D1a(all True),1324.49,swing_high_10[i] (broken level; Pattern #1),True,2016-07-27T18:00:00+00:00,1327.81,1316.0804,1374.7284,3.047,time_limit,1324.49,1318.3709,1348.9664,4.0,target,True,immediate_winner
4,2016-08-09T10:00:00+00:00,trigger+EMAstack+D1a(all True),1339.06,swing_high_10[i] (broken level; Pattern #1),True,2016-08-09T14:00:00+00:00,1339.54,1328.1871,1384.9516,0.0291,time_limit,1339.06,1333.4141,1361.6436,0.1435,time_limit,True,immediate_winner
17,2017-07-26T18:00:00+00:00,trigger+EMAstack+D1a(all True),1257.76,swing_high_10[i] (broken level; Pattern #1),True,2017-07-27T14:00:00+00:00,1259.77,1246.0956,1314.4676,0.6589,time_limit,1257.76,1253.1112,1276.3552,2.6308,time_limit,True,immediate_winner
21,2017-08-09T06:00:00+00:00,trigger+EMAstack+D1a(all True),1267.22,swing_high_10[i] (broken level; Pattern #1),True,2017-08-09T10:00:00+00:00,1267.77,1262.4958,1288.8668,4.0,target,1267.22,1262.8316,1284.7736,4.0,target,True,immediate_winner
25,2017-08-16T18:00:00+00:00,trigger+EMAstack+D1a(all True),1278.02,swing_high_10[i] (broken level; Pattern #1),False,,1283.87,1273.2386,1326.3956,0.1053,time_limit,,,,,,True,immediate_winner
28,2017-08-28T06:00:00+00:00,trigger+EMAstack+D1a(all True),1295.43,swing_high_10[i] (broken level; Pattern #1),False,,1297.03,1292.2472,1316.1612,4.0,target,,,,,,True,immediate_winner
36,2017-12-27T23:00:00+00:00,trigger+EMAstack+D1a(all True),1288.97,swing_high_10[i] (broken level; Pattern #1),True,2017-12-28T03:00:00+00:00,1289.73,1285.4996,1306.6516,4.0,target,1288.97,1285.9492,1301.0532,4.0,target,True,immediate_winner
46,2018-01-23T19:00:00+00:00,trigger+EMAstack+D1a(all True),1339.16,swing_high_10[i] (broken level; Pattern #1),True,2018-01-23T23:00:00+00:00,1340.93,1334.8678,1365.1788,4.0,target,1339.16,1334.2955,1358.618,4.0,target,True,immediate_winner
51,2018-02-11T23:00:00+00:00,trigger+EMAstack+D1a(all True),1322.66,swing_high_10[i] (broken level; Pattern #1),True,2018-02-12T03:00:00+00:00,1324.09,1310.7056,1377.6276,2.4387,time_limit,1322.66,1315.7111,1350.4556,4.0,target,True,immediate_winner
59,2018-04-09T14:00:00+00:00,trigger+EMAstack+D1a(all True),1335.43,swing_high_10[i] (broken level; Pattern #1),True,2018-04-09T18:00:00+00:00,1335.8,1328.6058,1364.5768,4.0,target,1335.43,1329.8016,1357.9436,4.0,target,True,immediate_winner
