group,n,sumR,avgR,median_R,PF,WR,maxDD_R,max_losing_streak,targets,stops,stop_be,time_limit,pct_atr,pct_d1a,pct_adx,pct_slope
A_T1_all,246,82.03,0.3335,0.0,1.818,0.317,-12.35,16,25,98,62,61,0.488,0.833,0.638,0.789
B_T8_all,206,86.1,0.418,0.0,2.056,0.335,-11.47,17,24,79,50,53,0.432,1.0,0.646,0.772
C_T1_d1a_fail,41,-4.48,-0.1092,0.0,0.766,0.22,-7.02,8,1,19,12,9,0.78,0.0,0.61,0.878
D_T8_with_ATR,89,41.98,0.4716,0.0,2.335,0.348,-6.96,10,12,29,23,25,1.0,1.0,0.73,0.82
E_T8_without_ATR,117,44.13,0.3772,0.0,1.881,0.325,-9.0,15,12,50,27,28,0.0,1.0,0.581,0.735
F_premium_T4,122,49.74,0.4077,0.0,2.064,0.352,-9.45,12,13,43,27,39,1.0,1.0,0.762,0.828
F_premium_T5,88,44.65,0.5073,0.0,2.204,0.352,-5.45,9,11,35,18,24,1.0,1.0,1.0,1.0
F_premium_T6,106,48.2,0.4547,0.0,2.176,0.34,-8.45,12,12,38,26,30,1.0,1.0,0.764,1.0
T1_EMA_only,9,-3.2,-0.3553,0.0,0.201,0.111,-3.2,5,0,4,4,1,0.0,0.0,0.556,0.889
T1_EMA_ATR,32,-1.28,-0.04,-0.0664,0.915,0.25,-6.82,6,1,15,8,8,1.0,0.0,0.625,0.875
T1_EMA_D1a,117,44.13,0.3772,0.0,1.881,0.325,-9.0,15,12,50,27,28,0.0,1.0,0.581,0.735
T1_EMA_ATR_D1a,88,42.38,0.4816,0.0,2.366,0.352,-6.96,10,12,29,23,24,1.0,1.0,0.727,0.818
