bar_idx,datetime,direction,stage_a,agg_decision,agg_score,agg_reason,old_decision,realR,exitype,st_nas,st_demand_supply,st_risk_sl,st_exhaustion_top,st_capitulation,st_rsi_momentum,st_bubbles,st_bull_beta,st_volume_vp,st_devils_advocate
55,2020-01-14 07:00,LONG,demand_reclaim,SKIP,-1.5,SCORE,REVIEW,0.97,SCRATCH,neutral,hostile,hostile,neutral,neutral,neutral,supportive,neutral,hostile,hostile
78,2020-01-20 03:00,NONE,bull_pullback_continuation,REVIEW,1.0,SCORE,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,neutral,supportive,supportive,neutral,hostile,neutral
116,2020-01-28 15:00,LONG,liquidity_sweep_reversal,REVIEW,1.0,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,neutral,supportive,neutral,supportive,supportive,supportive,neutral,supportive,hostile
130,2020-01-30 23:00,LONG,demand_reclaim,REVIEW,2.5,SCORE,REVIEW,0.79,WIN_BE,neutral,supportive,supportive,neutral,neutral,neutral,supportive,neutral,hostile,hostile
140,2020-02-03 15:00,LONG,liquidity_sweep_reversal,TAKE,3.0,SCORE,TAKE,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,supportive,neutral,supportive,neutral,neutral,hostile
149,2020-02-05 03:00,LONG,bottom_reversal_capitulation,TAKE,7.0,SCORE,TAKE,2.7,WIN_HELD,supportive,supportive,supportive,supportive,supportive,supportive,supportive,neutral,hostile,neutral
159,2020-02-06 19:00,LONG,mid_range_noise,REVIEW,2.5,SCORE,REVIEW,2.83,WIN_HELD,neutral,supportive,supportive,neutral,neutral,supportive,neutral,neutral,hostile,neutral
217,2020-02-20 15:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.75,SCRATCH,hostile,neutral,hostile,hostile,hostile,hostile,hostile,hostile,neutral,veto
237,2020-02-25 23:00,LONG,liquidity_sweep_reversal,REVIEW,2.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,hostile,supportive,hostile,neutral,neutral
287,2020-03-09 06:00,NONE,bull_pullback_continuation,REVIEW,0.5,SCORE,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,supportive,hostile,hostile,hostile,neutral,neutral
351,2020-03-23 22:00,LONG,demand_reclaim,SKIP,0.0,VETO,TAKE,0.82,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,veto
383,2020-03-31 06:00,NONE,mid_range_noise,SKIP,-1.0,SCORE,SKIP,0.61,SCRATCH,hostile,neutral,neutral,supportive,neutral,neutral,neutral,neutral,neutral,hostile
391,2020-04-01 14:00,LONG,liquidity_sweep_reversal,TAKE,4.0,SCORE,TAKE,3.9,WIN_RUNNER,neutral,supportive,supportive,supportive,supportive,neutral,neutral,supportive,neutral,neutral
413,2020-04-07 06:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,1.46,WIN_HELD,hostile,hostile,hostile,hostile,neutral,hostile,hostile,hostile,neutral,veto
458,2020-04-17 18:00,NONE,bear_bounce,SKIP,0.0,SCORE,SKIP,0.32,SCRATCH,neutral,hostile,hostile,supportive,supportive,neutral,supportive,neutral,neutral,hostile
493,2020-04-27 14:00,NONE,bear_bounce,SKIP,-1.0,SCORE,SKIP,0.9,WIN_BE,neutral,hostile,hostile,neutral,supportive,neutral,supportive,hostile,neutral,hostile
521,2020-05-04 06:00,NONE,demand_reclaim,SKIP,0.0,VETO,SKIP,1.37,SCRATCH,supportive,hostile,hostile,hostile,neutral,supportive,supportive,neutral,neutral,veto
542,2020-05-07 18:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.22,SCRATCH,hostile,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,hostile
583,2020-05-18 14:00,NONE,bull_pullback_continuation,SKIP,0.0,SCORE,SKIP,0.02,SCRATCH,hostile,neutral,supportive,neutral,supportive,hostile,supportive,neutral,supportive,neutral
597,2020-05-20 22:00,LONG,bull_pullback_continuation,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,hostile,neutral,hostile,hostile,neutral,supportive,neutral,hostile,hostile,hostile
