episode_id,datetime,old_decision,agg_v0_decision,agg_v1_decision,stage_a_context,nas_state,demand_supply_state,risk_sl_state,exhaustion_top_state,capit_rsi_layer_state,da_veto_state,main_supports,main_conflicts,final_reason,outcome,realR,de_capped_R,exit_type
55,2020-01-14 07:00,REVIEW,SKIP,SKIP,demand_reclaim,neutral,hostile,hostile,neutral,no,hostile,,demand_supply|risk_sl|volume_vp|devils_advocate,FATAL:no_demand_bad_risk,SCRATCH,0.97,0.97,SCRATCH
78,2020-01-20 03:00,SKIP,REVIEW,TAKE,bull_pullback_continuation,hostile,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,nas|volume_vp,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
116,2020-01-28 15:00,REVIEW,REVIEW,REVIEW,liquidity_sweep_reversal,hostile,neutral,supportive,neutral,supportive,hostile,risk_sl|capit+rsi,nas|devils_advocate,no_anchor_capit_rsi_refine,STOP,-1.1,-1.1,STOP_LOSS
130,2020-01-30 23:00,REVIEW,REVIEW,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,volume_vp|devils_advocate,anchor_clean,WIN,0.79,0.79,WIN_BE
140,2020-02-03 15:00,TAKE,TAKE,TAKE,liquidity_sweep_reversal,neutral,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,devils_advocate,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
149,2020-02-05 03:00,TAKE,TAKE,TAKE,bottom_reversal_capitulation,supportive,supportive,supportive,supportive,supportive,neutral,nas|demand_supply|risk_sl|exhaustion_top|capit+rsi,volume_vp,anchor_clean,WIN,2.7,2.7,WIN_HELD
159,2020-02-06 19:00,REVIEW,REVIEW,REVIEW,mid_range_noise,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,volume_vp,anchor_but_ctx_conflict,WIN,2.83,2.83,WIN_HELD
217,2020-02-20 15:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,neutral,hostile,hostile,no,veto,,nas|risk_sl|exhaustion_top|capitulation|rsi_momentum|bubbles|bull_beta|devils_advocate,FATAL:late_top_context,SCRATCH,0.75,0.75,SCRATCH
237,2020-02-25 23:00,REVIEW,REVIEW,TAKE,liquidity_sweep_reversal,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,rsi_momentum|bull_beta,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
287,2020-03-09 06:00,SKIP,REVIEW,TAKE,bull_pullback_continuation,hostile,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,nas|rsi_momentum|bubbles|bull_beta,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
351,2020-03-23 22:00,TAKE,SKIP,SKIP,demand_reclaim,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,SCRATCH,0.82,0.82,SCRATCH
383,2020-03-31 06:00,SKIP,SKIP,SKIP,mid_range_noise,hostile,neutral,neutral,supportive,no,hostile,exhaustion_top,nas|devils_advocate,no_anchor_no_support,SCRATCH,0.61,0.61,SCRATCH
391,2020-04-01 14:00,TAKE,TAKE,TAKE,liquidity_sweep_reversal,neutral,supportive,supportive,supportive,no,neutral,demand_supply|risk_sl|exhaustion_top,,anchor_clean,WIN,3.9,6.0,WIN_RUNNER
413,2020-04-07 06:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,hostile,hostile,hostile,no,veto,,nas|demand_supply|risk_sl|exhaustion_top|rsi_momentum|bubbles|bull_beta|devils_advocate,FATAL:late_top_context,WIN,1.46,1.46,WIN_HELD
458,2020-04-17 18:00,SKIP,SKIP,SKIP,bear_bounce,neutral,hostile,hostile,supportive,no,hostile,exhaustion_top,demand_supply|risk_sl|devils_advocate,FATAL:no_demand_bad_risk,SCRATCH,0.32,0.32,SCRATCH
493,2020-04-27 14:00,SKIP,SKIP,SKIP,bear_bounce,neutral,hostile,hostile,neutral,no,hostile,,demand_supply|risk_sl|bull_beta|devils_advocate,FATAL:no_demand_bad_risk,WIN,0.9,0.9,WIN_BE
521,2020-05-04 06:00,SKIP,SKIP,SKIP,demand_reclaim,supportive,hostile,hostile,hostile,no,veto,nas,demand_supply|risk_sl|exhaustion_top|devils_advocate,FATAL:no_demand_bad_risk,SCRATCH,1.37,1.37,SCRATCH
542,2020-05-07 18:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,hostile,hostile,hostile,no,hostile,,nas|demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,SCRATCH,0.22,0.22,SCRATCH
583,2020-05-18 14:00,SKIP,SKIP,REVIEW,bull_pullback_continuation,hostile,neutral,supportive,neutral,no,neutral,risk_sl,nas|rsi_momentum,no_anchor_partial_support,SCRATCH,0.02,0.02,SCRATCH
597,2020-05-20 22:00,REVIEW,SKIP,SKIP,bull_pullback_continuation,hostile,neutral,hostile,hostile,no,hostile,,nas|risk_sl|exhaustion_top|bull_beta|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
631,2020-05-28 18:00,REVIEW,SKIP,SKIP,mid_range_noise,neutral,neutral,hostile,neutral,no,hostile,,risk_sl|volume_vp|devils_advocate,no_anchor_no_support,STOP,-1.1,-1.1,STOP_LOSS
685,2020-06-10 18:00,SKIP,SKIP,SKIP,bull_pullback_continuation,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|devils_advocate,FATAL:exhaustion_hostile_no_bottom,SCRATCH,0.38,0.38,SCRATCH
702,2020-06-15 14:00,TAKE,SKIP,SKIP,liquidity_sweep_reversal,neutral,neutral,neutral,hostile,no,veto,,exhaustion_top|devils_advocate,FATAL:exhaustion_hostile_no_bottom,WIN,2.43,2.43,WIN_HELD
766,2020-06-30 06:00,REVIEW,REVIEW,TAKE,bull_pullback_continuation,hostile,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,nas|capitulation|bull_beta|devils_advocate,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
780,2020-07-02 14:00,REVIEW,SKIP,SKIP,bull_pullback_continuation,hostile,neutral,hostile,hostile,no,veto,,nas|risk_sl|exhaustion_top|rsi_momentum|bull_beta|devils_advocate,FATAL:exhaustion_hostile_no_bottom,WIN,1.43,1.43,WIN_HELD
833,2020-07-15 14:00,REVIEW,SKIP,TAKE,bull_pullback_continuation,hostile,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,nas|bubbles|bull_beta|devils_advocate,anchor_clean,WIN,3.9,6.0,WIN_RUNNER
845,2020-07-17 14:00,REVIEW,REVIEW,TAKE,bull_pullback_continuation,hostile,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,nas|bull_beta|devils_advocate,anchor_clean,WIN,3.9,6.0,WIN_RUNNER
866,2020-07-23 02:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,neutral,hostile,hostile,no,veto,,nas|risk_sl|exhaustion_top|capitulation|rsi_momentum|bubbles|bull_beta|devils_advocate,FATAL:late_top_context,WIN,2.09,2.09,WIN_HELD
886,2020-07-28 10:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,neutral,neutral,hostile,no,hostile,,nas|exhaustion_top|bubbles|bull_beta|devils_advocate,FATAL:late_top_context,SCRATCH,-0.04,-0.04,SCRATCH
901,2020-07-30 22:00,REVIEW,SKIP,SKIP,late_top_exhaustion,hostile,neutral,supportive,hostile,no,veto,risk_sl,nas|exhaustion_top|bubbles|bull_beta|volume_vp|devils_advocate,FATAL:late_top_context,WIN,0.9,0.9,WIN_BE
919,2020-08-04 22:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,supportive,hostile,hostile,no,veto,demand_supply,nas|risk_sl|exhaustion_top|rsi_momentum|bull_beta|devils_advocate,FATAL:late_top_context,STOP,-1.1,-1.1,STOP_LOSS
934,2020-08-07 10:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,neutral,supportive,hostile,no,hostile,risk_sl,nas|exhaustion_top|bubbles|bull_beta|devils_advocate,FATAL:late_top_context,STOP,-1.1,-1.1,STOP_LOSS
970,2020-08-17 10:00,SKIP,REVIEW,SKIP,unclear_conflict,neutral,neutral,neutral,neutral,no,hostile,,devils_advocate,no_anchor_no_support,SCRATCH,-0.13,-0.13,SCRATCH
1027,2020-08-30 22:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,hostile,hostile,hostile,no,hostile,,nas|demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
1072,2020-09-09 14:00,SKIP,REVIEW,REVIEW,demand_reclaim,neutral,neutral,supportive,neutral,no,neutral,risk_sl,,no_anchor_partial_support,STOP,-1.1,-1.1,STOP_LOSS
1151,2020-09-28 18:00,REVIEW,TAKE,TAKE,bottom_reversal_capitulation,supportive,neutral,neutral,supportive,no,hostile,nas|exhaustion_top,volume_vp|devils_advocate,anchor_clean,SCRATCH,1.1,1.1,SCRATCH
1200,2020-10-08 22:00,REVIEW,SKIP,SKIP,demand_reclaim,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,SCRATCH,-0.16,-0.16,SCRATCH
1211,2020-10-12 18:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,neutral,hostile,hostile,no,hostile,,nas|risk_sl|exhaustion_top|capitulation|bubbles|bull_beta|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,SCRATCH,-0.59,-0.59,SCRATCH
1221,2020-10-14 10:00,TAKE,SKIP,SKIP,liquidity_sweep_reversal,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
1298,2020-11-02 07:00,REVIEW,SKIP,SKIP,mid_range_noise,neutral,neutral,hostile,hostile,no,hostile,,risk_sl|exhaustion_top|devils_advocate,FATAL:exhaustion_hostile_no_bottom,WIN,0.9,0.9,WIN_BE
1316,2020-11-05 07:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,hostile,hostile,hostile,no,veto,,nas|demand_supply|risk_sl|exhaustion_top|bull_beta|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
1326,2020-11-08 23:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,hostile,hostile,hostile,no,veto,,nas|demand_supply|risk_sl|exhaustion_top|capitulation|bubbles|bull_beta|devils_advocate,FATAL:late_top_context,STOP,-1.1,-1.1,STOP_LOSS
1353,2020-11-13 11:00,REVIEW,TAKE,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
1429,2020-12-02 11:00,REVIEW,TAKE,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,,anchor_clean,SCRATCH,0.55,0.55,SCRATCH
1497,2020-12-17 19:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,hostile,hostile,hostile,no,veto,,nas|demand_supply|risk_sl|exhaustion_top|capitulation|bubbles|bull_beta|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,SCRATCH,1.2,1.2,SCRATCH
1522,2020-12-23 23:00,REVIEW,TAKE,REVIEW,mid_range_noise,neutral,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,bull_beta|volume_vp|devils_advocate,anchor_but_ctx_conflict,WIN,0.9,0.9,WIN_BE
1568,2021-01-06 19:00,REVIEW,SKIP,REVIEW,bottom_reversal_capitulation,hostile,hostile,supportive,neutral,no,neutral,risk_sl,nas|demand_supply|rsi_momentum|bubbles|bull_beta,no_anchor_partial_support,STOP,-1.1,-1.1,STOP_LOSS
1623,2021-01-20 03:00,TAKE,REVIEW,TAKE,liquidity_sweep_reversal,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,volume_vp,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
1661,2021-01-28 11:00,REVIEW,TAKE,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
1761,2021-02-22 07:00,REVIEW,REVIEW,REVIEW,demand_reclaim,neutral,neutral,supportive,neutral,no,neutral,risk_sl,,no_anchor_partial_support,STOP,-1.1,-1.1,STOP_LOSS
1775,2021-02-24 15:00,SKIP,SKIP,SKIP,bottom_reversal_capitulation,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
1836,2021-03-10 19:00,SKIP,SKIP,SKIP,bear_bounce,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,SCRATCH,0.05,0.05,SCRATCH
1873,2021-03-18 22:00,REVIEW,SKIP,SKIP,bear_bounce,neutral,hostile,hostile,neutral,no,hostile,,demand_supply|risk_sl|volume_vp|devils_advocate,FATAL:no_demand_bad_risk,STOP,-1.1,-1.1,STOP_LOSS
1901,2021-03-25 14:00,SKIP,SKIP,SKIP,bear_bounce,neutral,hostile,hostile,neutral,no,veto,,demand_supply|risk_sl|devils_advocate,FATAL:no_demand_bad_risk,STOP,-1.1,-1.1,STOP_LOSS
1941,2021-04-06 06:00,REVIEW,SKIP,SKIP,demand_reclaim,hostile,supportive,supportive,hostile,no,neutral,demand_supply|risk_sl,nas|exhaustion_top,FATAL:exhaustion_hostile_no_bottom,WIN,0.9,0.9,WIN_BE
2034,2021-04-27 18:00,SKIP,SKIP,SKIP,bear_bounce,neutral,hostile,hostile,neutral,no,veto,,demand_supply|risk_sl|bull_beta|devils_advocate,FATAL:no_demand_bad_risk,STOP,-1.1,-1.1,STOP_LOSS
2053,2021-05-02 22:00,TAKE,REVIEW,REVIEW,demand_reclaim,neutral,neutral,supportive,neutral,no,hostile,risk_sl,volume_vp|devils_advocate,no_anchor_partial_support,WIN,3.32,3.32,WIN_HELD
2100,2021-05-12 18:00,SKIP,SKIP,SKIP,mid_range_noise,neutral,hostile,hostile,neutral,no,hostile,,demand_supply|risk_sl|rsi_momentum|devils_advocate,FATAL:no_demand_bad_risk,WIN,1.78,1.78,WIN_HELD
2110,2021-05-14 10:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,neutral,supportive,hostile,no,hostile,risk_sl,nas|exhaustion_top|bubbles|bull_beta|devils_advocate,FATAL:exhaustion_hostile_no_bottom,WIN,1.86,1.86,WIN_HELD
2174,2021-05-31 02:00,SKIP,REVIEW,SKIP,late_top_exhaustion,hostile,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,nas|bull_beta|volume_vp|devils_advocate,FATAL:late_top_context,STOP,-1.1,-1.1,STOP_LOSS
2188,2021-06-02 14:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,neutral,hostile,hostile,no,veto,,nas|risk_sl|exhaustion_top|bull_beta|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
2204,2021-06-07 06:00,REVIEW,SKIP,SKIP,bear_bounce,supportive,hostile,hostile,hostile,no,veto,nas,demand_supply|risk_sl|exhaustion_top|devils_advocate,FATAL:no_demand_bad_risk,STOP,-1.1,-1.1,STOP_LOSS
2222,2021-06-10 06:00,REVIEW,SKIP,SKIP,bottom_reversal_capitulation,neutral,hostile,hostile,neutral,no,hostile,,demand_supply|risk_sl|devils_advocate,FATAL:no_demand_bad_risk,STOP,-1.1,-1.1,STOP_LOSS
2320,2021-07-02 14:00,TAKE,TAKE,TAKE,demand_reclaim,supportive,supportive,supportive,neutral,no,neutral,nas|demand_supply|risk_sl,,anchor_clean,WIN,1.47,1.47,WIN_HELD
2364,2021-07-14 02:00,REVIEW,REVIEW,TAKE,bull_pullback_continuation,hostile,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,nas|bull_beta|volume_vp|devils_advocate,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
2372,2021-07-15 10:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,supportive,hostile,hostile,no,veto,demand_supply,nas|risk_sl|exhaustion_top|rsi_momentum|bubbles|bull_beta|devils_advocate,FATAL:late_top_context,STOP,-1.1,-1.1,STOP_LOSS
2428,2021-07-28 18:00,SKIP,SKIP,SKIP,mid_range_noise,neutral,hostile,hostile,neutral,no,hostile,,demand_supply|risk_sl|devils_advocate,FATAL:no_demand_bad_risk,STOP,-1.1,-1.1,STOP_LOSS
2488,2021-08-11 18:00,REVIEW,TAKE,TAKE,bottom_reversal_capitulation,supportive,supportive,supportive,neutral,supportive,neutral,nas|demand_supply|risk_sl|capit+rsi,volume_vp,anchor_clean,SCRATCH,1.02,1.02,SCRATCH
2497,2021-08-13 06:00,REVIEW,TAKE,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,,anchor_clean,WIN,1.99,1.99,WIN_HELD
2544,2021-08-25 02:00,REVIEW,SKIP,SKIP,demand_reclaim,hostile,hostile,hostile,hostile,no,hostile,,nas|demand_supply|risk_sl|exhaustion_top|bubbles|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,WIN,0.9,0.9,WIN_BE
