episode_id,datetime,agg_v1,error,stage_a,realR,exit,reason
78,2020-01-20 03:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
140,2020-02-03 15:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,liquidity_sweep_reversal,-1.1,STOP_LOSS,anchor_clean
237,2020-02-25 23:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,liquidity_sweep_reversal,-1.1,STOP_LOSS,anchor_clean
287,2020-03-09 06:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
413,2020-04-07 06:00,SKIP,VETO_TOO_HARD,late_top_exhaustion,1.46,WIN_HELD,FATAL:late_top_context
493,2020-04-27 14:00,SKIP,VETO_TOO_HARD,bear_bounce,0.9,WIN_BE,FATAL:no_demand_bad_risk
702,2020-06-15 14:00,SKIP,VETO_TOO_HARD,liquidity_sweep_reversal,2.43,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
766,2020-06-30 06:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
780,2020-07-02 14:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,1.43,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
866,2020-07-23 02:00,SKIP,VETO_TOO_HARD,late_top_exhaustion,2.09,WIN_HELD,FATAL:late_top_context
901,2020-07-30 22:00,SKIP,VETO_TOO_HARD,late_top_exhaustion,0.9,WIN_BE,FATAL:late_top_context
1298,2020-11-02 07:00,SKIP,VETO_TOO_HARD,mid_range_noise,0.9,WIN_BE,FATAL:exhaustion_hostile_no_bottom
1353,2020-11-13 11:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,demand_reclaim,-1.1,STOP_LOSS,anchor_clean
1623,2021-01-20 03:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,liquidity_sweep_reversal,-1.1,STOP_LOSS,anchor_clean
1661,2021-01-28 11:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,demand_reclaim,-1.1,STOP_LOSS,anchor_clean
1941,2021-04-06 06:00,SKIP,VETO_TOO_HARD,demand_reclaim,0.9,WIN_BE,FATAL:exhaustion_hostile_no_bottom
2100,2021-05-12 18:00,SKIP,VETO_TOO_HARD,mid_range_noise,1.78,WIN_HELD,FATAL:no_demand_bad_risk
2110,2021-05-14 10:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,1.86,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
2364,2021-07-14 02:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
2544,2021-08-25 02:00,SKIP,VETO_TOO_HARD,demand_reclaim,0.9,WIN_BE,FATAL:exhaustion_hostile_no_bottom
2663,2021-09-22 02:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,demand_reclaim,-1.1,STOP_LOSS,anchor_clean
2896,2021-11-15 23:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
2944,2021-11-26 03:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bottom_reversal_capitulation,-1.1,STOP_LOSS,anchor_clean
3085,2021-12-30 19:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
3190,2022-01-25 07:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,demand_reclaim,-1.1,STOP_LOSS,anchor_clean
3252,2022-02-08 15:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,1.84,WIN_HELD,FATAL:no_demand_bad_risk
3326,2022-02-24 23:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,liquidity_sweep_reversal,-1.1,STOP_LOSS,anchor_clean
3443,2022-03-24 10:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
3929,2022-07-18 10:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bottom_reversal_capitulation,-1.1,STOP_LOSS,anchor_clean
3949,2022-07-21 18:00,SKIP,VETO_TOO_HARD,bottom_reversal_capitulation,3.54,WIN_HELD,FATAL:no_demand_bad_risk
4384,2022-11-01 06:00,SKIP,VETO_TOO_HARD,demand_reclaim,2.75,WIN_HELD,FATAL:no_demand_bad_risk
4401,2022-11-04 02:00,SKIP,VETO_TOO_HARD,demand_reclaim,2.76,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
4483,2022-11-23 19:00,SKIP,VETO_TOO_HARD,mid_range_noise,1.82,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
