plot_id,set,datetime,d1_macro_leg,gate_decision,blocked,reason,cris_verdict,macro_v1_capit
S1,A,2020-04-07,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S3,A,2020-06-15,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S4,A,2020-07-02,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S5,A,2020-07-23,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S6,A,2020-07-30,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S7,A,2020-11-02,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE macro_broken=True combined=-2.0,PROTECT,NO_CAPITULATION
S8,A,2021-04-06,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE macro_broken=True combined=-1.0,PROTECT,NO_CAPITULATION
S12,A,2022-02-08,MACRO_TRANSITION,ALLOW,NO,leg=MACRO_TRANSITION (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S13,A,2022-07-21,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_BEAR_LEG macro_broken=True combined=-2.0,PROTECT,NO_CAPITULATION
S15,A,2022-11-04,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE macro_broken=True combined=-3.0,PROTECT,NO_CAPITULATION
S16,A,2022-11-23,MACRO_TRANSITION,ALLOW,NO,leg=MACRO_TRANSITION (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S17,A,2023-01-03,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S20,A,2023-10-11,MACRO_TRANSITION,ALLOW,NO,leg=MACRO_TRANSITION (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S24,A,2024-07-03,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S25,A,2024-08-15,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S26,A,2024-09-04,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),PROTECT,FALLING_KNIFE
S27,A,2025-05-28,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK (contexto bull/accumulation),PROTECT,FALLING_KNIFE
S29,A,2025-09-02,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S30,A,2025-09-15,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S31,A,2025-10-01,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S32,A,2025-10-03,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S34,A,2025-10-13,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S35,A,2025-12-16,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S36,A,2026-01-06,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S37,A,2026-01-08,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
S38,A,2026-01-09,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),PROTECT,NO_CAPITULATION
T2,B,2020-01-30,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T3,B,2020-02-25,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T4,B,2020-03-09,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T9,B,2020-11-13,MACRO_TRANSITION,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_TRANSITION macro_broken=True combined=-2.0,BLOCK,NO_CAPITULATION
T11,B,2021-01-28,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_BEAR_LEG macro_broken=True combined=-3.0,BLOCK,NO_CAPITULATION
T12,B,2021-07-14,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T15,B,2021-09-22,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE macro_broken=True combined=-1.0,BLOCK,NO_CAPITULATION
T16,B,2021-11-15,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T17,B,2021-11-26,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T18,B,2021-12-30,MACRO_TRANSITION,ALLOW,NO,leg=MACRO_TRANSITION (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T20,B,2022-01-25,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T23,B,2022-03-24,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T24,B,2022-03-31,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T25,B,2022-04-05,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T26,B,2022-04-08,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T30,B,2024-01-04,MACRO_BULL_LEG,PRESERVE_BOTTOM_TURN,NO,carve-out: capitulation/climax reclaim (fundo a virar),BLOCK,CLIMAX_RECLAIM
T40,B,2025-11-13,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),BLOCK,NO_CAPITULATION
T42,B,2026-04-17,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE macro_broken=True combined=-1.0,BLOCK,NO_CAPITULATION
S9,C,2021-05-12,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),REVIEW,FALLING_KNIFE
S10,C,2021-05-14,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),REVIEW,NO_CAPITULATION
S14,C,2022-11-01,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE macro_broken=True combined=-3.0,TRANSFORM,NO_CAPITULATION
S18,C,2023-01-11,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),REVIEW,NO_CAPITULATION
S19,C,2023-08-22,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE macro_broken=True combined=-2.0,BLOCK_acceptable_skip,NO_CAPITULATION
S21,C,2023-10-17,MACRO_TRANSITION,ALLOW,NO,leg=MACRO_TRANSITION (contexto bull/accumulation),REVIEW,NO_CAPITULATION
S22,C,2023-11-29,MACRO_RANGE,ALLOW,NO,leg=MACRO_RANGE (contexto bull/accumulation),REVIEW,NO_CAPITULATION
S23,C,2024-05-13,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK (contexto bull/accumulation),REVIEW,NO_CAPITULATION
S28,C,2025-07-11,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK (contexto bull/accumulation),REVIEW,NO_CAPITULATION
S39,C,2026-01-22,MACRO_BULL_LEG,ALLOW,NO,leg=MACRO_BULL_LEG (contexto bull/accumulation),REVIEW,NO_CAPITULATION
T13,C,2021-08-11,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE macro_broken=True combined=-3.0,REVIEW,NO_CAPITULATION
