plot_id,set,gate,blocked,reason,d1_leg,cris
S1,A,ALLOW,NO,leg=MACRO_RANGE,MACRO_RANGE,PROTECT
S3,A,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK,MACRO_CORRECTIVE_PULLBACK,PROTECT
S4,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S5,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S6,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S7,A,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE mb=True cs=-2.0,MACRO_RANGE,PROTECT
S8,A,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE mb=True cs=-1.0,MACRO_RANGE,PROTECT
S12,A,ALLOW,NO,leg=MACRO_TRANSITION,MACRO_TRANSITION,PROTECT
S13,A,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_BEAR_LEG mb=True cs=-2.0,MACRO_BEAR_LEG,PROTECT
S15,A,PRESERVE_BOTTOM_TURN,NO,oversold=29.39 recl=1.3 dem=DEMAND_DEFENDED climax=False,MACRO_RANGE,PROTECT
S16,A,ALLOW,NO,leg=MACRO_TRANSITION,MACRO_TRANSITION,PROTECT
S17,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S20,A,ALLOW,NO,leg=MACRO_TRANSITION,MACRO_TRANSITION,PROTECT
S24,A,ALLOW,NO,leg=MACRO_RANGE,MACRO_RANGE,PROTECT
S25,A,ALLOW,NO,leg=MACRO_RANGE,MACRO_RANGE,PROTECT
S26,A,ALLOW,NO,leg=MACRO_RANGE,MACRO_RANGE,PROTECT
S27,A,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK,MACRO_CORRECTIVE_PULLBACK,PROTECT
S29,A,ALLOW,NO,leg=MACRO_RANGE,MACRO_RANGE,PROTECT
S30,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S31,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S32,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S34,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S35,A,ALLOW,NO,leg=MACRO_RANGE,MACRO_RANGE,PROTECT
S36,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S37,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
S38,A,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,PROTECT
T2,B,ALLOW,NO,leg=MACRO_RANGE,MACRO_RANGE,BLOCK
T3,B,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,BLOCK
T4,B,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,BLOCK
T9,B,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_TRANSITION mb=True cs=-2.0,MACRO_TRANSITION,BLOCK
T11,B,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_BEAR_LEG mb=True cs=-3.0,MACRO_BEAR_LEG,BLOCK
T12,B,ALLOW,NO,leg=MACRO_CORRECTIVE_PULLBACK,MACRO_CORRECTIVE_PULLBACK,BLOCK
T15,B,BLOCK_BEAR_MARKDOWN,YES,leg=MACRO_RANGE mb=True cs=-1.0,MACRO_RANGE,BLOCK
T16,B,ALLOW,NO,leg=MACRO_RANGE,MACRO_RANGE,BLOCK
T17,B,PRESERVE_BOTTOM_TURN,NO,oversold=23.29 recl=1.07 dem=DEMAND_DEFENDED climax=False,MACRO_BULL_LEG,BLOCK
T18,B,ALLOW,NO,leg=MACRO_TRANSITION,MACRO_TRANSITION,BLOCK
T20,B,ALLOW,NO,leg=MACRO_BULL_LEG,MACRO_BULL_LEG,BLOCK
