plot_id,set,datetime,d1_leg,gate_v2,gate_v3,blocked_v2,blocked_v3,block_type,drop20_atr,rsi_min8,reclaim_body,demand,climax,macro_broken,combined,weekly_slope,reason_codes,cris
S1,A,2020-04-07,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,0.9,60.25,-0.9,DEMAND_DEFENDED,False,False,4.0,0.536186078146,allow(leg=MACRO_RANGE),PROTECT
S3,A,2020-06-15,MACRO_CORRECTIVE_PULLBACK,ALLOW,ALLOW,NO,NO,ALLOW,1.69,40.59,1.26,DEMAND_DEFENDED,False,False,2.0,0.5881809871920802,corrective_with_flush(drop20_atr=1.69) -> preserve|allow(leg=MACRO_CORRECTIVE_PULLBACK),PROTECT
S4,A,2020-07-02,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,1.08,45.97,0.36,DEMAND_NEUTRAL,False,False,2.0,0.6158233570956342,allow(leg=MACRO_BULL_LEG),PROTECT
S5,A,2020-07-23,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.19,75.45,0.27,DEMAND_ABSENT,False,False,3.0,0.8290219067529373,allow(leg=MACRO_BULL_LEG),PROTECT
S6,A,2020-07-30,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.44,60.19,0.67,DEMAND_DEFENDED,False,False,3.0,0.8637794577699351,allow(leg=MACRO_BULL_LEG),PROTECT
S7,A,2020-11-02,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,1.98,33.67,0.43,DEMAND_DEFENDED,False,True,-2.0,0.3407171844842703,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-2.0)",PROTECT
S8,A,2021-04-06,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.74,57.27,-0.74,DEMAND_DEFENDED,False,True,-1.0,-0.44757112568483043,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-1.0)",PROTECT
S12,A,2022-02-08,MACRO_TRANSITION,ALLOW,ALLOW,NO,NO,ALLOW,0.0,58.89,0.88,DEMAND_ABSENT,False,False,3.0,0.1355882414146172,allow(leg=MACRO_TRANSITION),PROTECT
S13,A,2022-07-21,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.09,27.92,0.48,DEMAND_ABSENT,False,True,-2.0,-0.6656697849668259,"bear_markdown(leg=MACRO_BEAR_LEG,mb=True,cs=-2.0)",PROTECT
S15,A,2022-11-04,MACRO_RANGE,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,NO,PRESERVE_BOTTOM_TURN,0.74,29.39,1.3,DEMAND_DEFENDED,False,True,-3.0,-0.4691936913007228,bottom_turn_oversold_reclaim_demand,PROTECT
S16,A,2022-11-23,MACRO_TRANSITION,ALLOW,ALLOW,NO,NO,ALLOW,0.5,38.03,0.68,DEMAND_ABSENT,False,True,2.0,-0.15548914863712407,allow(leg=MACRO_TRANSITION),PROTECT
S17,A,2023-01-03,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.56,60.29,0.06,DEMAND_DEFENDED,False,False,3.0,0.48669225017661527,allow(leg=MACRO_BULL_LEG),PROTECT
S20,A,2023-10-11,MACRO_TRANSITION,ALLOW,ALLOW,NO,NO,ALLOW,0.0,63.7,0.25,DEMAND_DEFENDED,False,True,1.0,-0.18938395936776528,allow(leg=MACRO_TRANSITION),PROTECT
S24,A,2024-07-03,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,0.0,49.79,1.3,DEMAND_DEFENDED,False,False,0.0,0.5897049129146874,allow(leg=MACRO_RANGE),PROTECT
S25,A,2024-08-15,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,2.05,47.27,-0.89,DEMAND_NEUTRAL,False,False,2.0,0.22044507817301648,allow(leg=MACRO_RANGE),PROTECT
S26,A,2024-09-04,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,4.12,34.28,-1.12,DEMAND_FRAGILE,False,False,2.0,0.4018224665467104,allow(leg=MACRO_RANGE),PROTECT
S27,A,2025-05-28,MACRO_CORRECTIVE_PULLBACK,ALLOW,ALLOW,NO,NO,ALLOW,4.28,35.44,-0.99,DEMAND_DEFENDED,False,False,1.0,1.1166325924137492,corrective_with_flush(drop20_atr=4.28) -> preserve|allow(leg=MACRO_CORRECTIVE_PULLBACK),PROTECT
S29,A,2025-09-02,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,0.27,73.44,-0.27,DEMAND_ABSENT,False,False,3.0,0.2740287472976669,allow(leg=MACRO_RANGE),PROTECT
S30,A,2025-09-15,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.19,55.23,-0.19,DEMAND_DEFENDED,False,False,3.0,0.3743791972827738,allow(leg=MACRO_BULL_LEG),PROTECT
S31,A,2025-10-01,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.57,53.57,-0.57,DEMAND_DEFENDED,False,False,2.0,0.6700509901770102,allow(leg=MACRO_BULL_LEG),PROTECT
S32,A,2025-10-03,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.26,52.46,0.76,DEMAND_DEFENDED,False,False,2.0,0.6700509901770102,allow(leg=MACRO_BULL_LEG),PROTECT
S34,A,2025-10-13,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,49.64,0.33,DEMAND_DEFENDED,False,False,1.0,0.8506313187533326,allow(leg=MACRO_BULL_LEG),PROTECT
S35,A,2025-12-16,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,1.79,57.84,-0.03,DEMAND_NEUTRAL,False,False,2.0,1.3733804583563853,allow(leg=MACRO_RANGE),PROTECT
S36,A,2026-01-06,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.6,59.15,-0.64,DEMAND_FRAGILE,False,False,3.0,1.1821257622043917,allow(leg=MACRO_BULL_LEG),PROTECT
S37,A,2026-01-08,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,1.87,51.33,-0.24,DEMAND_NEUTRAL,False,False,1.0,1.1821257622043917,allow(leg=MACRO_BULL_LEG),PROTECT
S38,A,2026-01-09,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,49.36,0.48,DEMAND_DEFENDED,False,False,2.0,1.1821257622043917,allow(leg=MACRO_BULL_LEG),PROTECT
T2,B,2020-01-30,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,1.83,50.06,-0.22,DEMAND_DEFENDED,False,False,1.0,0.24430619108777824,allow(leg=MACRO_RANGE),BLOCK
T3,B,2020-02-25,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,2.53,48.51,0.27,DEMAND_NEUTRAL,False,False,3.0,0.5054408455860381,allow(leg=MACRO_BULL_LEG),BLOCK
T4,B,2020-03-09,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,1.75,53.02,0.1,DEMAND_DEFENDED,False,False,4.0,0.6064504073529768,allow(leg=MACRO_BULL_LEG),BLOCK
T9,B,2020-11-13,MACRO_TRANSITION,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.0,40.32,1.34,DEMAND_DEFENDED,False,True,-2.0,0.13537984025754116,"bear_markdown(leg=MACRO_TRANSITION,mb=True,cs=-2.0)",BLOCK
T11,B,2021-01-28,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.79,36.06,1.26,DEMAND_DEFENDED,False,True,-3.0,-0.21810057484990794,"bear_markdown(leg=MACRO_BEAR_LEG,mb=True,cs=-3.0)",BLOCK
T12,B,2021-07-14,MACRO_CORRECTIVE_PULLBACK,ALLOW,BLOCK_CORRECTIVE_PULLBACK,NO,YES,BLOCK_CORRECTIVE_PULLBACK,0.12,53.1,0.49,DEMAND_DEFENDED,False,True,1.0,0.3616902615007083,"corrective_shallow(drop20_atr=0.12<1.0, no_flush)",BLOCK
T15,B,2021-09-22,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.0,44.33,0.18,DEMAND_DEFENDED,False,True,-1.0,-0.28972844202019227,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-1.0)",BLOCK
T16,B,2021-11-15,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,0.05,57.93,0.58,DEMAND_DEFENDED,False,False,2.0,-0.005775650458188004,allow(leg=MACRO_RANGE),BLOCK
T17,B,2021-11-26,MACRO_BULL_LEG,PRESERVE_BOTTOM_TURN,ALLOW,NO,NO,ALLOW,1.32,23.29,1.07,DEMAND_DEFENDED,False,True,2.0,0.05353041237491978,carveout_suppressed_in_bull_leg|allow(leg=MACRO_BULL_LEG),BLOCK
T18,B,2021-12-30,MACRO_TRANSITION,ALLOW,ALLOW,NO,NO,ALLOW,0.5,40.83,0.12,DEMAND_DEFENDED,False,True,1.0,0.09580731591219226,allow(leg=MACRO_TRANSITION),BLOCK
T20,B,2022-01-25,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,1.08,51.48,-0.46,DEMAND_NEUTRAL,False,False,0.0,0.16495559961782771,allow(leg=MACRO_BULL_LEG),BLOCK
T23,B,2022-03-24,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,40.83,1.24,DEMAND_DEFENDED,False,False,3.0,0.41462632942806754,allow(leg=MACRO_BULL_LEG),BLOCK
T24,B,2022-03-31,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,0.0,42.05,0.68,DEMAND_FRAGILE,False,False,3.0,0.48287836162169046,allow(leg=MACRO_RANGE),BLOCK
T25,B,2022-04-05,MACRO_CORRECTIVE_PULLBACK,ALLOW,BLOCK_CORRECTIVE_PULLBACK,NO,YES,BLOCK_CORRECTIVE_PULLBACK,0.3,41.47,1.3,DEMAND_DEFENDED,False,False,2.0,0.5451745154262317,"corrective_shallow(drop20_atr=0.3<1.0, no_flush)",BLOCK
T26,B,2022-04-08,MACRO_CORRECTIVE_PULLBACK,ALLOW,BLOCK_CORRECTIVE_PULLBACK,NO,YES,BLOCK_CORRECTIVE_PULLBACK,0.29,46.25,0.82,DEMAND_DEFENDED,False,False,3.0,0.5451745154262317,"corrective_shallow(drop20_atr=0.29<1.0, no_flush)",BLOCK
T30,B,2024-01-04,MACRO_BULL_LEG,PRESERVE_BOTTOM_TURN,ALLOW,NO,NO,ALLOW,2.8,31.97,0.26,DEMAND_DEFENDED,True,False,1.0,0.4616119012118506,carveout_suppressed_in_bull_leg|allow(leg=MACRO_BULL_LEG),BLOCK
T40,B,2025-11-13,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,1.54,56.69,0.38,DEMAND_DEFENDED,False,True,3.0,1.37566222323685,allow(leg=MACRO_RANGE),BLOCK
T42,B,2026-04-17,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.5,51.03,-0.52,DEMAND_DEFENDED,False,True,-1.0,0.6070517404707794,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-1.0)",BLOCK
S9,C,2021-05-12,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,2.59,47.95,-0.71,DEMAND_FRAGILE,False,True,3.0,-0.22379088690467835,allow(leg=MACRO_BULL_LEG),REVIEW
S10,C,2021-05-14,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,40.98,0.51,DEMAND_DEFENDED,False,True,2.0,-0.22379088690467835,allow(leg=MACRO_BULL_LEG),REVIEW
S14,C,2022-11-01,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,2.27,33.76,1.06,DEMAND_NEUTRAL,False,True,-3.0,-0.4691936913007228,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-3.0)",TRANSFORM
S18,C,2023-01-11,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,62.25,0.53,DEMAND_DEFENDED,False,False,3.0,0.6487836827052934,allow(leg=MACRO_BULL_LEG),REVIEW
