bar_idx,datetime,mfe_R,klass,monumental,legit_bear_buy,refined,capit,demand,sup_cat,decel
1200,2020-10-08,1.7,loser,0,0,BLOCK,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_FRESH_DANGEROUS,True
1316,2020-11-05,2.47,mid,0,0,BLOCK,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_NEAR_BUT_BROKEN,True
1429,2020-12-02,5.99,runner,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,CLEAN_SKY,False
1497,2020-12-17,1.33,loser,0,0,BLOCK,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_NEAR_AND_REJECTING,True
1661,2021-01-28,0.0,loser,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,CLEAN_SKY,True
1761,2021-02-22,1.21,loser,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_FAR_ENOUGH,True
1775,2021-02-24,0.53,loser,0,0,BLOCK,NO_CAPITULATION,DEMAND_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,False
1836,2021-03-10,0.95,loser,0,0,BLOCK,NO_CAPITULATION,DEMAND_ABSENT,SUPPLY_FRESH_DANGEROUS,False
1873,2021-03-18,1.2,loser,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_BLOCKS_TARGET,False
2497,2021-08-13,7.42,runner,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,CLEAN_SKY,False
2705,2021-10-01,4.66,mid,0,0,BLOCK,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_NEAR_AND_REJECTING,True
2737,2021-10-08,0.0,loser,0,0,BLOCK,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_NEAR_AND_REJECTING,True
3678,2022-05-19,2.19,mid,0,0,BLOCK,NO_CAPITULATION,DEMAND_ABSENT,SUPPLY_FRESH_DANGEROUS,True
3825,2022-06-23,0.96,loser,0,0,BLOCK,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_NEAR_AND_REJECTING,True
3836,2022-06-26,0.47,loser,0,0,BLOCK,NO_CAPITULATION,DEMAND_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,True
3929,2022-07-18,0.05,loser,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_BLOCKS_TARGET,True
3949,2022-07-21,6.62,runner,0,1,PRESERVE,NO_CAPITULATION,DEMAND_ABSENT,SUPPLY_BLOCKS_TARGET,True
4243,2022-09-28,0.0,loser,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_BLOCKS_TARGET,True
4899,2023-03-03,1.14,loser,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_FAR_ENOUGH,True
4918,2023-03-08,19.79,runner,1,1,PRESERVE,CLIMAX_RECLAIM,DEMAND_DEFENDED,SUPPLY_FAR_ENOUGH,True
4926,2023-03-09,18.03,runner,1,1,PRESERVE,FALLING_KNIFE,DEMAND_DEFENDED,SUPPLY_BLOCKS_TARGET,True
5296,2023-06-06,1.15,loser,0,1,PRESERVE,FALLING_KNIFE,DEMAND_DEFENDED,SUPPLY_FAR_ENOUGH,True
5414,2023-07-04,1.21,loser,0,0,BLOCK,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_NEAR_AND_REJECTING,False
5435,2023-07-07,0.09,loser,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_FAR_ENOUGH,True
5701,2023-09-07,0.42,loser,0,1,PRESERVE,CLIMAX_RECLAIM,DEMAND_DEFENDED,SUPPLY_FAR_ENOUGH,True
5772,2023-09-25,0.74,loser,0,1,PRESERVE,FALLING_KNIFE,DEMAND_NEUTRAL,SUPPLY_BLOCKS_TARGET,False
6295,2024-01-29,3.66,mid,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_FAR_ENOUGH,True
6887,2024-06-14,0.0,loser,0,1,PRESERVE,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_FAR_ENOUGH,True
9646,2026-03-30,3.58,mid,0,0,BLOCK,NO_CAPITULATION,DEMAND_DEFENDED,SUPPLY_NEAR_AND_REJECTING,True
