gt_id,classe,RR_target,mfe_R,tipo_candle,fragile_survivor,supply_dist_low_atr,supply_dist_from_polarity_atr,demand_support_cat,supply_cat,tier,notes
GT01,BOM_L2_winner,NA,NA,"Tipo B atípico — PRETA com upper wick dominante (53%), lower",no,0.79,1.43,DEMAND_ORIGIN_OF_LEG,SUPPLY_NEAR_AND_REJECTING,B_TIER_PROTECT_IF_POSSIBLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT02,BOM_L2_winner,4.47,5.59,"Tipo B clássico forte — PRETA, lower wick 62% dominante, ran",no,,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,A_TIER_PROTECT,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT03,BOM_L2_winner,11.49,15.4,"Tipo B com absorção dominante — PRETA, body 36%, upper wick ",no,,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,A_TIER_PROTECT,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT08,BOM_L2_winner,NA,NA,"Tipo B clássico — PRETA, lower wick 33%, range 4 ATR, perfur",no,0.59,1.47,DEMAND_ORIGIN_OF_LEG,SUPPLY_NEAR_AND_REJECTING,B_TIER_PROTECT_IF_POSSIBLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT09,BOM_L2_winner,NA,NA,"Tipo B — PRETA, body 65%, lower wick 33%, range 1.5 ATR, per",no,4.54,4.61,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,B_TIER_PROTECT_IF_POSSIBLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT10,BOM_L2_winner,NA,NA,"Tipo B — PRETA, body 54%, lower wick 30%, range 1.62 ATR, pe",no,3.17,3.87,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,B_TIER_PROTECT_IF_POSSIBLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT13A,BOM_L2_winner,NA,NA,"Tipo A verde reclaim — wick perfura polaridade $0.05, close ",no,2.97,3.37,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,C_TIER_SACRIFICABLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT13B,BOM_L2_winner,NA,NA,"Tipo A verde reclaim — wick perfura polaridade $1.86, close ",yes,1.23,1.47,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,B_TIER_PROTECT_IF_POSSIBLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT15,BOM_L2_winner,NA,NA,"Tipo B pequeno — PRETA, body 49%, lower wick 50% moderada, r",no,2.42,2.92,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_FAR_ENOUGH,C_TIER_SACRIFICABLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT17A,BOM_L2_winner,NA,NA,"Tipo B — PRETA, perfuração $1.99, close defende $2.12",yes,0.72,1.47,DEMAND_SUPPORTING_RETEST,SUPPLY_FRESH_DANGEROUS,B_TIER_PROTECT_IF_POSSIBLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT18,BOM_L2_BIG_WINNER,NA,NA,"Tipo B clássico explosivo — PRETA, lower wick 61% dominante,",no,2.71,3.45,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,A_TIER_PROTECT,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT20,BOM_L2_winner,NA,2.91,"candle de entrada VERMELHO de pullback (O1670.12 C1663.0, bo",no,1.03,1.45,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,B_TIER_PROTECT_IF_POSSIBLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT21,BOM_L2_BIG_WINNER,NA,NA,"Tipo B muito pequeno — PRETA, range 0.31 ATR (menor entre HI",no,4.47,4.9,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,A_TIER_PROTECT,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT23,BOM_L2_BIG_WINNER,NA,NA,"Tipo A verde reclaim direto — body 86%, lower wick mínima 6%",yes,1.44,2.03,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,A_TIER_PROTECT,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT24,BOM_L2_winner,NA,NA,"Tipo B forte — PRETA, lower wick 63% dominante, range 2.37 A",yes,0.81,1.44,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,B_TIER_PROTECT_IF_POSSIBLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT25,BOM_L2_winner,NA,NA,"Tipo B balanceado — PRETA, body 18%, upper wick 40%, lower w",no,,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,C_TIER_SACRIFICABLE,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
GT27,BOM_L2_BIG_WINNER,NA,NA,"Tipo B discreto — PRETA, range 1 ATR modesto; absorção conte",no,2.79,3.41,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_FAR_ENOUGH,A_TIER_PROTECT,"R measured only GT02/03/20; tier from classe+candle strength (judgment, confirm visual)"
