bar_idx,datetime,mfe_R,policy,leg,bottleneck
55,2020-01-14,5.01,TAKE,MACRO_BULL_LEG,EXIT_ONLY
78,2020-01-20,0.97,TAKE,MACRO_BULL_LEG,READING_ONLY
116,2020-01-28,0.0,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
130,2020-01-30,10.46,TAKE,MACRO_RANGE,EXIT_ONLY
140,2020-02-03,0.41,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
149,2020-02-05,0.0,TAKE,MACRO_BULL_LEG,READING_ONLY
159,2020-02-06,12.69,TAKE,MACRO_BULL_LEG,EXIT_ONLY
217,2020-02-20,6.52,REVIEW_RISK,MACRO_BULL_LEG,READING_ONLY
237,2020-02-25,1.2,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
287,2020-03-09,0.81,TAKE,MACRO_BULL_LEG,READING_ONLY
351,2020-03-23,5.13,REVIEW,MACRO_TRANSITION,READING_ONLY
383,2020-03-31,0.0,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
391,2020-04-01,10.4,SKIP,MACRO_RANGE,READING_ONLY
413,2020-04-07,4.88,TAKE,MACRO_RANGE,EXIT_ONLY
458,2020-04-17,0.0,SKIP,MACRO_RANGE,RESIDUAL
493,2020-04-27,0.94,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
521,2020-05-04,0.32,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
542,2020-05-07,0.47,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
583,2020-05-18,1.44,SKIP,MACRO_RANGE,RESIDUAL
597,2020-05-20,0.0,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
631,2020-05-28,1.98,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
685,2020-06-10,0.09,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
702,2020-06-15,5.67,TAKE,MACRO_CORRECTIVE_PULLBACK,EXIT_ONLY
766,2020-06-30,0.0,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
780,2020-07-02,14.6,TAKE,MACRO_BULL_LEG,EXIT_ONLY
833,2020-07-15,0.21,TAKE,MACRO_BULL_LEG,READING_ONLY
845,2020-07-17,30.71,TAKE,MACRO_BULL_LEG,EXIT_ONLY
866,2020-07-23,12.59,REVIEW_RISK,MACRO_BULL_LEG,READING_ONLY
886,2020-07-28,4.68,REVIEW_RISK,MACRO_BULL_LEG,EXIT_ONLY
901,2020-07-30,5.01,TAKE,MACRO_BULL_LEG,EXIT_ONLY
919,2020-08-04,3.31,TAKE,MACRO_BULL_LEG,EXIT_ONLY
934,2020-08-07,0.0,TAKE,MACRO_BULL_LEG,READING_ONLY
970,2020-08-17,1.73,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
1027,2020-08-30,0.84,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
1072,2020-09-09,1.42,TAKE,MACRO_RANGE,READING_ONLY
1151,2020-09-28,2.73,SKIP,MACRO_RANGE,RESIDUAL
1200,2020-10-08,1.7,SKIP,MACRO_BEAR_LEG,RESIDUAL
1211,2020-10-12,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
1221,2020-10-14,0.03,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
1298,2020-11-02,5.1,SKIP,MACRO_RANGE,READING_ONLY
1316,2020-11-05,2.47,TAKE,MACRO_BEAR_LEG,EXIT_ONLY
1326,2020-11-08,0.49,REVIEW_RISK,MACRO_CORRECTIVE_PULLBACK,RESIDUAL
1353,2020-11-13,0.56,SKIP,MACRO_TRANSITION,RESIDUAL
1429,2020-12-02,5.99,SKIP,MACRO_BEAR_LEG,READING_ONLY
1497,2020-12-17,1.33,REVIEW,MACRO_BEAR_LEG,RESIDUAL
1522,2020-12-23,5.65,SKIP,MACRO_RANGE,READING_ONLY
1568,2021-01-06,0.46,TAKE,MACRO_BULL_LEG,READING_ONLY
1623,2021-01-20,0.31,SKIP,MACRO_TRANSITION,RESIDUAL
1661,2021-01-28,0.0,SKIP,MACRO_BEAR_LEG,RESIDUAL
1761,2021-02-22,1.21,SKIP,MACRO_BEAR_LEG,RESIDUAL
1775,2021-02-24,0.53,REVIEW,MACRO_BEAR_LEG,RESIDUAL
1836,2021-03-10,0.95,REVIEW,MACRO_BEAR_LEG,RESIDUAL
1873,2021-03-18,1.2,SKIP,MACRO_BEAR_LEG,RESIDUAL
1901,2021-03-25,1.36,SKIP,MACRO_RANGE,RESIDUAL
1941,2021-04-06,6.04,SKIP,MACRO_RANGE,READING_ONLY
2034,2021-04-27,0.0,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
2053,2021-05-02,16.88,SKIP,MACRO_BULL_LEG,READING_ONLY
2100,2021-05-12,2.39,SKIP,MACRO_BULL_LEG,RESIDUAL
