id,entry_ts,close_R3,exit_R3,risk_atr,class,needs_visual
1,2019-03-11T18:00:00+00:00,3.0,target,0.749,mechanical_winner,no
2,2019-05-08T06:00:00+00:00,-1.0,stop,1.18,mechanical_loser_coherent,no
3,2019-07-31T02:00:00+00:00,-1.0,stop,1.072,mechanical_loser_coherent,no
4,2019-08-16T10:00:00+00:00,-1.0,stop,0.839,mechanical_loser_coherent,no
5,2019-09-22T22:00:00+00:00,-1.0,stop,1.191,mechanical_loser_coherent,no
6,2020-01-20T03:00:00+00:00,-1.0,stop,0.971,mechanical_loser_coherent,no
7,2020-01-29T07:00:00+00:00,0.0269,time_limit,1.225,mechanical_small_win,yes
8,2020-04-23T02:00:00+00:00,-1.0,stop,0.845,mechanical_loser_coherent,no
9,2020-04-28T06:00:00+00:00,-1.0,stop,1.208,mechanical_loser_coherent,no
10,2020-05-08T06:00:00+00:00,-1.0,stop,0.98,mechanical_loser_coherent,no
11,2020-06-01T18:00:00+00:00,-1.0,stop,1.492,mechanical_loser_coherent,no
12,2020-06-02T10:00:00+00:00,-1.0,stop,1.199,mechanical_loser_coherent,no
13,2020-09-16T02:00:00+00:00,-1.0,stop,1.067,mechanical_loser_coherent,no
14,2021-03-10T19:00:00+00:00,-1.0,stop,1.468,mechanical_loser_coherent,no
15,2021-06-10T22:00:00+00:00,-1.0,stop,0.399,mechanical_loser_coherent,no
16,2021-08-02T14:00:00+00:00,-1.0,stop,1.421,mechanical_loser_coherent,no
17,2021-08-03T22:00:00+00:00,-1.0,stop,0.911,mechanical_loser_coherent,no
18,2021-09-01T18:00:00+00:00,-1.0,stop,0.869,mechanical_loser_coherent,no
19,2021-10-06T10:00:00+00:00,0.6874,time_limit,1.399,mechanical_small_win,yes
20,2021-10-22T02:00:00+00:00,0.9873,time_limit,1.421,mechanical_small_win,yes
21,2021-12-21T07:00:00+00:00,-1.0,stop,1.081,mechanical_loser_coherent,no
22,2022-01-23T23:00:00+00:00,-1.0,stop,1.173,mechanical_loser_coherent,no
23,2022-03-10T03:00:00+00:00,-1.0,stop,0.787,mechanical_loser_coherent,no
24,2022-04-11T18:00:00+00:00,3.0,target,1.481,mechanical_winner,no
25,2022-05-20T02:00:00+00:00,-1.0,stop,0.973,mechanical_loser_coherent,no
26,2022-08-25T14:00:00+00:00,-1.0,stop,1.006,mechanical_loser_coherent,no
27,2022-08-26T02:00:00+00:00,-1.0,stop,0.633,mechanical_loser_coherent,no
28,2022-11-07T07:00:00+00:00,-1.0,stop,1.184,mechanical_loser_coherent,no
29,2022-11-29T23:00:00+00:00,-1.0,stop,0.779,mechanical_loser_coherent,no
30,2023-01-22T23:00:00+00:00,-1.0,stop,1.244,mechanical_loser_coherent,no
31,2023-04-10T06:00:00+00:00,-1.0,stop,1.255,mechanical_loser_coherent,no
32,2023-04-11T02:00:00+00:00,3.0,target,1.049,mechanical_winner,no
33,2023-07-24T06:00:00+00:00,-1.0,stop,1.314,mechanical_loser_coherent,no
34,2023-10-31T06:00:00+00:00,-1.0,stop,0.783,mechanical_loser_coherent,no
35,2023-11-15T03:00:00+00:00,-1.0,stop,1.089,mechanical_loser_coherent,no
36,2023-12-22T07:00:00+00:00,3.0,target,1.115,mechanical_winner,no
37,2024-02-02T19:00:00+00:00,-1.0,stop,1.1,mechanical_loser_coherent,no
38,2024-07-30T18:00:00+00:00,3.0,target,0.659,mechanical_winner,no
39,2024-10-14T02:00:00+00:00,-1.0,stop,1.318,mechanical_loser_coherent,no
40,2024-11-19T07:00:00+00:00,3.0,target,1.197,mechanical_winner,no
41,2024-11-19T15:00:00+00:00,-1.0,stop,0.712,mechanical_loser_coherent,no
42,2024-11-25T19:00:00+00:00,-1.0,stop,0.793,mechanical_loser_coherent,no
43,2024-11-26T19:00:00+00:00,0.2366,time_limit,1.203,mechanical_small_win,yes
44,2024-12-09T23:00:00+00:00,3.0,target,0.985,mechanical_winner,no
45,2025-03-12T22:00:00+00:00,3.0,target,0.575,mechanical_winner,no
46,2025-05-06T06:00:00+00:00,-1.0,stop,1.182,mechanical_loser_coherent,no
47,2025-05-08T10:00:00+00:00,-1.0,stop,1.299,mechanical_loser_coherent,no
48,2025-07-03T02:00:00+00:00,-1.0,stop,1.08,mechanical_loser_coherent,no
49,2025-09-16T06:00:00+00:00,-1.0,stop,1.403,mechanical_loser_coherent,no
50,2025-11-18T07:00:00+00:00,0.3861,time_limit,1.213,mechanical_small_win,yes
51,2025-11-26T15:00:00+00:00,3.0,target,0.933,mechanical_winner,no
52,2026-04-15T10:00:00+00:00,-1.0,stop,1.066,mechanical_loser_coherent,no
53,2026-05-06T22:00:00+00:00,-1.0,stop,1.446,mechanical_loser_coherent,no
