bar_idx,datetime,anchor_swinghigh_bar,anchor_date,anchor_high,movement_size,movement_siblings
55,2020-01-14,46,2020-01-10,1563.1,2,78
78,2020-01-20,46,2020-01-10,1563.1,2,55
116,2020-01-28,106,2020-01-26,1588.5,2,130
130,2020-01-30,106,2020-01-26,1588.5,2,116
140,2020-02-03,136,2020-02-02,1593.3,3,149 159
149,2020-02-05,136,2020-02-02,1593.3,3,140 159
159,2020-02-06,136,2020-02-02,1593.3,3,140 149
217,2020-02-20,,,,1,
237,2020-02-25,227,2020-02-24,1689.3,2,287
287,2020-03-09,227,2020-02-24,1689.3,2,237
351,2020-03-23,312,2020-03-13,1597.9,1,
383,2020-03-31,375,2020-03-29,1633.1,2,391
391,2020-04-01,375,2020-03-29,1633.1,2,383
413,2020-04-07,300,2020-03-11,1671.2,1,
458,2020-04-17,450,2020-04-16,1738.7,1,
493,2020-04-27,486,2020-04-24,1736.3,2,583
521,2020-05-04,509,2020-04-30,1721.7,2,542
542,2020-05-07,509,2020-04-30,1721.7,2,521
583,2020-05-18,486,2020-04-24,1736.3,2,493
597,2020-05-20,582,2020-05-18,1765.2,1,
631,2020-05-28,615,2020-05-26,1735.4,1,
685,2020-06-10,648,2020-06-02,1745.2,1,
702,2020-06-15,695,2020-06-12,1743.0,1,
766,2020-06-30,758,2020-06-28,1775.4,1,
780,2020-07-02,772,2020-07-01,1789.0,1,
833,2020-07-15,820,2020-07-13,1813.2,1,
845,2020-07-17,831,2020-07-15,1815.0,1,
866,2020-07-23,,,,1,
886,2020-07-28,,,,1,
901,2020-07-30,894,2020-07-29,1980.8,1,
919,2020-08-04,,,,1,
934,2020-08-07,923,2020-08-05,2055.6,1,
970,2020-08-17,941,2020-08-10,2049.9,1,
1027,2020-08-30,1018,2020-08-27,1976.7,1,
1072,2020-09-09,1054,2020-09-04,1947.7,1,
1151,2020-09-28,1114,2020-09-18,1960.0,2,1326
1200,2020-10-08,1185,2020-10-06,1921.0,1,
1211,2020-10-12,1206,2020-10-11,1933.2,2,1221
1221,2020-10-14,1206,2020-10-11,1933.2,2,1211
1298,2020-11-02,1293,2020-10-30,1889.8,1,
1316,2020-11-05,1252,2020-10-21,1931.4,1,
1326,2020-11-08,1114,2020-09-18,1960.0,2,1151
1353,2020-11-13,1327,2020-11-09,1965.5,2,1568
1429,2020-12-02,1384,2020-11-20,1879.8,1,
1497,2020-12-17,1365,2020-11-17,1893.4,1,
1522,2020-12-23,1505,2020-12-21,1906.7,1,
1568,2021-01-06,1327,2020-11-09,1965.5,2,1353
1623,2021-01-20,1603,2021-01-14,1857.6,1,
1661,2021-01-28,1643,2021-01-25,1867.9,1,
1761,2021-02-22,1736,2021-02-16,1826.4,1,
1775,2021-02-24,1771,2021-02-23,1813.8,1,
1836,2021-03-10,1801,2021-03-02,1740.5,1,
1873,2021-03-18,1868,2021-03-18,1755.5,1,
1901,2021-03-25,1888,2021-03-23,1742.6,1,
1941,2021-04-06,1907,2021-03-26,1736.7,1,
2034,2021-04-27,2020,2021-04-23,1795.9,1,
2053,2021-05-02,2042,2021-04-29,1790.0,1,
2100,2021-05-12,2092,2021-05-11,1841.8,1,
2110,2021-05-14,2098,2021-05-12,1843.7,1,
2174,2021-05-31,2158,2021-05-26,1912.7,1,
2188,2021-06-02,2180,2021-06-01,1916.6,1,
2204,2021-06-07,2200,2021-06-04,1896.2,1,
2222,2021-06-10,2217,2021-06-09,1899.0,1,
2320,2021-07-02,2289,2021-06-25,1790.3,1,
2364,2021-07-14,2360,2021-07-13,1817.2,1,
2372,2021-07-15,2248,2021-06-16,1863.0,1,
2428,2021-07-28,2413,2021-07-26,1811.5,1,
2488,2021-08-11,2462,2021-08-05,1814.9,2,2497
2497,2021-08-13,2462,2021-08-05,1814.9,2,2488
2544,2021-08-25,2534,2021-08-23,1806.5,1,
2663,2021-09-22,2635,2021-09-15,1806.9,1,
2705,2021-10-01,2681,2021-09-27,1760.8,1,
2737,2021-10-08,2667,2021-09-22,1787.3,1,
2747,2021-10-12,2737,2021-10-08,1781.4,1,
2859,2021-11-05,2589,2021-09-03,1834.0,1,
2896,2021-11-15,2888,2021-11-12,1868.7,1,
2905,2021-11-17,2899,2021-11-16,1877.1,1,
2922,2021-11-22,2917,2021-11-19,1865.8,3,2944 3070
2944,2021-11-26,2917,2021-11-19,1865.8,3,2922 3070
2991,2021-12-08,2958,2021-11-30,1808.8,2,3029
3011,2021-12-13,3005,2021-12-10,1789.4,1,
3029,2021-12-16,2958,2021-11-30,1808.8,2,2991
3070,2021-12-28,2917,2021-11-19,1865.8,3,2922 2944
3085,2021-12-30,3071,2021-12-28,1820.2,1,
3102,2022-01-04,3092,2022-01-02,1831.7,1,
3118,2022-01-07,3107,2022-01-05,1829.6,2,3126
3126,2022-01-10,3107,2022-01-05,1829.6,2,3118
3147,2022-01-14,3141,2022-01-13,1828.2,1,
3162,2022-01-18,3148,2022-01-14,1829.1,1,
3178,2022-01-21,3174,2022-01-20,1848.0,1,
3190,2022-01-25,3184,2022-01-24,1844.3,1,
3219,2022-02-01,3193,2022-01-25,1853.8,3,3238 3252
3238,2022-02-04,3193,2022-01-25,1853.8,3,3219 3252
3252,2022-02-08,3193,2022-01-25,1853.8,3,3219 3238
3326,2022-02-24,3322,2022-02-24,1974.4,1,
3443,2022-03-24,3383,2022-03-10,2009.1,1,
3474,2022-03-31,3444,2022-03-24,1966.2,1,
3491,2022-04-05,3474,2022-03-31,1949.8,1,
3509,2022-04-08,3492,2022-04-05,1944.6,1,
3622,2022-05-06,3617,2022-05-05,1909.7,1,
3678,2022-05-19,3644,2022-05-11,1858.8,1,
3773,2022-06-10,3762,2022-06-08,1859.7,1,
3799,2022-06-16,3776,2022-06-12,1878.9,1,
3825,2022-06-23,3821,2022-06-22,1847.8,1,
3836,2022-06-26,3827,2022-06-23,1846.1,1,
3929,2022-07-18,3912,2022-07-13,1745.3,1,
3949,2022-07-21,3935,2022-07-19,1718.4,1,
4095,2022-08-25,4067,2022-08-18,1772.4,1,
4243,2022-09-28,4213,2022-09-21,1688.1,1,
4309,2022-10-13,4296,2022-10-11,1683.9,1,
4346,2022-10-23,4319,2022-10-17,1668.4,1,
4372,2022-10-28,4360,2022-10-26,1675.0,1,
4384,2022-11-01,4371,2022-10-28,1667.0,1,
