b,dt,conv,rm_conv,rm_bear,rm_blr,mfe,realR,winner,runner,regime,macro_leg,why_low
55,2020-01-14,3,0,0,0,5.01,0.97,1,0,TRANSITION,MACRO_BULL_LEG,sweep
78,2020-01-20,3,0,0,0,0.97,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
116,2020-01-28,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_RANGE,snap|sweep
130,2020-01-30,2,0,0,0,10.46,0.79,1,1,BULL,MACRO_RANGE,snap|sweep
140,2020-02-03,3,0,0,0,0.41,-1.1,0,0,BULL,MACRO_BULL_LEG,snap
149,2020-02-05,3,0,0,0,0.0,2.7,1,0,TRANSITION,MACRO_BULL_LEG,sweep
159,2020-02-06,2,0,0,0,12.69,2.83,1,1,BULL,MACRO_BULL_LEG,sweep|bubble
217,2020-02-20,3,0,0,0,6.52,0.75,1,0,BULL,MACRO_BULL_LEG,sweep
237,2020-02-25,4,0,0,0,1.2,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,
287,2020-03-09,2,0,0,0,0.81,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
351,2020-03-23,2,0,0,0,5.13,0.82,1,0,TRANSITION,MACRO_TRANSITION,sweep|bubble
383,2020-03-31,2,0,0,0,0.0,0.61,1,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
391,2020-04-01,2,0,0,0,10.4,3.9,1,1,TRANSITION,MACRO_RANGE,sweep|bubble
413,2020-04-07,2,0,0,0,4.88,1.46,1,0,BULL,MACRO_RANGE,snap|sweep
458,2020-04-17,3,0,0,0,0.0,0.32,1,0,BULL,MACRO_RANGE,snap
493,2020-04-27,3,0,0,0,0.94,0.9,1,0,TRANSITION,MACRO_BULL_LEG,snap
521,2020-05-04,3,0,0,0,0.32,1.37,1,0,BULL,MACRO_RANGE,sweep
542,2020-05-07,3,0,0,0,0.47,0.22,1,0,BULL,MACRO_RANGE,sweep
583,2020-05-18,2,0,0,0,1.44,0.02,1,0,BULL,MACRO_RANGE,snap|sweep
597,2020-05-20,2,0,0,0,0.0,-1.1,0,0,BULL,MACRO_RANGE,snap|sweep
631,2020-05-28,1,1,0,0,1.98,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep|bubble
685,2020-06-10,3,0,0,0,0.09,0.38,1,0,BULL,MACRO_RANGE,sweep
702,2020-06-15,4,0,0,0,5.67,2.43,1,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,
766,2020-06-30,2,0,0,0,0.0,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep
780,2020-07-02,4,0,0,0,14.6,1.43,1,1,BULL,MACRO_BULL_LEG,
833,2020-07-15,3,0,0,0,0.21,3.9,1,0,BULL,MACRO_BULL_LEG,sweep
845,2020-07-17,3,0,0,0,30.71,3.9,1,1,BULL,MACRO_BULL_LEG,sweep
866,2020-07-23,2,0,0,0,12.59,2.09,1,1,BULL,MACRO_BULL_LEG,snap|sweep
886,2020-07-28,3,0,0,0,4.68,-0.04,0,0,BULL,MACRO_BULL_LEG,sweep
901,2020-07-30,4,0,0,0,5.01,0.9,1,0,TRANSITION,MACRO_BULL_LEG,
919,2020-08-04,2,0,0,0,3.31,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep
934,2020-08-07,2,0,0,0,0.0,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep
970,2020-08-17,2,0,0,0,1.73,-0.13,0,0,BULL,MACRO_BULL_LEG,sweep|bubble
1027,2020-08-30,2,0,0,0,0.84,-1.1,0,0,BULL,MACRO_RANGE,sweep|bubble
1072,2020-09-09,2,0,0,0,1.42,-1.1,0,0,BULL,MACRO_RANGE,sweep|bubble
1151,2020-09-28,2,0,0,0,2.73,1.1,1,0,TRANSITION,MACRO_RANGE,sweep|bubble
1200,2020-10-08,3,0,0,1,1.7,-0.16,0,0,TRANSITION,MACRO_BEAR_LEG,sweep
1211,2020-10-12,2,0,0,0,0.0,-0.59,0,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,snap|sweep
1221,2020-10-14,3,0,0,0,0.03,-1.1,0,0,TRANSITION,MACRO_RANGE,sweep
1298,2020-11-02,2,0,0,0,5.1,0.9,1,0,TRANSITION,MACRO_RANGE,sweep|bubble
1316,2020-11-05,3,0,0,1,2.47,-1.1,0,0,BULL,MACRO_BEAR_LEG,sweep
1326,2020-11-08,3,0,0,0,0.49,-1.1,0,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
1353,2020-11-13,3,0,0,0,0.56,-1.1,0,0,TRANSITION,MACRO_TRANSITION,sweep
1429,2020-12-02,2,0,0,0,5.99,0.55,1,0,TRANSITION,MACRO_BEAR_LEG,snap|sweep
1497,2020-12-17,3,0,0,1,1.33,1.2,1,0,TRANSITION,MACRO_BEAR_LEG,sweep
1522,2020-12-23,3,0,0,0,5.65,0.9,1,0,TRANSITION,MACRO_RANGE,sweep
1568,2021-01-06,2,0,0,0,0.46,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
1623,2021-01-20,2,0,0,0,0.31,-1.1,0,0,TRANSITION,MACRO_TRANSITION,sweep|bubble
1661,2021-01-28,2,0,1,0,0.0,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|sweep
1761,2021-02-22,2,0,0,0,1.21,-1.1,0,0,TRANSITION,MACRO_BEAR_LEG,sweep|bubble
1775,2021-02-24,1,1,1,1,0.53,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|snap|bubble
1836,2021-03-10,3,0,0,1,0.95,0.05,1,0,TRANSITION,MACRO_BEAR_LEG,sweep
1873,2021-03-18,1,1,1,0,1.2,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|snap|sweep
1901,2021-03-25,2,0,1,0,1.36,-1.1,0,0,BEAR,MACRO_RANGE,regime|snap
1941,2021-04-06,2,0,0,0,6.04,0.9,1,0,TRANSITION,MACRO_RANGE,snap|sweep
2034,2021-04-27,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
2053,2021-05-02,2,0,0,0,16.88,3.32,1,1,TRANSITION,MACRO_BULL_LEG,sweep|bubble
2100,2021-05-12,2,0,0,0,2.39,1.78,1,0,BULL,MACRO_BULL_LEG,snap|sweep
2110,2021-05-14,3,0,0,0,5.07,1.86,1,0,BULL,MACRO_BULL_LEG,sweep
2174,2021-05-31,2,0,0,0,0.81,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep
2188,2021-06-02,3,0,0,0,0.25,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
2204,2021-06-07,2,0,0,0,1.21,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep|bubble
2222,2021-06-10,3,0,0,0,0.0,-1.1,0,0,BULL,MACRO_BULL_LEG,snap
2320,2021-07-02,3,0,0,0,3.56,1.47,1,0,TRANSITION,MACRO_TRANSITION,sweep
2364,2021-07-14,3,0,0,0,1.75,-1.1,0,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,sweep
2372,2021-07-15,2,0,0,0,1.0,-1.1,0,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,snap|sweep
2428,2021-07-28,3,0,0,0,2.35,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,bubble
2488,2021-08-11,2,0,0,0,6.2,1.02,1,0,TRANSITION,MACRO_RANGE,sweep|bubble
2497,2021-08-13,2,0,0,0,7.42,1.99,1,0,TRANSITION,MACRO_BEAR_LEG,sweep|bubble
2544,2021-08-25,3,0,0,0,0.6,0.9,1,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,sweep
2663,2021-09-22,2,0,0,0,0.24,-1.1,0,0,TRANSITION,MACRO_RANGE,sweep|bubble
2705,2021-10-01,1,1,0,1,4.66,1.19,1,0,TRANSITION,MACRO_BEAR_LEG,snap|sweep|bubble
2737,2021-10-08,2,0,1,1,0.0,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|sweep
2747,2021-10-12,3,0,0,0,5.38,0.9,1,0,TRANSITION,MACRO_RANGE,sweep
2859,2021-11-05,3,0,0,0,4.16,0.36,1,0,BULL,MACRO_RANGE,sweep
2896,2021-11-15,2,0,0,0,0.81,-1.1,0,0,BULL,MACRO_RANGE,snap|sweep
2905,2021-11-17,3,0,0,0,0.38,-1.1,0,0,BULL,MACRO_RANGE,sweep
2922,2021-11-22,3,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap
2944,2021-11-26,2,0,0,0,1.46,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep|bubble
2991,2021-12-08,1,1,1,0,0.45,-1.1,0,0,BEAR,MACRO_RANGE,regime|sweep|bubble
3011,2021-12-13,2,0,0,0,0.12,-1.1,0,0,TRANSITION,MACRO_RANGE,sweep|bubble
3029,2021-12-16,2,0,0,0,2.88,0.59,1,0,TRANSITION,MACRO_RANGE,sweep|bubble
3070,2021-12-28,2,0,0,0,0.29,-1.1,0,0,BULL,MACRO_TRANSITION,sweep|bubble
3085,2021-12-30,3,0,0,0,1.75,-1.1,0,0,BULL,MACRO_TRANSITION,sweep
3102,2022-01-04,3,0,0,0,1.23,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep
3118,2022-01-07,2,0,1,0,0.0,0.99,1,0,BEAR,MACRO_BULL_LEG,regime|sweep
3126,2022-01-10,3,0,0,0,5.05,2.02,1,0,TRANSITION,MACRO_BULL_LEG,sweep
3147,2022-01-14,3,0,0,0,0.27,-1.1,0,0,BULL,MACRO_TRANSITION,sweep
3162,2022-01-18,3,0,0,0,4.84,-1.1,0,0,TRANSITION,MACRO_TRANSITION,snap
3178,2022-01-21,2,0,0,0,3.16,-1.1,0,0,BULL,MACRO_TRANSITION,snap|sweep
3190,2022-01-25,2,0,0,0,1.81,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
3219,2022-02-01,3,0,0,0,0.92,2.66,1,0,TRANSITION,MACRO_BULL_LEG,sweep
3238,2022-02-04,2,0,0,0,0.0,2.41,1,0,BULL,MACRO_TRANSITION,sweep|bubble
3252,2022-02-08,3,0,0,0,23.67,1.84,1,1,BULL,MACRO_TRANSITION,sweep
3326,2022-02-24,4,0,0,0,0.29,-1.1,0,0,BULL,MACRO_TRANSITION,
3443,2022-03-24,2,0,0,0,0.82,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep|bubble
3474,2022-03-31,3,0,0,0,0.02,0.38,1,0,BULL,MACRO_RANGE,sweep
3491,2022-04-05,3,0,0,0,0.0,0.9,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
3509,2022-04-08,3,0,0,0,4.61,0.9,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
3622,2022-05-06,1,1,1,0,0.51,-1.1,0,0,BEAR,MACRO_RANGE,regime|sweep|bubble
3678,2022-05-19,2,0,0,1,2.19,0.66,1,0,TRANSITION,MACRO_BEAR_LEG,sweep|bubble
3773,2022-06-10,0,1,1,0,4.85,-1.1,0,0,BEAR,MACRO_BULL_LEG,regime|snap|sweep|bubble
3799,2022-06-16,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep|bubble
3825,2022-06-23,0,1,1,1,0.96,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|snap|sweep|bubble
3836,2022-06-26,1,1,1,1,0.47,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|sweep|bubble
3929,2022-07-18,0,1,1,0,0.05,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|snap|sweep|bubble
3949,2022-07-21,2,0,1,0,6.62,3.54,1,0,BEAR,MACRO_BEAR_LEG,regime|bubble
4095,2022-08-25,2,0,0,0,0.79,-1.1,0,0,TRANSITION,MACRO_TRANSITION,sweep|bubble
4243,2022-09-28,1,1,1,0,0.0,0.18,1,0,BEAR,MACRO_BEAR_LEG,regime|sweep|bubble
4309,2022-10-13,1,1,1,0,0.3,-1.1,0,0,BEAR,MACRO_TRANSITION,regime|snap|bubble
4346,2022-10-23,0,1,1,0,1.32,0.4,1,0,BEAR,MACRO_TRANSITION,regime|snap|sweep|bubble
4372,2022-10-28,0,1,1,0,0.0,-1.1,0,0,BEAR,MACRO_BULL_LEG,regime|snap|sweep|bubble
4384,2022-11-01,3,0,0,0,0.69,2.75,1,0,TRANSITION,MACRO_RANGE,bubble
4401,2022-11-04,2,0,0,0,10.31,2.76,1,1,TRANSITION,MACRO_RANGE,sweep|bubble
4429,2022-11-10,3,0,0,0,1.64,-0.11,0,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
4483,2022-11-23,3,0,0,0,6.01,1.82,1,0,BULL,MACRO_TRANSITION,bubble
4513,2022-11-30,2,0,0,0,4.54,0.49,1,0,BULL,MACRO_BULL_LEG,sweep|bubble
4530,2022-12-05,2,0,0,0,25.14,1.28,1,1,TRANSITION,MACRO_BULL_LEG,snap|sweep
4574,2022-12-15,3,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep
4609,2022-12-22,3,0,0,0,16.21,3.9,1,1,TRANSITION,MACRO_BULL_LEG,sweep
4644,2023-01-03,3,0,0,0,7.45,2.17,1,0,BULL,MACRO_BULL_LEG,sweep
4677,2023-01-11,3,0,0,0,0.0,2.05,1,0,BULL,MACRO_BULL_LEG,sweep
4763,2023-01-31,4,0,0,0,1.86,-1.1,0,0,BULL,MACRO_BULL_LEG,
4899,2023-03-03,3,0,0,0,1.14,-1.1,0,0,TRANSITION,MACRO_BEAR_LEG,sweep
4908,2023-03-06,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,snap|sweep
4918,2023-03-08,4,0,0,0,19.79,3.9,1,1,TRANSITION,MACRO_BEAR_LEG,
4926,2023-03-09,3,0,0,0,18.03,3.9,1,1,TRANSITION,MACRO_BEAR_LEG,sweep
4964,2023-03-20,3,0,0,0,0.98,-0.43,0,0,BULL,MACRO_RANGE,sweep
4996,2023-03-27,2,0,0,0,15.38,2.51,1,1,TRANSITION,MACRO_RANGE,snap|sweep
5016,2023-03-30,2,0,0,0,0.53,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep|bubble
5042,2023-04-06,3,0,0,0,0.55,-0.41,0,0,TRANSITION,MACRO_BULL_LEG,sweep
5055,2023-04-11,3,0,0,0,2.78,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
5087,2023-04-18,3,0,0,0,0.28,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
5103,2023-04-21,2,0,0,0,0.0,2.34,1,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
5147,2023-05-02,3,0,0,0,4.02,-0.8,0,0,BULL,MACRO_RANGE,sweep
5165,2023-05-05,4,0,0,0,1.85,-1.1,0,0,TRANSITION,MACRO_RANGE,
5296,2023-06-06,2,0,0,0,1.15,-1.1,0,0,TRANSITION,MACRO_BEAR_LEG,snap|sweep
5321,2023-06-12,1,1,0,0,1.98,-1.1,0,0,TRANSITION,MACRO_RANGE,snap|sweep|bubble
5331,2023-06-14,2,0,0,0,0.74,-1.1,0,0,TRANSITION,MACRO_RANGE,sweep|bubble
5350,2023-06-19,1,1,1,0,0.29,-1.1,0,0,BEAR,MACRO_RANGE,regime|snap|sweep
5414,2023-07-04,2,0,0,1,1.21,-1.1,0,0,TRANSITION,MACRO_BEAR_LEG,sweep|bubble
5435,2023-07-07,2,0,0,0,0.09,1.61,1,0,TRANSITION,MACRO_BEAR_LEG,sweep|bubble
5478,2023-07-18,3,0,0,0,0.77,-1.1,0,0,TRANSITION,MACRO_RANGE,sweep
5530,2023-07-31,3,0,0,0,0.06,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep
5555,2023-08-04,3,0,1,0,0.43,-1.1,0,0,BEAR,MACRO_RANGE,regime
5627,2023-08-22,1,1,1,0,5.96,1.96,1,0,BEAR,MACRO_RANGE,regime|sweep|bubble
5668,2023-08-31,2,0,0,0,0.26,-1.1,0,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,snap|sweep
5701,2023-09-07,1,1,1,0,0.42,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|sweep|bubble
5724,2023-09-13,1,1,1,0,1.53,0.9,1,0,BEAR,MACRO_RANGE,regime|snap|bubble
5772,2023-09-25,1,1,1,0,0.74,-1.1,0,0,BEAR,MACRO_BEAR_LEG,regime|snap|sweep
5826,2023-10-06,2,0,1,0,16.73,3.9,1,1,BEAR,MACRO_TRANSITION,regime|bubble
5842,2023-10-11,2,0,0,0,13.52,3.9,1,1,TRANSITION,MACRO_TRANSITION,sweep|bubble
5866,2023-10-17,3,0,0,0,5.11,2.7,1,0,BULL,MACRO_TRANSITION,sweep
5875,2023-10-18,2,0,0,0,4.33,0.93,1,0,BULL,MACRO_TRANSITION,snap|sweep
5920,2023-10-30,3,0,0,0,0.38,-1.1,0,0,BULL,MACRO_TRANSITION,sweep
5955,2023-11-07,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_TRANSITION,snap|sweep
5998,2023-11-16,2,0,0,0,1.04,2.0,1,0,BULL,MACRO_TRANSITION,sweep|bubble
6049,2023-11-29,2,0,0,0,0.39,0.9,1,0,BULL,MACRO_RANGE,snap|sweep
6069,2023-12-04,2,0,0,0,0.0,-1.1,0,0,BULL,MACRO_RANGE,snap|sweep
6119,2023-12-14,2,0,0,0,0.62,0.31,1,0,BULL,MACRO_BULL_LEG,sweep|bubble
6162,2023-12-26,2,0,0,0,1.98,-1.1,0,0,BULL,MACRO_RANGE,snap|sweep
6193,2024-01-04,3,0,0,0,0.24,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep
6210,2024-01-08,2,0,0,0,0.52,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep|bubble
6295,2024-01-29,2,0,0,0,3.66,-0.32,0,0,TRANSITION,MACRO_BEAR_LEG,sweep|bubble
6362,2024-02-13,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep|bubble
6376,2024-02-15,2,0,0,0,14.79,1.89,1,1,TRANSITION,MACRO_BULL_LEG,sweep|bubble
6453,2024-03-05,3,0,0,0,8.02,0.13,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
6471,2024-03-08,3,0,0,0,1.28,0.05,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
6489,2024-03-13,3,0,0,0,1.0,-1.1,0,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
6523,2024-03-21,2,0,0,0,0.43,1.17,1,0,BULL,MACRO_TRANSITION,sweep|bubble
6597,2024-04-09,3,0,0,0,0.32,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
6610,2024-04-11,3,0,0,0,2.93,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
6711,2024-05-06,2,0,0,0,0.12,1.78,1,0,BULL,MACRO_RANGE,sweep|bubble
6729,2024-05-09,3,0,0,0,7.44,1.69,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
6741,2024-05-13,2,0,0,0,0.0,0.9,1,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,snap|sweep
6767,2024-05-17,3,0,0,0,1.87,-1.1,0,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
6791,2024-05-23,3,0,0,0,7.63,1.91,1,0,TRANSITION,MACRO_CORRECTIVE_PULLBACK,snap
6819,2024-05-30,3,0,0,0,0.61,-1.1,0,0,BULL,MACRO_BULL_LEG,bubble
6832,2024-06-03,3,0,0,0,0.23,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,bubble
6844,2024-06-05,3,0,0,0,1.62,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep
