plot_id,set,datetime,blocked_v3,d1_leg,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour,sup_cat,pol_cat,demand_cat,spec_supply,spec_demand,spec_volume,spec_mtf,spec_regime,spec_momentum,spec_capit,spec_fuel,spec_risk,d1_n_SH,d1_n_SL,d1_regimeB_state,d1_regimeB_combined,d1_macro_broken,d1_weekly_slope,d1_weekly_rsi,d1_daily_HH,d1_daily_HL
S1,A,2020-04-07 06:00,NO,MACRO_RANGE,3.23,13.24,4.78,1.86,2.58,above,62.0,53.2,False,0.9,4.78,77.4,60.25,77.4,above,0.0,1,0,2.02,13.56,0.59,False,77.7,79.6,89.2,0,0,0,0,3.81,77.4,0,2,1,6,0,0,0,0,9,0,9,0,7,1,3.29,1.1,,1,1,1,3.66,1,0.85,1,1,1,0,1,0.85,1.1,True,-0.58,-0.25,1.04,,,-0.9,2.19,0.85,3.39,demand,TOP_EXHAUSTION,True,6,False,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_NEUTRAL,12,11,BULL,4,False,0.536186078146,62.36553799581198,False,True
S3,A,2020-06-15 14:00,NO,MACRO_CORRECTIVE_PULLBACK,2.21,-0.32,0.31,-0.49,0.83,above,55.2,50.4,False,1.69,1.26,40.59,40.59,63.57,below,23.0,0,1,1.53,11.25,1.15,True,60.1,69.3,69.3,0,0,0,0,,40.59,0,1,0,0,0,1,0,0,1,1,1.0,1,0,1,1.28,1.05,,1,1,1,1.08,1,0.8,1,1,1,0,1,0.03,1.67,False,0.76,1.27,1.35,,3,1.26,0.23,0.8,1.38,demand,V_REVERSAL_DEMAND,False,14,False,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,12,12,BULL,2,False,0.5881809871920802,61.20135434088601,False,False
S4,A,2020-07-02 14:00,NO,MACRO_BULL_LEG,1.55,4.81,0.82,0.35,1.0,above,60.9,61.1,True,1.08,1.16,53.39,45.97,70.81,below,0.0,0,3,0.79,9.32,1.0,False,70.9,83.1,85.7,0,0,0,0,1.1,53.39,0,2,2,0,0,0,0,0,4,0,4,0,2,1,1.91,1.16,,1,0,1,2.38,1,0.66,1,1,1,0,0,,1.17,False,0.47,1.21,1.09,,,0.36,0.75,0.66,2.01,demand,V_REVERSAL_DEMAND,False,14,False,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,13,12,BULL,2,False,0.6158233570956342,64.62892177893892,True,True
S5,A,2020-07-23 02:00,NO,MACRO_BULL_LEG,5.62,9.18,5.49,2.87,4.68,above,77.6,68.0,False,0.19,5.7,77.26,75.45,85.97,below,8.7,0,1,0.69,10.89,1.52,False,91.3,91.8,94.1,0,0,0,0,4.86,77.26,0,2,4,3,0,0,0,0,9,0,9,0,9,1,7.25,0.94,,0,0,1,2.87,0,,0,0,0,0,0,,0.86,False,-0.04,0.48,0.64,,14,0.27,6.31,,6.94,swing,TOP_EXHAUSTION,True,2,True,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY_BULLISH,DEMAND_ABSENT,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,12,13,BULL,3,False,0.8290219067529373,73.8512443255099,True,True
S6,A,2020-07-30 22:00,NO,MACRO_BULL_LEG,5.54,11.06,1.71,0.74,3.94,above,82.2,74.5,False,0.44,2.42,61.01,60.19,70.12,below,9.1,0,2,0.78,14.64,1.42,False,84.0,91.4,91.6,0,0,0,0,2.79,60.51,0,2,7,0,0,0,0,0,9,0,9,0,9,1,1.62,0.72,,1,1,1,5.19,1,0.36,1,1,1,0,0,,0.55,False,0.67,0.67,0.0,,,0.67,0.9,0.36,1.72,demand,V_REVERSAL_DEMAND,False,22,False,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,12,12,BULL,3,False,0.8637794577699351,77.50670225874589,True,True
S7,A,2020-11-02 07:00,YES,MACRO_RANGE,-1.43,-3.36,-1.82,0.8,-0.86,below,43.4,46.6,True,1.98,2.05,48.73,33.67,48.73,above,0.0,0,3,1.0,10.09,1.08,False,55.3,39.8,39.6,0,0,0,0,,48.73,0,0,0,0,2,0,0,0,0,2,0.0,1,0,1,2.82,1.14,,1,1,1,3.31,1,1.09,1,1,0,0,1,0.84,0.91,False,0.66,0.84,0.79,,,0.43,1.68,1.09,2.92,demand,NORMAL_DEMAND_BASE,False,7,False,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,12,11,BEAR,-2,True,0.3407171844842703,54.59134628588376,False,True
S8,A,2021-04-06 06:00,YES,MACRO_RANGE,0.98,0.4,6.63,1.81,1.67,above,50.4,45.2,False,0.74,6.63,67.33,57.27,67.33,above,0.0,1,0,1.53,7.51,0.85,False,89.2,80.1,69.8,0,0,0,0,2.31,67.33,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1.39,0.92,,1,1,1,1.21,1,2.05,0,1,0,0,1,2.71,1.24,False,-0.15,0.14,0.89,,0,-0.74,0.48,2.05,1.49,demand,V_REVERSAL_DEMAND,False,6,False,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_NEUTRAL,11,11,BEAR,-1,True,-0.44757112568483043,42.68991888716527,False,True
S9,C,2021-05-12 18:00,NO,MACRO_BULL_LEG,2.98,2.27,-2.4,-1.83,0.76,above,66.2,59.7,False,2.59,0.0,47.95,47.95,64.15,below,16.2,3,0,0.97,9.62,1.14,False,52.7,66.4,66.4,1,0,0,0,0.99,47.95,0,2,2,0,0,0,0,0,4,0,4,0,2,1,4.69,0.97,,0,0,1,1.39,1,1.78,1,1,1,0,1,0.79,0.78,True,-1.49,-0.9,1.18,,0,-0.71,3.72,1.78,4.79,demand,NORMAL_DEMAND_BASE,False,18,True,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,FALLING_KNIFE,low_fuel,SL_STRUCTURAL_OK,10,12,TRANSITION,3,True,-0.22379088690467835,56.250792870457346,True,True
S10,C,2021-05-14 10:00,NO,MACRO_BULL_LEG,0.02,5.6,0.17,1.09,2.15,above,62.9,60.6,False,0.0,2.67,58.09,40.98,58.09,above,0.0,0,3,0.83,10.23,1.2,False,81.7,91.7,92.5,0,0,0,0,1.92,58.09,0,1,0,1,0,0,0,0,2,0,2,0,1,1,2.93,0.9,,1,1,1,2.34,1,2.09,0,1,0,0,1,3.93,,False,1.2,1.86,1.5,,10,0.51,2.02,2.09,3.03,demand,NORMAL_DEMAND_BASE,False,10,False,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,11,12,TRANSITION,2,True,-0.22379088690467835,56.250792870457346,True,True
S12,A,2022-02-08 15:00,NO,MACRO_TRANSITION,3.99,2.15,3.66,2.34,3.56,above,55.3,49.3,False,0.0,5.38,63.73,58.89,65.25,above,1.5,0,2,0.95,6.83,0.94,False,99.4,65.1,65.1,0,0,0,0,1.77,63.73,0,3,6,0,0,0,0,0,9,0,9,0,6,1,5.27,1.1,,0,0,1,1.53,1,2.75,0,1,0,1,1,0.36,0.9,False,0.86,1.39,0.89,,12,0.88,4.17,2.75,5.89,swing,LATE_WIDE,False,15,False,SUPPLY_FAR_ENOUGH,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_FAR_NEUTRAL,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_TOO_WIDE,13,11,TRANSITION,3,False,0.1355882414146172,57.74772969210733,True,False
