eid,candidate,price,dist_atr,in_band_0.5_4,too_shallow,too_deep,demand_dist_atr
E1,recent_pivot,1454.7,5.2,no,no,yes,3.51
E1,nearest_pl3,1479.4,4.12,no,no,yes,3.51
E1,retest_low,1520.7,2.29,yes,no,no,3.51
E1,microbase_low,1485.0,3.86,yes,no,no,3.51
E1,cap_base_low,1479.4,4.12,no,no,yes,3.51
E1,min_10b,1479.4,4.12,no,no,yes,3.51
E1,min_20b,1454.7,5.2,no,no,yes,3.51
E1,min_30b,1454.7,5.2,no,no,yes,3.51
E17,recent_pivot,1454.7,8.26,no,no,yes,0.03
E17,nearest_pl3,1568.1,0.93,yes,no,no,0.03
E17,retest_low,1571.5,0.7,yes,no,no,0.03
E17,microbase_low,1568.1,0.93,yes,no,no,0.03
E17,cap_base_low,1568.1,0.93,yes,no,no,0.03
E17,min_10b,1568.1,0.93,yes,no,no,0.03
E17,min_20b,1568.1,0.93,yes,no,no,0.03
E17,min_30b,1568.1,0.93,yes,no,no,0.03
E13,recent_pivot,1548.0,2.77,yes,no,no,1.48
E13,nearest_pl3,1548.0,2.77,yes,no,no,1.48
E13,retest_low,1556.3,1.08,yes,no,no,1.48
E13,microbase_low,1554.1,1.53,yes,no,no,1.48
E13,cap_base_low,1546.0,3.2,yes,no,no,1.48
E13,min_10b,1548.0,2.77,yes,no,no,1.48
E13,min_20b,1545.1,3.37,yes,no,no,1.48
E13,min_30b,1535.9,5.26,no,no,yes,1.48
E23,recent_pivot,1960.5,4.73,no,no,yes,3.82
E23,nearest_pl3,1967.5,4.14,no,no,yes,3.82
E23,retest_low,1975.2,3.49,yes,no,no,3.82
E23,microbase_low,1967.5,4.14,no,no,yes,3.82
E23,cap_base_low,1952.2,5.43,no,no,yes,3.82
E23,min_10b,1960.5,4.73,no,no,yes,3.82
E23,min_20b,1939.5,6.5,no,no,yes,3.82
E23,min_30b,1939.5,6.5,no,no,yes,3.82
E5,recent_pivot,1941.4,1.62,yes,no,no,0.9
E5,nearest_pl3,1941.4,1.62,yes,no,no,0.9
E5,retest_low,1939.5,1.75,yes,no,no,0.9
E5,microbase_low,1939.5,1.75,yes,no,no,0.9
E5,cap_base_low,1922.7,2.9,yes,no,no,0.9
E5,min_10b,1939.5,1.75,yes,no,no,0.9
E5,min_20b,1906.6,4.0,yes,no,no,0.9
E5,min_30b,1881.3,5.73,no,no,yes,0.9
E21,recent_pivot,1794.9,2.8,yes,no,no,2.29
E21,nearest_pl3,1794.9,2.8,yes,no,no,2.29
E21,retest_low,1798.6,2.15,yes,no,no,2.29
E21,microbase_low,1795.8,2.64,yes,no,no,2.29
E21,cap_base_low,1794.9,2.8,yes,no,no,2.29
E21,min_10b,1794.9,2.8,yes,no,no,2.29
E21,min_20b,1790.4,3.58,yes,no,no,2.29
E21,min_30b,1790.4,3.58,yes,no,no,2.29
E27,recent_pivot,1547.5,2.97,yes,no,no,1.31
E27,nearest_pl3,1552.5,2.19,yes,no,no,1.31
E27,retest_low,1561.6,0.78,yes,no,no,1.31
E27,microbase_low,1552.5,2.19,yes,no,no,1.31
E27,cap_base_low,1549.7,2.64,yes,no,no,1.31
E27,min_10b,1547.5,2.97,yes,no,no,1.31
E27,min_20b,1547.5,2.97,yes,no,no,1.31
E27,min_30b,1547.5,2.97,yes,no,no,1.31
E30,recent_pivot,1540.3,0.75,yes,no,no,3.58
E30,nearest_pl3,1540.3,0.75,yes,no,no,3.58
E30,retest_low,1535.9,1.42,yes,no,no,3.58
E30,microbase_low,1535.9,1.42,yes,no,no,3.58
E30,cap_base_low,1535.9,1.42,yes,no,no,3.58
E30,min_10b,1535.9,1.42,yes,no,no,3.58
E30,min_20b,1535.9,1.42,yes,no,no,3.58
E30,min_30b,1535.9,1.42,yes,no,no,3.58
E40,recent_pivot,1756.1,1.73,yes,no,no,0.68
E40,nearest_pl3,1756.1,1.73,yes,no,no,0.68
E40,retest_low,1764.2,0.83,yes,no,no,0.68
E40,microbase_low,1764.2,0.83,yes,no,no,0.68
E40,cap_base_low,1764.2,0.83,yes,no,no,0.68
E40,min_10b,1756.1,1.73,yes,no,no,0.68
E40,min_20b,1756.1,1.73,yes,no,no,0.68
E40,min_30b,1756.1,1.73,yes,no,no,0.68
