feature,type,causality,tested_isolated,conditional_evidence_status
f1_swept_low_reclaim,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f1_sweep_depth_atr,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f1_bars_since_sweep,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f1_swept_high_reject,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f2_flush_state,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f2_drop_atr,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f2_velocity_atr_bar,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f2_range_expansion,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f2_consec_down,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f2_flush_bars,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f3_acceptance_state,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f3_closes_above_res,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f3_rejections_at_res,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f3_breaks_support,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f4_structure_state,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f4_BOS,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f4_CHoCH,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f4_n_pivots_lb,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f6_svp_state,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f6_above_value,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f6_below_value,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f6_dist_poc_atr,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f5_range_pos_4h,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f5_range_pct_4h,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f5_range_pos_1d,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f5_range_pct_1d,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f7_regime_traj,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f7_combined_slope,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f7_cascade_now,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
f7_macro_broken_recent,path,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
dspa_primary_state,dspa_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
dspa_secondary_state,dspa_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
confidence,dspa_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
supply,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
demand,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
volume,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
mtf,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
regime,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
momentum,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
capit,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
fuel,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
risk,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
macro_state,engine_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
context,indicator_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
bubbles,indicator_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
smc,indicator_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
nas,indicator_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
rsi,indicator_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
indicator_confluence,indicator_state,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
macro_reader_leg,prior_layer,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
sup_cat,prior_layer,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),yes,ALIVE_AS_CONDITIONAL_EVIDENCE
clean_sky_flag,prior_layer,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),yes,ALIVE_AS_CONDITIONAL_EVIDENCE
bottom_turn,prior_layer,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
macro_broken,prior_layer,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
weekly_slope,prior_layer,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),partial,ALIVE_AS_CONDITIONAL_EVIDENCE
macro_phase,prior_layer,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),yes,ALIVE_AS_CONDITIONAL_EVIDENCE
bear_leg_refined,prior_layer,causal (DSPA L1 causal-verified / engine shift D-1 / state as-of-bar),yes,ALIVE_AS_CONDITIONAL_EVIDENCE
