rule,family,intent,status,n,runner_pct,runner_lift,loser_pct,loser_lift,monum,runner_p,loser_p,P1_rr,P2_rr,P1_lr,P2_lr,skipwin_recover,losertake_cut
A2_bear_sweep_or_flush_reclaim,A,TAKE,CONDITIONAL_EVIDENCE,20,40.0,1.53,55.0,0.9,3,0.1159,0.7884,27.3,55.6,72.7,33.3,7,4
A5_LBB_full,A,TAKE,CONDITIONAL_EVIDENCE,24,37.5,1.44,58.3,0.96,5,0.1387,0.6895,23.1,54.5,69.2,45.5,8,7
C1_capit_sweep_demand,C,TAKE,OVERFIT_HULL_RISK,1,100.0,3.83,0.0,0.0,1,0.2609,1.0,0,100.0,0,0.0,1,0
C2_flushV_reclaim_div,C,TAKE,OVERFIT_HULL_RISK,3,66.7,2.56,33.3,0.55,1,0.1676,0.9411,0,66.7,0,33.3,1,0
A3_bear_capit_demand,A,TAKE,OVERFIT_HULL_RISK,6,50.0,1.92,50.0,0.82,2,0.1849,0.8352,0.0,60.0,100.0,40.0,2,2
C4_discount_capit_demand,C,TAKE,OVERFIT_HULL_RISK,2,50.0,1.92,50.0,0.82,1,0.4544,0.8477,0.0,100.0,100.0,0.0,1,1
C5_bub_climax_sweep,C,TAKE,OVERFIT_HULL_RISK,9,44.4,1.7,55.6,0.91,2,0.1833,0.7546,0.0,66.7,100.0,33.3,2,2
C3_bottomturn_demand_accept,C,TAKE,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,13,30.8,1.18,61.5,1.01,3,0.453,0.6016,14.3,50.0,71.4,50.0,3,4
A1_pair_demand_accept_bear,A,TAKE,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,76,30.3,1.16,56.6,0.93,8,0.205,0.8504,26.8,34.3,63.4,48.6,17,20
B2_supply_reject_fuel_low,B,SKIP,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,111,21.6,0.83,65.8,1.08,7,0.9373,0.107,17.2,26.4,67.2,64.2,15,30
D5_BPT_state,D,SKIP,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,23,13.0,0.5,65.2,1.07,0,0.9669,0.4171,0,0,0,0,0,2
D2_bear_grind_nocapit,D,SKIP,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,17,11.8,0.45,64.7,1.06,1,0.9633,0.4757,22.2,0.0,55.6,75.0,1,3
B4_reject_fuel_premium,B,SKIP,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,49,16.3,0.63,63.3,1.04,1,0.9749,0.4168,11.5,21.7,61.5,65.2,3,13
D1_bear_reject_fuel,D,SKIP,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,65,23.1,0.88,61.5,1.01,4,0.7847,0.5098,19.0,30.4,66.7,52.2,12,8
D3_range_chop,D,SKIP,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,13,15.4,0.59,61.5,1.01,1,0.8959,0.6016,20.0,12.5,40.0,75.0,0,5
A4_bear_svp_accept_struct,A,TAKE,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,35,25.7,0.99,60.0,0.99,5,0.5932,0.6205,18.2,38.5,68.2,46.2,4,12
B3_bull_structup_BOS,B,TAKE,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,38,23.7,0.91,60.5,0.99,5,0.7071,0.5926,22.2,24.1,55.6,62.1,4,17
B1_bull_accept_markup,B,TAKE,DEAD_AS_PRIMARY_ALIVE_CONDITIONAL,63,25.4,0.97,55.6,0.91,9,0.6148,0.8706,16.7,30.8,62.5,51.3,6,21
