bar_idx,datetime,path_f1_swept_low_reclaim,path_f1_sweep_depth_atr,path_f1_bars_since_sweep,path_f1_swept_high_reject,path_f2_flush_state,path_f2_drop_atr,path_f2_velocity_atr_bar,path_f2_range_expansion,path_f2_consec_down,path_f2_flush_bars,path_f3_acceptance_state,path_f3_closes_above_res,path_f3_rejections_at_res,path_f3_breaks_support,path_f4_structure_state,path_f4_BOS,path_f4_CHoCH,path_f4_n_pivots_lb,path_f6_svp_state,path_f6_above_value,path_f6_below_value,path_f6_dist_poc_atr,path_f5_range_pos_4h,path_f5_range_pct_4h,path_f5_range_pos_1d,path_f5_range_pct_1d,path_f7_regime_traj,path_f7_combined_slope,path_f7_cascade_now,path_f7_macro_broken_recent,dspa_primary,dspa_secondary,eng_supply,eng_demand,eng_volume,eng_mtf,eng_regime,eng_momentum,eng_capit,eng_fuel,eng_risk,eng_macro_state,ind_context,ind_bubbles,ind_smc,ind_nas,ind_rsi,ind_indicator_confluence,macro_reader_leg,sup_cat,macro_phase,bear_leg_refined,EVAL_mfe_R,EVAL_runner,EVAL_loser,EVAL_monumental,EVAL_eng_policy
55,2020-01-14,0,0.0,-1,0,MIXED_DECLINE,4.23,0.6,0.74,0,7,BROKE_SUPPORT,0,0,3,STRUCTURE_RANGE,0,0,2,ACCEPTING_ABOVE_VALUE,4,3,0.79,EQUILIBRIUM,0.34,EQUILIBRIUM,0.56,REGIME_DETERIORATING,-0.333,1.0,0,MARKUP_THROUGH_SUPPLY,LEGITIMATE_BEAR_BUY,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,RANGE_MACRO_BULL_RECLAIM,PULLBACK,BUBBLE_MIXED,SMC_CHOCH_BULL_TRIGGER,NAS_NEUTRAL,RSI_NO_DIV,WEAK_BULL,MACRO_BULL_LEG,SUPPLY_BLOCKS_TARGET,MACRO_BULL_RUN,,5.01,1,0,0,TAKE
78,2020-01-20,0,0.0,-1,1,MIXED_DECLINE,2.08,0.42,0.9,0,5,ACCEPTED_ABOVE_RES,2,3,0,STRUCTURE_RANGE,1,0,2,ACCEPTING_ABOVE_VALUE,6,4,0.75,PREMIUM,0.92,EQUILIBRIUM,0.64,REGIME_IMPROVING,0.333,3.0,0,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,NO_OVERHEAD_MARKUP,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_CHOCH_BULL_TRIGGER,NAS_NEUTRAL,RSI_NO_DIV,STRONG_BULL_CONFIRM,MACRO_BULL_LEG,CLEAN_SKY,MACRO_BULL_RUN,,0.97,0,1,0,TAKE
116,2020-01-28,0,0.0,-1,0,GRIND_DOWN,2.73,0.27,0.88,2,10,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,3,BELOW_VALUE_REJECTED,5,4,-1.35,EQUILIBRIUM,0.41,EQUILIBRIUM,0.58,REGIME_STABLE_BULL,0.0,3.0,0,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_BULL_RUN_CONTINUATION,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_BOS_CONTINUATION,NAS_NEUTRAL,RSI_NO_DIV,STRONG_BULL_CONFIRM,MACRO_RANGE,SUPPLY_BLOCKS_TARGET,MACRO_BULL_RUN,,0.0,0,1,0,TAKE
130,2020-01-30,0,0.0,-1,0,GRIND_DOWN,3.85,0.3,0.84,2,13,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,1,IN_VALUE,5,5,-0.19,EQUILIBRIUM,0.39,EQUILIBRIUM,0.58,REGIME_STABLE_BULL,0.0,1.0,0,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_BULL_RUN_CONTINUATION,PULLBACK,BUBBLE_MIXED,SMC_CHOCH_BULL_TRIGGER,NAS_NEUTRAL,RSI_NO_DIV,WEAK_BULL,MACRO_RANGE,SUPPLY_BLOCKS_TARGET,MACRO_BULL_RUN,,10.46,1,0,1,TAKE
140,2020-02-03,1,0.16,0,0,MIXED_DECLINE,2.99,0.75,0.96,0,4,HOLDING_SUPPORT,0,0,1,STRUCTURE_UP,0,0,3,IN_VALUE,6,2,-0.48,DISCOUNT,0.31,EQUILIBRIUM,0.54,REGIME_STABLE_BULL,0.167,3.0,0,STRUCTURAL_RISK_SL_PROBLEM,BULL_PULLBACK_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,MACRO_BULL_RUN_CONTINUATION,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_CHOCH_BULL_TRIGGER,NAS_NEUTRAL,RSI_NO_DIV,STRONG_BULL_CONFIRM,MACRO_BULL_LEG,SUPPLY_BLOCKS_TARGET,MACRO_BULL_RUN,,0.41,0,1,0,REVIEW_RISK
149,2020-02-05,0,0.0,-1,0,GRIND_DOWN,5.9,0.59,1.04,0,10,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,3,ACCEPTING_ABOVE_VALUE,4,5,0.43,DISCOUNT,0.24,DISCOUNT,0.31,REGIME_DETERIORATING,-0.333,1.0,0,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,CLIMAX_RECLAIM,high_fuel,SL_NEUTRAL,CAPITULATION_RECLAIM_VALID,BOTTOM,BUBBLE_SELL_CLIMAX_BULL,SMC_CHOCH_BULL_TRIGGER,NAS_NEUTRAL,RSI_NO_DIV,STRONG_BULL_CONFIRM,MACRO_BULL_LEG,SUPPLY_FAR_ENOUGH,MACRO_BULL_RUN,,0.0,0,1,0,TAKE
159,2020-02-06,0,0.0,-1,0,MIXED_DECLINE,2.31,0.0,0.0,0,0,ACCEPTED_ABOVE_RES,8,1,2,STRUCTURE_RANGE,1,0,4,IN_VALUE,4,6,0.09,EQUILIBRIUM,0.6,EQUILIBRIUM,0.54,REGIME_STABLE_BULL,0.0,1.0,0,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BULL_PULLBACK_CONTINUATION,PULLBACK,BUBBLE_MIXED,SMC_CHOCH_BULL_TRIGGER,NAS_NEUTRAL,RSI_NO_DIV,WEAK_BULL,MACRO_BULL_LEG,SUPPLY_FAR_ENOUGH,MACRO_BULL_RUN,,12.69,1,0,1,TAKE
217,2020-02-20,0,0.0,-1,0,MIXED_DECLINE,1.25,0.42,1.06,0,3,ACCEPTED_ABOVE_RES,2,0,0,STRUCTURE_UP,1,0,1,ACCEPTING_ABOVE_VALUE,9,1,1.1,PREMIUM,0.89,PREMIUM,0.94,REGIME_STABLE_BULL,0.167,3.0,0,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,CLEAN_SKY_BULLISH,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,NO_OVERHEAD_MARKUP,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_BOS_CONTINUATION,NAS_NEUTRAL,RSI_NO_DIV,STRONG_BULL_CONFIRM,MACRO_BULL_LEG,CLEAN_SKY,MACRO_BULL_RUN,,6.52,1,0,0,REVIEW_RISK
237,2020-02-25,1,0.42,1,0,GRIND_DOWN,3.47,0.39,1.81,0,9,BROKE_SUPPORT,0,0,2,STRUCTURE_UP,0,0,2,IN_VALUE,4,3,0.01,DISCOUNT,0.3,EQUILIBRIUM,0.65,REGIME_STABLE_BULL,0.0,3.0,0,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_SHORT,MACRO_BULL_RUN_CONTINUATION,PULLBACK,BUBBLE_MIXED,SMC_NONE,NAS_NEUTRAL,RSI_NO_DIV,NEUTRAL,MACRO_BULL_LEG,SUPPLY_FAR_ENOUGH,MACRO_BULL_RUN,,1.2,0,1,0,REVIEW_RISK
287,2020-03-09,0,0.0,-1,0,MIXED_DECLINE,1.02,0.51,0.54,0,2,ACCEPTED_ABOVE_RES,12,0,5,STRUCTURE_UP,1,0,1,IN_VALUE,9,4,-0.79,EQUILIBRIUM,0.47,PREMIUM,0.73,REGIME_IMPROVING,0.333,3.0,0,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,NO_OVERHEAD_MARKUP,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_BOS_CONTINUATION,NAS_NEUTRAL,RSI_NO_DIV,STRONG_BULL_CONFIRM,MACRO_BULL_LEG,CLEAN_SKY,MACRO_BULL_RUN,,0.81,0,1,0,TAKE
