bar_idx,timestamp,macro_reader_leg,dspa_primary_state,dspa_secondary_state,confidence,evidence_supports,evidence_conflicts,source_layers_used,unavailable_flags,reason_code
55,2020-01-14,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,LEGITIMATE_BEAR_BUY,low,acceptance_above|macro_phase_bullrun,,dspa_F3F6|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+macro_phase_bullrun
78,2020-01-20,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|BOS|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+BOS+momentum_strong
116,2020-01-28,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
130,2020-01-30,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
140,2020-02-03,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,BULL_PULLBACK_CONTINUATION,med,holding_support|structure_up|momentum_strong|macro_phase_bullrun,supply_reject|risk_bad,dspa_F3|dspa_F4|macro_momentum|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=holding_support+structure_up+momentum_strong+macro_phase_bullrun
149,2020-02-05,MACRO_BULL_LEG,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,high,capit_climax|demand_defended|acceptance_above|bottom_turn|bub_climax_bull|smc_choch_bull,grind_down,dspa_F3F6|ind_bubbles|ind_smc|macro_capit|macro_demand|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=capit_climax+demand_defended+acceptance_above+bottom_turn
159,2020-02-06,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|BOS|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+BOS+clean_sky+macro_phase_bullrun
217,2020-02-20,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+structure_up+BOS
237,2020-02-25,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,structure_up|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F4|macro_momentum|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=structure_up+momentum_strong+clean_sky+macro_phase_bullrun
287,2020-03-09,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+structure_up+BOS
351,2020-03-23,MACRO_TRANSITION,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,med,supply_reject|fuel_low|premium,acceptance_above,dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low+premium
383,2020-03-31,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,med,supply_markup|momentum_strong|clean_sky,rejected_at_res|risk_bad,macro_momentum|macro_supply|prior_clean_sky,,STRUCTURAL_RISK_SL_PROBLEM<=supply_markup+momentum_strong+clean_sky
391,2020-04-01,MACRO_RANGE,STRUCTURAL_RISK_SL_PROBLEM,REVERSAL_RUNNER,low,demand_defended|discount,risk_bad,dspa_F5ctx|macro_demand,,STRUCTURAL_RISK_SL_PROBLEM<=demand_defended+discount
413,2020-04-07,MACRO_RANGE,UNKNOWN_CONFLICT,MARKUP_THROUGH_SUPPLY,low,acceptance_above|structure_up|BOS|momentum_strong|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|prior_macro_phase,,UNKNOWN_CONFLICT<=acceptance_above+structure_up+BOS+momentum_strong
458,2020-04-17,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,REVERSAL_RUNNER,med,momentum_strong|clean_sky|macro_phase_bullrun,,macro_momentum|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=momentum_strong+clean_sky+macro_phase_bullrun
493,2020-04-27,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,BULL_PULLBACK_CONTINUATION,med,holding_support|momentum_strong|macro_phase_bullrun,supply_reject|risk_bad,dspa_F3|macro_momentum|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=holding_support+momentum_strong+macro_phase_bullrun
521,2020-05-04,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|acceptance_above|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F3F6|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+acceptance_above+momentum_strong
542,2020-05-07,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,med,acceptance_above|momentum_strong|macro_phase_bullrun,,dspa_F3F6|macro_momentum|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+momentum_strong+macro_phase_bullrun
583,2020-05-18,MACRO_RANGE,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+structure_up+momentum_strong
597,2020-05-20,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,holding_support|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=holding_support+momentum_strong+macro_phase_bullrun
631,2020-05-28,MACRO_BULL_LEG,SUPPLY_REJECTION_TRAP,BULL_PULLBACK_CONTINUATION,low,supply_reject|fuel_low,,macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low
685,2020-06-10,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|BOS|momentum_strong|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+BOS+momentum_strong+macro_phase_bullrun
702,2020-06-15,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,demand_defended|momentum_strong|macro_phase_bullrun,supply_reject,macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+momentum_strong+macro_phase_bullrun
766,2020-06-30,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=supply_markup+structure_up+momentum_strong+clean_sky
780,2020-07-02,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,holding_support|acceptance_above|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F3F6|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=holding_support+acceptance_above+momentum_strong+macro_phase_bullrun
833,2020-07-15,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|momentum_strong|clean_sky|macro_phase_bullrun,rejected_at_res,dspa_F3F6|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+momentum_strong+clean_sky
845,2020-07-17,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+momentum_strong+clean_sky
866,2020-07-23,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|BOS|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+BOS+momentum_strong
