bar_idx,datetime,f1_swept_low_reclaim,f1_sweep_depth_atr,f1_bars_since_sweep,f1_swept_high_reject,f2_flush_state,f2_drop_atr,f2_velocity_atr_bar,f2_range_expansion,f2_consec_down,f2_flush_bars,f3_acceptance_state,f3_closes_above_res,f3_rejections_at_res,f3_breaks_support,f4_structure_state,f4_BOS,f4_CHoCH,f4_n_pivots,f6_svp_state,f6_above_value,f6_below_value,f6_dist_poc_atr,f5_range_pos_4h,f5_range_pct_4h,f5_range_pos_1d,f5_range_pct_1d,f7_regime_traj,f7_combined_slope,f7_cascade_now,f7_distribution_onset,f7_macro_broken_recent
55,2020-01-14,0,0.0,-1,0,MIXED_DECLINE,4.23,0.6,0.74,0,7,BROKE_SUPPORT,0,0,3,STRUCTURE_RANGE,0,0,6,ACCEPTING_ABOVE_VALUE,4,3,0.79,EQUILIBRIUM,0.34,EQUILIBRIUM,0.56,REGIME_DETERIORATING,-0.333,1.0,0,0
78,2020-01-20,0,0.0,-1,1,MIXED_DECLINE,2.08,0.42,0.9,0,5,ACCEPTED_ABOVE_RES,2,3,0,STRUCTURE_RANGE,1,0,9,ACCEPTING_ABOVE_VALUE,6,4,0.75,PREMIUM,0.92,EQUILIBRIUM,0.64,REGIME_IMPROVING,0.333,3.0,0,0
116,2020-01-28,0,0.0,-1,0,GRIND_DOWN,2.73,0.27,0.88,2,10,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,16,BELOW_VALUE_REJECTED,5,4,-1.35,EQUILIBRIUM,0.41,EQUILIBRIUM,0.58,REGIME_STABLE_BULL,0.0,3.0,0,0
130,2020-01-30,0,0.0,-1,0,GRIND_DOWN,3.85,0.3,0.84,2,13,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,17,IN_VALUE,5,5,-0.19,EQUILIBRIUM,0.39,EQUILIBRIUM,0.58,REGIME_STABLE_BULL,0.0,1.0,0,0
140,2020-02-03,1,0.16,0,0,MIXED_DECLINE,2.99,0.75,0.96,0,4,HOLDING_SUPPORT,0,0,1,STRUCTURE_UP,0,0,20,IN_VALUE,6,2,-0.48,DISCOUNT,0.31,EQUILIBRIUM,0.54,REGIME_STABLE_BULL,0.167,3.0,0,0
149,2020-02-05,0,0.0,-1,0,GRIND_DOWN,5.9,0.59,1.04,0,10,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,22,ACCEPTING_ABOVE_VALUE,4,5,0.43,DISCOUNT,0.24,DISCOUNT,0.31,REGIME_DETERIORATING,-0.333,1.0,0,0
159,2020-02-06,0,0.0,-1,0,MIXED_DECLINE,2.31,0.0,0.0,0,0,ACCEPTED_ABOVE_RES,8,1,2,STRUCTURE_RANGE,1,0,25,IN_VALUE,4,6,0.09,EQUILIBRIUM,0.6,EQUILIBRIUM,0.54,REGIME_STABLE_BULL,0.0,1.0,0,0
217,2020-02-20,0,0.0,-1,0,MIXED_DECLINE,1.25,0.42,1.06,0,3,ACCEPTED_ABOVE_RES,2,0,0,STRUCTURE_UP,1,0,36,ACCEPTING_ABOVE_VALUE,9,1,1.1,PREMIUM,0.89,PREMIUM,0.94,REGIME_STABLE_BULL,0.167,3.0,0,0
237,2020-02-25,1,0.42,1,0,GRIND_DOWN,3.47,0.39,1.81,0,9,BROKE_SUPPORT,0,0,2,STRUCTURE_UP,0,0,39,IN_VALUE,4,3,0.01,DISCOUNT,0.3,EQUILIBRIUM,0.65,REGIME_STABLE_BULL,0.0,3.0,0,0
287,2020-03-09,0,0.0,-1,0,MIXED_DECLINE,1.02,0.51,0.54,0,2,ACCEPTED_ABOVE_RES,12,0,5,STRUCTURE_UP,1,0,48,IN_VALUE,9,4,-0.79,EQUILIBRIUM,0.47,PREMIUM,0.73,REGIME_IMPROVING,0.333,3.0,0,0
351,2020-03-23,0,0.0,-1,0,MIXED_DECLINE,1.62,0.54,0.89,0,3,ACCEPTED_ABOVE_RES,4,0,4,STRUCTURE_RANGE,1,0,59,IN_VALUE,4,0,0.27,PREMIUM,0.93,EQUILIBRIUM,0.48,REGIME_NEUTRAL,0.0,-1.0,0,1
383,2020-03-31,0,0.0,-1,0,MIXED_DECLINE,2.35,0.29,0.66,1,8,REJECTED_AT_RES,1,3,1,STRUCTURE_DOWN,0,0,66,BELOW_VALUE_REJECTED,3,5,-0.47,DISCOUNT,0.23,EQUILIBRIUM,0.62,REGIME_IMPROVING,0.5,2.0,0,0
391,2020-04-01,0,0.0,-1,0,GRIND_DOWN,4.21,0.35,0.82,0,12,HOLDING_SUPPORT,0,0,0,STRUCTURE_DOWN,0,0,67,IN_VALUE,4,7,0.1,DISCOUNT,0.22,EQUILIBRIUM,0.52,REGIME_NEUTRAL,-0.167,0.0,0,0
413,2020-04-07,0,0.0,-1,1,MIXED_DECLINE,1.03,0.26,0.65,1,4,ACCEPTED_ABOVE_RES,7,5,1,STRUCTURE_UP,1,0,70,IN_VALUE,10,1,-0.58,PREMIUM,0.73,PREMIUM,0.87,REGIME_STABLE_BULL,0.167,3.0,0,0
