episode,variant,SL_estrut_ATR,R_SLestrut,R_SLtight,MFE_R,MAE_R
E1,A partial50@2R+6R (atual),5.3,0.64,0.88,0.84,-0.12
E1,B no-partial +3R,5.3,0.64,0.88,0.84,-0.12
E1,C no-partial +6R,5.3,0.64,0.88,0.84,-0.12
E1,D partial25@2R runner75 +6R,5.3,0.64,0.88,0.84,-0.12
E1,E partial50@3R +6R,5.3,0.64,0.88,0.84,-0.12
E1,F partial50@2R BE-only-after+3R,5.3,0.64,0.88,0.84,-0.12
E17,A partial50@2R+6R (atual),8.36,0.91,3.9,1.28,-0.0
E17,B no-partial +3R,8.36,0.91,2.9,1.28,-0.0
E17,C no-partial +6R,8.36,0.91,5.9,1.28,-0.0
E17,D partial25@2R runner75 +6R,8.36,0.91,4.9,1.28,-0.0
E17,E partial50@3R +6R,8.36,0.91,4.4,1.28,-0.0
E17,F partial50@2R BE-only-after+3R,8.36,0.91,3.9,1.28,-0.0
