bar_idx,datetime,mfe_R,capped,vstair,letrun,edge_class
55,2020-01-14,5.01,0.97,2.0,2.74,RISK_SHAPING_EDGE
78,2020-01-20,0.97,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
116,2020-01-28,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
130,2020-01-30,10.46,0.79,5.0,-1.0,CONVEXITY_ALPHA
140,2020-02-03,0.41,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
149,2020-02-05,0.0,2.7,-1.0,-1.0,NO_EDGE_DETECTED
159,2020-02-06,12.69,2.83,8.0,10.74,CONVEXITY_ALPHA
217,2020-02-20,6.52,0.75,2.0,-1.0,RISK_SHAPING_EDGE
237,2020-02-25,1.2,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
287,2020-03-09,0.81,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
351,2020-03-23,5.13,0.82,0.0,3.38,RISK_SHAPING_EDGE
383,2020-03-31,0.0,0.61,-1.0,-1.0,NO_EDGE_DETECTED
391,2020-04-01,10.4,3.9,5.0,6.4,CONVEXITY_ALPHA
413,2020-04-07,4.88,1.46,2.56,2.56,EXIT_MANAGEMENT_EDGE
458,2020-04-17,0.0,0.32,-1.0,-1.0,NO_EDGE_DETECTED
493,2020-04-27,0.94,0.9,-1.0,-1.0,NO_EDGE_DETECTED
521,2020-05-04,0.32,1.37,-1.0,-1.0,NO_EDGE_DETECTED
542,2020-05-07,0.47,0.22,-1.0,-1.0,NO_EDGE_DETECTED
583,2020-05-18,1.44,0.02,-1.0,-1.0,NO_EDGE_DETECTED
597,2020-05-20,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
631,2020-05-28,1.98,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
685,2020-06-10,0.09,0.38,-1.0,-1.0,NO_EDGE_DETECTED
702,2020-06-15,5.67,2.43,4.75,4.75,CONVEXITY_ALPHA
766,2020-06-30,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
780,2020-07-02,14.6,1.43,12.8,12.8,CONVEXITY_ALPHA
833,2020-07-15,0.21,3.9,-1.0,-1.0,NO_EDGE_DETECTED
845,2020-07-17,30.71,3.9,12.0,15.24,CONVEXITY_ALPHA
866,2020-07-23,12.59,2.09,8.0,4.52,CONVEXITY_ALPHA
886,2020-07-28,4.68,-0.04,0.0,-1.0,EXIT_MANAGEMENT_EDGE
901,2020-07-30,5.01,0.9,2.0,-1.0,RISK_SHAPING_EDGE
919,2020-08-04,3.31,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
934,2020-08-07,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
970,2020-08-17,1.73,-0.13,-1.0,-1.0,NO_EDGE_DETECTED
1027,2020-08-30,0.84,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1072,2020-09-09,1.42,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1151,2020-09-28,2.73,1.1,0.0,1.09,BETA_ONLY
1200,2020-10-08,1.7,-0.16,-1.0,-1.0,NO_EDGE_DETECTED
1211,2020-10-12,0.0,-0.59,-1.0,-1.0,NO_EDGE_DETECTED
1221,2020-10-14,0.03,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1298,2020-11-02,5.1,0.9,2.0,-1.0,RISK_SHAPING_EDGE
1316,2020-11-05,2.47,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
1326,2020-11-08,0.49,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1353,2020-11-13,0.56,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1429,2020-12-02,5.99,0.55,5.1,5.1,CONVEXITY_ALPHA
1497,2020-12-17,1.33,1.2,-1.0,-1.0,NO_EDGE_DETECTED
1522,2020-12-23,5.65,0.9,2.0,-1.0,RISK_SHAPING_EDGE
1568,2021-01-06,0.46,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1623,2021-01-20,0.31,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1661,2021-01-28,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1761,2021-02-22,1.21,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1775,2021-02-24,0.53,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1836,2021-03-10,0.95,0.05,-1.0,-1.0,NO_EDGE_DETECTED
1873,2021-03-18,1.2,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1901,2021-03-25,1.36,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
1941,2021-04-06,6.04,0.9,0.0,4.66,RISK_SHAPING_EDGE
2034,2021-04-27,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2053,2021-05-02,16.88,3.32,0.0,16.3,CONVEXITY_ALPHA
2100,2021-05-12,2.39,1.78,0.0,-1.0,BETA_ONLY
2110,2021-05-14,5.07,1.86,2.0,2.39,RISK_SHAPING_EDGE
2174,2021-05-31,0.81,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2188,2021-06-02,0.25,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2204,2021-06-07,1.21,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2222,2021-06-10,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2320,2021-07-02,3.56,1.47,2.03,2.03,EXIT_MANAGEMENT_EDGE
2364,2021-07-14,1.75,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2372,2021-07-15,1.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2428,2021-07-28,2.35,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
2488,2021-08-11,6.2,1.02,2.81,2.81,RISK_SHAPING_EDGE
2497,2021-08-13,7.42,1.99,3.58,3.58,RISK_SHAPING_EDGE
2544,2021-08-25,0.6,0.9,-1.0,-1.0,NO_EDGE_DETECTED
2663,2021-09-22,0.24,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2705,2021-10-01,4.66,1.19,0.0,3.35,BETA_ONLY
2737,2021-10-08,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2747,2021-10-12,5.38,0.9,0.0,5.11,RISK_SHAPING_EDGE
2859,2021-11-05,4.16,0.36,0.0,-1.0,BETA_ONLY
2896,2021-11-15,0.81,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2905,2021-11-17,0.38,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2922,2021-11-22,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2944,2021-11-26,1.46,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
2991,2021-12-08,0.45,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3011,2021-12-13,0.12,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3029,2021-12-16,2.88,0.59,0.0,2.35,BETA_ONLY
3070,2021-12-28,0.29,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3085,2021-12-30,1.75,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3102,2022-01-04,1.23,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3118,2022-01-07,0.0,0.99,-1.0,-1.0,NO_EDGE_DETECTED
3126,2022-01-10,5.05,2.02,2.0,-1.0,RISK_SHAPING_EDGE
3147,2022-01-14,0.27,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3162,2022-01-18,4.84,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
3178,2022-01-21,3.16,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
3190,2022-01-25,1.81,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3219,2022-02-01,0.92,2.66,-1.0,-1.0,NO_EDGE_DETECTED
3238,2022-02-04,0.0,2.41,-1.0,-1.0,NO_EDGE_DETECTED
3252,2022-02-08,23.67,1.84,2.0,21.12,CONVEXITY_ALPHA
3326,2022-02-24,0.29,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3443,2022-03-24,0.82,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3474,2022-03-31,0.02,0.38,-1.0,-1.0,NO_EDGE_DETECTED
3491,2022-04-05,0.0,0.9,-1.0,-1.0,NO_EDGE_DETECTED
3509,2022-04-08,4.61,0.9,0.0,-1.0,BETA_ONLY
3622,2022-05-06,0.51,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3678,2022-05-19,2.19,0.66,0.0,-1.0,BETA_ONLY
3773,2022-06-10,4.85,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
3799,2022-06-16,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3825,2022-06-23,0.96,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3836,2022-06-26,0.47,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3929,2022-07-18,0.05,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
3949,2022-07-21,6.62,3.54,2.96,2.96,RISK_SHAPING_EDGE
4095,2022-08-25,0.79,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
4243,2022-09-28,0.0,0.18,-1.0,-1.0,NO_EDGE_DETECTED
4309,2022-10-13,0.3,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
4346,2022-10-23,1.32,0.4,-1.0,-1.0,NO_EDGE_DETECTED
4372,2022-10-28,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
4384,2022-11-01,0.69,2.75,-1.0,-1.0,NO_EDGE_DETECTED
4401,2022-11-04,10.31,2.76,10.04,10.04,CONVEXITY_ALPHA
4429,2022-11-10,1.64,-0.11,-1.0,-1.0,NO_EDGE_DETECTED
4483,2022-11-23,6.01,1.82,2.0,5.51,RISK_SHAPING_EDGE
4513,2022-11-30,4.54,0.49,0.0,3.38,BETA_ONLY
4530,2022-12-05,25.14,1.28,0.0,22.4,CONVEXITY_ALPHA
4574,2022-12-15,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
4609,2022-12-22,16.21,3.9,5.0,15.9,CONVEXITY_ALPHA
4644,2023-01-03,7.45,2.17,6.02,6.02,CONVEXITY_ALPHA
4677,2023-01-11,0.0,2.05,-1.0,-1.0,NO_EDGE_DETECTED
4763,2023-01-31,1.86,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
4899,2023-03-03,1.14,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
4908,2023-03-06,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
4918,2023-03-08,19.79,3.9,12.0,18.9,CONVEXITY_ALPHA
4926,2023-03-09,18.03,3.9,12.0,15.79,CONVEXITY_ALPHA
4964,2023-03-20,0.98,-0.43,-1.0,-1.0,NO_EDGE_DETECTED
4996,2023-03-27,15.38,2.51,0.0,5.56,CONVEXITY_ALPHA
5016,2023-03-30,0.53,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
5042,2023-04-06,0.55,-0.41,-1.0,-1.0,NO_EDGE_DETECTED
5055,2023-04-11,2.78,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
5087,2023-04-18,0.28,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
5103,2023-04-21,0.0,2.34,-1.0,-1.0,NO_EDGE_DETECTED
5147,2023-05-02,4.02,-0.8,0.0,-1.0,EXIT_MANAGEMENT_EDGE
5165,2023-05-05,1.85,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
5296,2023-06-06,1.15,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
5321,2023-06-12,1.98,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
5331,2023-06-14,0.74,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
5350,2023-06-19,0.29,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
5414,2023-07-04,1.21,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
5435,2023-07-07,0.09,1.61,-1.0,-1.0,NO_EDGE_DETECTED
5478,2023-07-18,0.77,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
