filter,metric,ci5,ci50,ci95,P_improve
BASELINE,avgR,,0.226,,
BASELINE,sumR,,62.5,,
F_TOP_OB_RSI_strict,delta_avgR,-0.007,0.031,0.071,0.9
F_TOP_OB_RSI_strict,delta_sumR,-8.5,1.0,10.0,0.57
F_TOP_OB_RSI_strict,delta_maxDD,-4.4,-1.1,1.5,0.76
F_TOP_OB_RSI_strict,delta_streak,-2,-1,0,0.51
F_TOP_OB_RSI,delta_avgR,-0.03,0.017,0.064,0.74
F_TOP_OB_RSI,delta_sumR,-16.1,-4.4,6.8,0.26
F_TOP_OB_RSI,delta_maxDD,-4.6,-1.1,2.7,0.71
F_TOP_OB_RSI,delta_streak,-2,-1,0,0.57
F_LATE_LEG_EXT,delta_avgR,-0.042,0.013,0.065,0.65
F_LATE_LEG_EXT,delta_sumR,-20.6,-7.5,4.8,0.17
F_LATE_LEG_EXT,delta_maxDD,-5.2,-1.1,3.3,0.7
F_LATE_LEG_EXT,delta_streak,-3,0,1,0.43
F_WEAK_RECLAIM,delta_avgR,-0.044,-0.007,0.022,0.35
F_WEAK_RECLAIM,delta_sumR,-15.3,-4.9,2.9,0.16
F_WEAK_RECLAIM,delta_maxDD,-1.9,0.0,3.1,0.4
F_WEAK_RECLAIM,delta_streak,-1,0,0,0.25
