plot_id,role,entry_state,entry_family,ok
T34,preserve,ENTRY_PULLBACK_TO_DEMAND,GOOD,True
S20,preserve,ENTRY_HIGH_IN_VALUE,RISK,False
S24,preserve,ENTRY_HIGH_IN_VALUE,RISK,False
S25,preserve,ENTRY_AT_VALUE_LOW,GOOD,True
S26,preserve,ENTRY_EXTENDED_FROM_DEMAND,RISK,False
S27,preserve,ENTRY_AT_VALUE_LOW,GOOD,True
S29,preserve,ENTRY_NO_DEMAND_BASE,RISK,False
S30,preserve,ENTRY_EXTENDED_FROM_DEMAND,RISK,False
S31,preserve,ENTRY_PULLBACK_TO_DEMAND,GOOD,True
S32,preserve,ENTRY_PULLBACK_TO_DEMAND,GOOD,True
S35,preserve,ENTRY_NEUTRAL,NEUTRAL,True
S36,preserve,ENTRY_EXTENDED_FROM_DEMAND,RISK,False
S37,preserve,ENTRY_AT_VALUE_LOW,GOOD,True
S38,preserve,ENTRY_HIGH_IN_VALUE,RISK,False
T40,block,ENTRY_AT_VALUE_LOW,GOOD,False
