plot_id,set,entry_state,entry_family,reason,feature_values,final_verdict,macro_v1_family,macro_v1_state
S1,A,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=3.29;dist_VAL=-0.25;below_VAL=True;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,BULL_PULLBACK_CONTINUATION
S3,A,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=1.28;dist_VAL=1.27;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,RANGE_MACRO_BULL_RECLAIM
S4,A,ENTRY_NEUTRAL,NEUTRAL,neutral,dist_demand=1.91;dist_VAL=1.21;below_VAL=False;demand_cat=DEMAND_PRESENT_NEUTRAL,PROTECT,BULL,RANGE_MACRO_BULL_RECLAIM
S5,A,ENTRY_NO_DEMAND_BASE,RISK,no_demand,dist_demand=7.25;dist_VAL=0.48;below_VAL=False;demand_cat=DEMAND_ABSENT_OR_IRRELEVANT,PROTECT,BULL,NO_OVERHEAD_MARKUP
S6,A,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=1.62;dist_VAL=0.67;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,RANGE_MACRO_BULL_RECLAIM
S7,A,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=2.82;dist_VAL=0.84;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,RISK,BEAR_BOUNCE_RISK
S8,A,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=1.39;dist_VAL=0.14;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,RISK,CORRECTIVE_BEAR_LEG
S12,A,ENTRY_NO_DEMAND_BASE,RISK,no_demand,dist_demand=5.27;dist_VAL=1.39;below_VAL=False;demand_cat=DEMAND_ABSENT_OR_IRRELEVANT,PROTECT,BULL,MACRO_BULL_RUN_CONTINUATION
S13,A,ENTRY_NO_DEMAND_BASE,RISK,no_demand,dist_demand=None;dist_VAL=4.13;below_VAL=False;demand_cat=DEMAND_ABSENT_OR_IRRELEVANT,PROTECT,RISK,BEAR_BOUNCE_RISK
S15,A,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=2.99;dist_VAL=1.59;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,RISK,BEAR_BOUNCE_RISK
S16,A,ENTRY_NO_DEMAND_BASE,RISK,no_demand,dist_demand=5.67;dist_VAL=1.47;below_VAL=False;demand_cat=DEMAND_ABSENT_OR_IRRELEVANT,PROTECT,BULL,RANGE_MACRO_BULL_RECLAIM
S17,A,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=2.67;dist_VAL=0.61;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,BULL_PULLBACK_CONTINUATION
S20,A,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=2.84;dist_VAL=2.01;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,RANGE_MACRO_BULL_RECLAIM
S24,A,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=2.76;dist_VAL=1.68;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,RANGE_MACRO_BULL_RECLAIM
S25,A,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=1.5;dist_VAL=-0.55;below_VAL=True;demand_cat=DEMAND_PRESENT_NEUTRAL,PROTECT,BULL,MACRO_BULL_RUN_CONTINUATION
S26,A,ENTRY_EXTENDED_FROM_DEMAND,RISK,extended,dist_demand=4.79;dist_VAL=-0.38;below_VAL=True;demand_cat=DEMAND_TOO_DEEP,PROTECT,RISK,CORRECTIVE_BEAR_LEG
S27,A,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=2.55;dist_VAL=0.43;below_VAL=False;demand_cat=DEMAND_ORIGIN_OF_LEG,PROTECT,RISK,CORRECTIVE_BEAR_LEG
S29,A,ENTRY_NO_DEMAND_BASE,RISK,no_demand,dist_demand=5.4;dist_VAL=0.2;below_VAL=False;demand_cat=DEMAND_ABSENT_OR_IRRELEVANT,PROTECT,BULL,NO_OVERHEAD_MARKUP
S30,A,ENTRY_EXTENDED_FROM_DEMAND,RISK,extended,dist_demand=4.29;dist_VAL=3.1;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,NO_OVERHEAD_MARKUP
S31,A,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=2.86;dist_VAL=0.64;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,NO_OVERHEAD_MARKUP
S32,A,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=2.63;dist_VAL=1.49;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,NO_OVERHEAD_MARKUP
S34,A,ENTRY_NEUTRAL,NEUTRAL,neutral,dist_demand=3.24;dist_VAL=0.75;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,NO_OVERHEAD_MARKUP
S35,A,ENTRY_NEUTRAL,NEUTRAL,neutral,dist_demand=0.98;dist_VAL=0.54;below_VAL=False;demand_cat=DEMAND_PRESENT_NEUTRAL,PROTECT,BULL,MACRO_BULL_RUN_CONTINUATION
S36,A,ENTRY_EXTENDED_FROM_DEMAND,RISK,extended,dist_demand=4.94;dist_VAL=0.25;below_VAL=False;demand_cat=DEMAND_TOO_DEEP,PROTECT,BULL,MACRO_BULL_RUN_CONTINUATION
S37,A,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=3.76;dist_VAL=0.0;below_VAL=False;demand_cat=DEMAND_PRESENT_NEUTRAL,PROTECT,BULL,MACRO_BULL_RUN_CONTINUATION
S38,A,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=3.53;dist_VAL=1.79;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,PROTECT,BULL,MACRO_BULL_RUN_CONTINUATION
T2,B,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=1.37;dist_VAL=0.05;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,MACRO_BULL_RUN_CONTINUATION
T3,B,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=0.39;dist_VAL=0.21;below_VAL=False;demand_cat=DEMAND_PRESENT_NEUTRAL,BLOCK,BULL,MACRO_BULL_RUN_CONTINUATION
T4,B,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=1.14;dist_VAL=0.09;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,NO_OVERHEAD_MARKUP
T9,B,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=3.76;dist_VAL=1.76;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,RISK,CORRECTIVE_BEAR_LEG
T11,B,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=2.25;dist_VAL=1.99;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,RISK,CORRECTIVE_BEAR_LEG
T12,B,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=1.78;dist_VAL=0.77;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,RISK,CORRECTIVE_BEAR_LEG
T15,B,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=2.89;dist_VAL=0.41;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,RISK,CORRECTIVE_BEAR_LEG
T16,B,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=1.4;dist_VAL=0.41;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,MACRO_BULL_RUN_CONTINUATION
T17,B,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=3.45;dist_VAL=1.7;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,RISK,CORRECTIVE_BEAR_LEG
T18,B,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=3.84;dist_VAL=2.45;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,NO_OVERHEAD_MARKUP
T20,B,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=1.04;dist_VAL=-0.25;below_VAL=True;demand_cat=DEMAND_PRESENT_NEUTRAL,BLOCK,BULL,BULL_PULLBACK_CONTINUATION
T23,B,ENTRY_EXTENDED_FROM_DEMAND,RISK,extended,dist_demand=4.17;dist_VAL=1.49;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,BULL_PULLBACK_CONTINUATION
T24,B,ENTRY_EXTENDED_FROM_DEMAND,RISK,extended,dist_demand=4.98;dist_VAL=1.64;below_VAL=False;demand_cat=DEMAND_TOO_DEEP,BLOCK,BULL,RANGE_MACRO_BULL_RECLAIM
T25,B,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=2.76;dist_VAL=1.61;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,NO_OVERHEAD_MARKUP
T26,B,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=2.71;dist_VAL=1.06;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,BULL_PULLBACK_CONTINUATION
T30,B,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=1.93;dist_VAL=0.52;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,CAPITULATION_RECLAIM_VALID
T40,B,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=2.12;dist_VAL=-0.33;below_VAL=True;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,NO_OVERHEAD_MARKUP
T42,B,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=2.64;dist_VAL=2.64;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,BLOCK,BULL,BULL_PULLBACK_CONTINUATION
S9,C,ENTRY_EXTENDED_FROM_DEMAND,RISK,extended,dist_demand=4.69;dist_VAL=-0.9;below_VAL=True;demand_cat=DEMAND_TOO_DEEP,REVIEW,RISK,CORRECTIVE_BEAR_LEG
S10,C,ENTRY_HIGH_IN_VALUE,RISK,high_in_value,dist_demand=2.93;dist_VAL=1.86;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,REVIEW,BULL,MACRO_BULL_RUN_CONTINUATION
S14,C,ENTRY_EXTENDED_FROM_DEMAND,RISK,extended,dist_demand=4.09;dist_VAL=1.49;below_VAL=False;demand_cat=DEMAND_PRESENT_NEUTRAL,TRANSFORM,RISK,BEAR_BOUNCE_RISK
S18,C,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=2.22;dist_VAL=0.86;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,REVIEW,BULL,NO_OVERHEAD_MARKUP
S19,C,ENTRY_NO_DEMAND_BASE,RISK,no_demand,dist_demand=12.22;dist_VAL=0.83;below_VAL=False;demand_cat=DEMAND_ABSENT_OR_IRRELEVANT,BLOCK,RISK,BEAR_BOUNCE_RISK
S21,C,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=1.85;dist_VAL=1.3;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,REVIEW,BULL,MACRO_BULL_RUN_CONTINUATION
S22,C,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=3.94;dist_VAL=0.16;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,REVIEW,BULL,NO_OVERHEAD_MARKUP
S23,C,ENTRY_AT_VALUE_LOW,GOOD,at_value_low,dist_demand=2.71;dist_VAL=0.42;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,REVIEW,BULL,MACRO_BULL_RUN_CONTINUATION
S28,C,ENTRY_PULLBACK_TO_DEMAND,GOOD,pullback_demand,dist_demand=2.12;dist_VAL=0.91;below_VAL=False;demand_cat=DEMAND_SUPPORTING_RETEST,REVIEW,BULL,BULL_PULLBACK_CONTINUATION
