episode_id,n_candidates,has_BOM,has_STRONG,first_ts,span_bars
0,4,0,1,1578985200,3
1,14,0,1,1579489200,27
2,5,0,1,1580223600,6
3,2,0,1,1580425200,1
4,1,0,0,1580742000,0
5,1,0,0,1580871600,0
6,20,0,1,1581015600,44
7,5,0,1,1582210800,13
8,17,0,1,1582671600,42
9,13,0,0,1583733600,18
10,13,0,1,1585000800,24
11,2,0,0,1585634400,1
12,4,0,1,1585749600,8
13,25,1,1,1586239200,37
14,14,0,1,1587146400,20
15,14,0,0,1587996000,17
16,8,0,0,1588572000,11
17,17,0,1,1588874400,30
18,6,0,0,1589810400,7
19,10,0,0,1590012000,16
20,11,0,1,1590688800,21
21,5,0,0,1591812000,10
22,15,1,1,1592229600,33
23,4,0,0,1593496800,5
24,19,0,1,1593698400,25
25,1,0,0,1594821600,0
26,7,0,1,1594994400,13
27,5,0,1,1595469600,10
28,7,1,1,1595930400,7
29,8,0,1,1596146400,10
30,3,0,1,1596578400,6
31,12,0,1,1596794400,22
32,10,0,1,1597658400,13
33,10,0,0,1598824800,14
34,30,0,1,1599660000,45
35,23,0,1,1601316000,41
36,3,0,1,1602194400,4
37,2,0,0,1602525600,2
38,22,0,1,1602669600,41
39,6,1,1,1604300400,10
40,1,0,1,1604559600,0
41,3,0,0,1604876400,7
42,9,0,0,1605265200,12
43,31,1,1,1606906800,61
44,12,0,1,1608231600,13
45,19,0,1,1608764400,28
46,6,0,0,1609959600,9
47,19,0,0,1611111600,31
48,15,0,1,1611831600,17
49,2,0,0,1613977200,5
50,3,0,0,1614178800,4
51,14,0,1,1615402800,29
52,11,0,1,1616104800,21
53,6,0,0,1616680800,9
54,51,1,1,1617688800,85
55,5,1,1,1619546400,12
56,17,0,1,1619992800,29
57,1,0,1,1620842400,0
58,18,0,1,1620986400,40
59,5,0,0,1622426400,5
60,3,0,0,1622642400,2
61,2,0,0,1623045600,3
62,3,0,1,1623304800,5
63,23,0,1,1625234400,37
64,2,0,1,1626228000,1
65,21,0,1,1626343200,47
66,28,0,1,1627495200,33
67,2,0,1,1628704800,1
68,1,0,1,1628834400,0
69,53,0,1,1629856800,83
70,4,0,0,1632276000,7
71,10,0,1,1633053600,22
72,1,0,0,1633687200,0
