bar_idx,datetime,episode_type,decision,mfe_R,reason_to_plot
78,2020-01-20,MARKUP_CONTINUATION,TAKE,0.97,high_conf_take_but_loser
149,2020-02-05,LEGITIMATE_BEAR_BUY,TAKE,0.0,high_conf_take_but_loser
351,2020-03-23,BEAR_PULLBACK_TRAP,SKIP,5.13,skip_but_runner
391,2020-04-01,DISTRIBUTION_TOP,SKIP,10.4,monumental_skipped
685,2020-06-10,MARKUP_CONTINUATION,TAKE,0.09,high_conf_take_but_loser
833,2020-07-15,MARKUP_CONTINUATION,TAKE,0.21,high_conf_take_but_loser
1298,2020-11-02,BEAR_PULLBACK_TRAP,SKIP,5.1,skip_but_runner
1522,2020-12-23,RANGE_ABSORPTION,SKIP,5.65,skip_but_runner
2747,2021-10-12,RANGE_ABSORPTION,SKIP,5.38,skip_but_runner
2896,2021-11-15,BULL_PULLBACK,TAKE,0.81,high_conf_take_but_loser
3070,2021-12-28,MARKUP_CONTINUATION,TAKE,0.29,high_conf_take_but_loser
3126,2022-01-10,RANGE_ABSORPTION,SKIP,5.05,skip_but_runner
3147,2022-01-14,MARKUP_CONTINUATION,TAKE,0.27,high_conf_take_but_loser
3443,2022-03-24,MARKUP_CONTINUATION,TAKE,0.82,high_conf_take_but_loser
4429,2022-11-10,REVERSAL_RUNNER,TAKE,1.64,high_conf_take_but_loser
4677,2023-01-11,MARKUP_CONTINUATION,TAKE,0.0,high_conf_take_but_loser
4926,2023-03-09,BEAR_PULLBACK_TRAP,SKIP,18.03,monumental_skipped
4996,2023-03-27,BULL_PULLBACK,SKIP,15.38,monumental_skipped
5478,2023-07-18,MARKUP_CONTINUATION,TAKE,0.77,high_conf_take_but_loser
5627,2023-08-22,BEAR_PULLBACK_TRAP,SKIP,5.96,skip_but_runner
5998,2023-11-16,MARKUP_CONTINUATION,TAKE,1.04,high_conf_take_but_loser
6791,2024-05-23,DISTRIBUTION_TOP,SKIP,7.63,skip_but_runner
6977,2024-07-05,MARKUP_CONTINUATION,TAKE,0.01,high_conf_take_but_loser
7053,2024-07-24,BULL_PULLBACK_CONTINUATION,TAKE,0.6,high_conf_take_but_loser
7232,2024-09-04,UNKNOWN_CONFLICT,SKIP,18.67,monumental_skipped
7509,2024-11-07,LEGITIMATE_BEAR_BUY,TAKE,0.56,high_conf_take_but_loser
7549,2024-11-18,BEAR_PULLBACK_TRAP,SKIP,5.53,skip_but_runner
7924,2025-02-14,BULL_PULLBACK,SKIP,9.59,skip_but_runner
8431,2025-06-16,BULL_PULLBACK,TAKE,0.0,high_conf_take_but_loser
8823,2025-09-15,MARKUP_CONTINUATION,TAKE,1.05,high_conf_take_but_loser
9215,2025-12-16,SUPPLY_REJECTION,SKIP,17.05,monumental_skipped
9329,2026-01-14,MARKUP_CONTINUATION,TAKE,0.21,high_conf_take_but_loser
