bar_idx,datetime,episode_type,decision,mfe_R,capped_realR,vstair_R,reason
78,2020-01-20,MARKUP_CONTINUATION,TAKE,0.97,-1.1,-1.0,high_conf_take_but_loser
149,2020-02-05,LEGITIMATE_BEAR_BUY,TAKE,0.0,2.7,-1.0,high_conf_take_but_loser
351,2020-03-23,BEAR_PULLBACK_TRAP,SKIP,5.13,0.82,0.0,skip_but_runner
391,2020-04-01,DISTRIBUTION_TOP,SKIP,10.4,3.9,5.0,monumental_skipped
685,2020-06-10,MARKUP_CONTINUATION,TAKE,0.09,0.38,-1.0,high_conf_take_but_loser
833,2020-07-15,MARKUP_CONTINUATION,TAKE,0.21,3.9,-1.0,high_conf_take_but_loser
1298,2020-11-02,BEAR_PULLBACK_TRAP,SKIP,5.1,0.9,2.0,skip_but_runner
1522,2020-12-23,RANGE_ABSORPTION,SKIP,5.65,0.9,2.0,skip_but_runner
2544,2021-08-25,BULL_PULLBACK,TAKE,0.6,0.9,-1.0,loser_streak13
2663,2021-09-22,MARKUP_CONTINUATION,TAKE,0.24,-1.1,-1.0,loser_streak13
2737,2021-10-08,REVERSAL_RUNNER,TAKE,0.0,-1.1,-1.0,loser_streak13
2747,2021-10-12,RANGE_ABSORPTION,SKIP,5.38,0.9,0.0,skip_but_runner
2859,2021-11-05,MARKUP_CONTINUATION,TAKE,4.16,0.36,0.0,loser_streak13
2896,2021-11-15,BULL_PULLBACK,TAKE,0.81,-1.1,-1.0,high_conf_take_but_loser+loser_streak13
2905,2021-11-17,BULL_PULLBACK,TAKE,0.38,-1.1,-1.0,loser_streak13
2944,2021-11-26,LEGITIMATE_BEAR_BUY,TAKE,1.46,-1.1,-1.0,loser_streak13
3029,2021-12-16,LEGITIMATE_BEAR_BUY,TAKE,2.88,0.59,0.0,loser_streak13
3070,2021-12-28,MARKUP_CONTINUATION,TAKE,0.29,-1.1,-1.0,high_conf_take_but_loser+loser_streak13
3085,2021-12-30,BULL_PULLBACK,TAKE,1.75,-1.1,-1.0,loser_streak13
3126,2022-01-10,RANGE_ABSORPTION,SKIP,5.05,2.02,2.0,skip_but_runner
3147,2022-01-14,MARKUP_CONTINUATION,TAKE,0.27,-1.1,-1.0,high_conf_take_but_loser+loser_streak13
3219,2022-02-01,LEGITIMATE_BEAR_BUY,TAKE,0.92,2.66,-1.0,loser_streak13
3238,2022-02-04,MARKUP_CONTINUATION,TAKE,0.0,2.41,-1.0,loser_streak13
3443,2022-03-24,MARKUP_CONTINUATION,TAKE,0.82,-1.1,-1.0,high_conf_take_but_loser
4429,2022-11-10,REVERSAL_RUNNER,TAKE,1.64,-0.11,-1.0,high_conf_take_but_loser
4677,2023-01-11,MARKUP_CONTINUATION,TAKE,0.0,2.05,-1.0,high_conf_take_but_loser
4926,2023-03-09,BEAR_PULLBACK_TRAP,SKIP,18.03,3.9,12.0,monumental_skipped
4996,2023-03-27,BULL_PULLBACK,SKIP,15.38,2.51,0.0,monumental_skipped
5478,2023-07-18,MARKUP_CONTINUATION,TAKE,0.77,-1.1,-1.0,high_conf_take_but_loser
5627,2023-08-22,BEAR_PULLBACK_TRAP,SKIP,5.96,1.96,2.0,skip_but_runner
5998,2023-11-16,MARKUP_CONTINUATION,TAKE,1.04,2.0,-1.0,high_conf_take_but_loser
6791,2024-05-23,DISTRIBUTION_TOP,SKIP,7.63,1.91,2.0,skip_but_runner
6977,2024-07-05,MARKUP_CONTINUATION,TAKE,0.01,-1.1,-1.0,high_conf_take_but_loser
7053,2024-07-24,BULL_PULLBACK_CONTINUATION,TAKE,0.6,-1.1,-1.0,high_conf_take_but_loser
7232,2024-09-04,UNKNOWN_CONFLICT,SKIP,18.67,3.9,15.68,monumental_skipped
7509,2024-11-07,LEGITIMATE_BEAR_BUY,TAKE,0.56,-1.1,-1.0,high_conf_take_but_loser
7549,2024-11-18,BEAR_PULLBACK_TRAP,SKIP,5.53,1.5,2.0,skip_but_runner
7924,2025-02-14,BULL_PULLBACK,SKIP,9.59,3.9,5.0,skip_but_runner
8431,2025-06-16,BULL_PULLBACK,TAKE,0.0,-1.1,-1.0,high_conf_take_but_loser
8823,2025-09-15,MARKUP_CONTINUATION,TAKE,1.05,2.05,-1.0,high_conf_take_but_loser
9215,2025-12-16,SUPPLY_REJECTION,SKIP,17.05,3.9,8.0,monumental_skipped
9329,2026-01-14,MARKUP_CONTINUATION,TAKE,0.21,-1.1,-1.0,high_conf_take_but_loser
