policy,scope,cost,n,sumR,avgR,WR,PF,maxDD,Lstreak,runner_cap,giveback,big_pres
capped_4R,ALL,0.35,276,68.8,0.249,33.0,1.28,24.3,11,262.8,480.1,72
letrun_static,ALL,0.35,276,144.6,0.524,22.8,1.5,28.9,16,391.3,351.6,72
vstair,ALL,0.35,276,111.1,0.402,23.9,1.46,59.6,18,343.7,399.2,72
be2R_letrun,ALL,0.35,276,55.1,0.2,15.6,1.22,49.2,24,287.7,455.2,72
partial50_trail,ALL,0.35,276,31.2,0.113,39.1,1.14,48.9,10,231.3,511.6,72
capped_4R,ALL,0.2,276,110.2,0.399,33.0,1.5,16.0,11,273.6,480.1,72
capped_4R,ALL,0.35,276,68.8,0.249,33.0,1.28,24.3,11,262.8,480.1,72
capped_4R,ALL,0.5,276,27.4,0.099,33.0,1.1,42.5,11,252.0,480.1,72
letrun_static,ALL,0.2,276,186.0,0.674,22.8,1.73,23.0,16,402.1,351.6,72
letrun_static,ALL,0.35,276,144.6,0.524,22.8,1.5,28.9,16,391.3,351.6,72
letrun_static,ALL,0.5,276,103.2,0.374,22.8,1.32,41.7,16,380.5,351.6,72
vstair,ALL,0.2,276,152.5,0.552,23.9,1.73,47.1,18,354.5,399.2,72
vstair,ALL,0.35,276,111.1,0.402,23.9,1.46,59.6,18,343.7,399.2,72
vstair,ALL,0.5,276,69.7,0.252,23.9,1.26,72.0,18,332.9,399.2,72
be2R_letrun,ALL,0.2,276,96.5,0.35,15.6,1.45,39.3,24,298.5,455.2,72
be2R_letrun,ALL,0.35,276,55.1,0.2,15.6,1.22,49.2,24,287.7,455.2,72
be2R_letrun,ALL,0.5,276,13.7,0.05,15.6,1.05,60.0,24,276.9,455.2,72
partial50_trail,ALL,0.2,276,72.6,0.263,39.1,1.36,35.2,10,242.1,511.6,72
partial50_trail,ALL,0.35,276,31.2,0.113,39.1,1.14,48.9,10,231.3,511.6,72
partial50_trail,ALL,0.5,276,-10.2,-0.037,39.1,0.96,72.4,10,220.5,511.6,72
capped_4R,P1_2020-22,0.35,120,21.5,0.179,31.7,1.19,18.6,8,98.6,167.5,27
capped_4R,P2_2023-26,0.35,156,47.3,0.303,34.0,1.34,24.2,11,164.3,312.6,45
letrun_static,P1_2020-22,0.35,120,58.2,0.485,22.5,1.46,28.9,12,163.0,103.1,27
letrun_static,P2_2023-26,0.35,156,86.4,0.554,23.1,1.53,23.8,16,228.3,248.5,45
vstair,P1_2020-22,0.35,120,-10.4,-0.086,20.0,0.91,59.6,17,93.6,172.5,27
vstair,P2_2023-26,0.35,156,121.4,0.778,26.9,1.92,25.1,18,250.1,226.7,45
be2R_letrun,P1_2020-22,0.35,120,-2.1,-0.017,13.3,0.98,49.2,24,101.9,164.2,27
be2R_letrun,P2_2023-26,0.35,156,57.2,0.366,17.3,1.42,23.5,18,185.8,291.0,45
partial50_trail,P1_2020-22,0.35,120,-20.2,-0.168,36.7,0.8,47.5,8,69.1,197.0,27
partial50_trail,P2_2023-26,0.35,156,51.4,0.33,41.0,1.41,22.0,10,162.2,314.6,45
