bar_idx,datetime,mfe_R,capped,letrun,policy,class_ABCDE,leg,context
55,2020-01-14,5.01,0.97,2.74,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
78,2020-01-20,0.97,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
116,2020-01-28,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
130,2020-01-30,10.46,0.79,-1.0,TAKE,B_bom_prejudicado_exit,MACRO_RANGE,PULLBACK
140,2020-02-03,0.41,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
149,2020-02-05,0.0,2.7,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,BOTTOM
159,2020-02-06,12.69,2.83,10.74,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
217,2020-02-20,6.52,0.75,-1.0,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
237,2020-02-25,1.2,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
287,2020-03-09,0.81,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
351,2020-03-23,5.13,0.82,3.38,REVIEW,B_bom_prejudicado_exit,MACRO_TRANSITION,NEUTRAL
383,2020-03-31,0.0,0.61,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
391,2020-04-01,10.4,3.9,6.4,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
413,2020-04-07,4.88,1.46,2.56,TAKE,C_bom_preservado,MACRO_RANGE,PULLBACK
458,2020-04-17,0.0,0.32,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
493,2020-04-27,0.94,0.9,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
521,2020-05-04,0.32,1.37,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
542,2020-05-07,0.47,0.22,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
583,2020-05-18,1.44,0.02,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
597,2020-05-20,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
631,2020-05-28,1.98,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
685,2020-06-10,0.09,0.38,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
702,2020-06-15,5.67,2.43,4.75,TAKE,C_bom_preservado,MACRO_CORRECTIVE_PULLBACK,PULLBACK
766,2020-06-30,0.0,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
780,2020-07-02,14.6,1.43,12.8,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
833,2020-07-15,0.21,3.9,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
845,2020-07-17,30.71,3.9,15.24,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
866,2020-07-23,12.59,2.09,4.52,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
886,2020-07-28,4.68,-0.04,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
901,2020-07-30,5.01,0.9,-1.0,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
919,2020-08-04,3.31,-1.1,-1.0,TAKE,E_residual,MACRO_BULL_LEG,PULLBACK
934,2020-08-07,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
970,2020-08-17,1.73,-0.13,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
1027,2020-08-30,0.84,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
1072,2020-09-09,1.42,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
1151,2020-09-28,2.73,1.1,1.09,SKIP,C_bom_preservado,MACRO_RANGE,TOP
1200,2020-10-08,1.7,-0.16,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
1211,2020-10-12,0.0,-0.59,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
1221,2020-10-14,0.03,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
1298,2020-11-02,5.1,0.9,-1.0,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
1316,2020-11-05,2.47,-1.1,-1.0,TAKE,E_residual,MACRO_BEAR_LEG,PULLBACK
1326,2020-11-08,0.49,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_CORRECTIVE_PULLBACK,PULLBACK
1353,2020-11-13,0.56,-1.1,-1.0,SKIP,E_residual,MACRO_TRANSITION,TOP
1429,2020-12-02,5.99,0.55,5.1,SKIP,B_bom_prejudicado_exit,MACRO_BEAR_LEG,TOP
1497,2020-12-17,1.33,1.2,-1.0,REVIEW,E_residual,MACRO_BEAR_LEG,NEUTRAL
1522,2020-12-23,5.65,0.9,-1.0,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
1568,2021-01-06,0.46,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
1623,2021-01-20,0.31,-1.1,-1.0,SKIP,E_residual,MACRO_TRANSITION,TOP
1661,2021-01-28,0.0,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
1761,2021-02-22,1.21,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
1775,2021-02-24,0.53,-1.1,-1.0,REVIEW,E_residual,MACRO_BEAR_LEG,NEUTRAL
1836,2021-03-10,0.95,0.05,-1.0,REVIEW,E_residual,MACRO_BEAR_LEG,NEUTRAL
1873,2021-03-18,1.2,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
1901,2021-03-25,1.36,-1.1,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
1941,2021-04-06,6.04,0.9,4.66,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
2034,2021-04-27,0.0,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
2053,2021-05-02,16.88,3.32,16.3,SKIP,B_bom_prejudicado_exit,MACRO_BULL_LEG,TOP
2100,2021-05-12,2.39,1.78,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
2110,2021-05-14,5.07,1.86,2.39,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
2174,2021-05-31,0.81,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
2188,2021-06-02,0.25,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
2204,2021-06-07,1.21,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
2222,2021-06-10,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
2320,2021-07-02,3.56,1.47,2.03,SKIP,C_bom_preservado,MACRO_TRANSITION,TOP
2364,2021-07-14,1.75,-1.1,-1.0,SKIP,E_residual,MACRO_CORRECTIVE_PULLBACK,TOP
2372,2021-07-15,1.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
2428,2021-07-28,2.35,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
2488,2021-08-11,6.2,1.02,2.81,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
2497,2021-08-13,7.42,1.99,3.58,SKIP,B_bom_prejudicado_exit,MACRO_BEAR_LEG,TOP
2544,2021-08-25,0.6,0.9,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
2663,2021-09-22,0.24,-1.1,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
2705,2021-10-01,4.66,1.19,3.35,SKIP,C_bom_preservado,MACRO_BEAR_LEG,TOP
2737,2021-10-08,0.0,-1.1,-1.0,REVIEW,E_residual,MACRO_BEAR_LEG,NEUTRAL
2747,2021-10-12,5.38,0.9,5.11,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
2859,2021-11-05,4.16,0.36,-1.0,REVIEW_RISK,E_residual,MACRO_RANGE,PULLBACK
2896,2021-11-15,0.81,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
2905,2021-11-17,0.38,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
2922,2021-11-22,0.0,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
2944,2021-11-26,1.46,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
2991,2021-12-08,0.45,-1.1,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
3011,2021-12-13,0.12,-1.1,-1.0,REVIEW,E_residual,MACRO_RANGE,NEUTRAL
3029,2021-12-16,2.88,0.59,2.35,TAKE,C_bom_preservado,MACRO_RANGE,PULLBACK
3070,2021-12-28,0.29,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_TRANSITION,PULLBACK
3085,2021-12-30,1.75,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_TRANSITION,PULLBACK
3102,2022-01-04,1.23,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
3118,2022-01-07,0.0,0.99,-1.0,SKIP,E_residual,MACRO_BULL_LEG,BOTTOM
