idx,entry_ts,entry,struct_stop,target_2R,risk_atr,stopLevel_ticks,profitLevel_ticks,outcomeR,result,label_color,long_position_entity_id,label_entity_id
217,2020-02-20 15:00,1618.92,1561.27,1734.22,8.01,5765,11530,0.75,WIN,#1a8917,egYG6j,j5Xryb
413,2020-04-07 06:00,1650.38,1566.71,1817.71,6.17,8367,16733,0.52,WIN,#1a8917,B5sa3i,SgqUkS
866,2020-07-23 02:00,1869.42,1793.81,2020.64,6.94,7561,15122,2.09,WIN,#1a8917,oyffdD,UzceMt
919,2020-08-04 22:00,2016.48,1959.31,2130.83,4.83,5717,11435,-1.1,LOSER,#cc0000,v9BM9H,CAku6O
2372,2021-07-15 10:00,1825.37,1790.81,1894.49,4.48,3456,6912,-1.1,LOSER,#cc0000,EI38UU,PLtTNL
4429,2022-11-10 19:00,1755.45,1700.94,1864.47,4.33,5451,10902,-0.11,LOSER,#cc0000,9tnU0U,qduc1c
4964,2023-03-20 02:00,1988.08,1884.19,2195.87,7.05,10389,20779,-0.43,LOSER,#cc0000,e3GvKk,lMlvKO
5042,2023-04-06 02:00,2015.59,1948.71,2149.36,6.73,6688,13377,-0.41,LOSER,#cc0000,XriTs5,0VkLgB
5478,2023-07-18 18:00,1978.73,1944.99,2046.21,4.51,3374,6748,-1.1,LOSER,#cc0000,5VirkS,lmu8D9
5668,2023-08-31 10:00,1943.76,1913.81,2003.67,5.05,2995,5991,-1.1,LOSER,#cc0000,AZ65mt,GtB1yL
5866,2023-10-17 10:00,1927.8,1866.81,2049.77,5.73,6099,12197,1.13,WIN,#1a8917,EaQUb5,KFgzRb
6049,2023-11-29 03:00,2044.63,1986.06,2161.76,6.92,5857,11713,-1.1,LOSER,#cc0000,UUnUUI,t3VlT2
6453,2024-03-05 11:00,2128.15,2026.72,2331.01,7.62,10143,20286,0.13,WIN,#1a8917,wcB3i4,QlMfPS
6471,2024-03-08 11:00,2170.8,2026.78,2458.83,11.37,14402,28803,-0.05,LOSER,#cc0000,truL41,NQDMqb
6523,2024-03-21 02:00,2204.89,2146.01,2322.66,5.53,5888,11777,1.17,WIN,#1a8917,bpWOry,YrY0bi
6597,2024-04-09 10:00,2355.41,2265.91,2534.4,4.82,8950,17899,-0.39,LOSER,#cc0000,Siywgf,gyd2hU
6767,2024-05-17 18:00,2414.36,2369.5,2504.08,3.53,4486,8972,-1.1,LOSER,#cc0000,fFz3Ab,ISWhtz
6977,2024-07-05 18:00,2391,2317.89,2537.21,7.98,7311,14621,0.03,WIN,#1a8917,jEV0p7,t7wcPQ
7022,2024-07-17 06:00,2475.12,2390.02,2645.33,6.38,8510,17021,-1.1,LOSER,#cc0000,LmOtB2,VeAC8Q
7426,2024-10-18 14:00,2715.82,2637.03,2873.41,7.33,7880,15759,0.16,WIN,#1a8917,iCQeJG,EYTJFN
7797,2025-01-16 15:00,2715.27,2655.54,2834.74,5.08,5973,11947,1.24,WIN,#1a8917,x0bgti,8EpbdV
7816,2025-01-21 19:00,2744.66,2688.15,2857.67,4.68,5651,11301,1.62,WIN,#1a8917,gyrLIi,FP0lfX
7902,2025-02-11 03:00,2917.86,2832.16,3089.26,4.76,8570,17140,0.11,WIN,#1a8917,J4Wrgm,IBFSr0
8111,2025-03-31 22:00,3135.45,3010.31,3385.74,7.39,12514,25029,-1.1,LOSER,#cc0000,wXC0lP,g7PlSY
8589,2025-07-22 18:00,3431.66,3308.17,3678.65,8.21,12349,24699,-1.1,LOSER,#cc0000,3eXIOH,y618gh
8765,2025-09-02 02:00,3493.12,3402.51,3674.33,5.5,9061,18121,1.95,WIN,#1a8917,pTDPFn,q9RK1j
8858,2025-09-23 14:00,3777.47,3625.71,4080.99,7.48,15176,30352,1.24,WIN,#1a8917,OnieJc,cPOpgZ
8923,2025-10-08 10:00,4038,3816.67,4480.66,9.18,22133,44266,0.07,WIN,#1a8917,tLcUzl,TlYsxe
9243,2025-12-22 19:00,4443.68,4305.97,4719.1,5.42,13771,27542,-1.1,LOSER,#cc0000,y7AJbt,OQ2Iqc
9368,2026-01-22 19:00,4936.3,4750.15,5308.6,3.45,18615,37230,0.9,WIN,#1a8917,o7ghcT,OHda5U
9390,2026-01-28 11:00,5286.08,4984.46,5889.32,5.53,30162,60324,-1.1,LOSER,#cc0000,FhMWKk,19Owj4
