episode_id,entry_ts,RSI,legpos90,near_high_data,rsi_high_data,visual_label,data_assessment,blowoff_visual,top_sweep_visual,should_be,notes
E14,2020-02-20 15:00,75.6,94,yes,yes,NEEDS_SECOND_REVIEW,UNCLEAR (macro review),AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
E22,2020-07-23 02:00,77.3,94,yes,yes,VALID_SETUP_BAD_SL,LIKELY_FALSE_POSITIVE (winner SL-fix),AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
E23,2020-08-04 22:00,77.5,94,yes,yes,BLOWOFF_TOP_REJECT,TRUE_TOP (confirmado visual prévio),AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx2372,2021-07-15 10:00,70.5,89,yes,yes,,UNLABELED_MEDIUM,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx4429,2022-11-10 19:00,81.1,99,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx4964,2023-03-20 02:00,71.9,99,yes,yes,,UNLABELED_MEDIUM,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx5042,2023-04-06 02:00,70.5,87,maybe,yes,,UNLABELED_LOW,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx5478,2023-07-18 18:00,71.9,94,yes,yes,,UNLABELED_MEDIUM,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx5668,2023-08-31 10:00,70.1,92,yes,yes,,UNLABELED_MEDIUM,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx5866,2023-10-17 10:00,71.2,97,yes,yes,,UNLABELED_MEDIUM,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx6049,2023-11-29 03:00,83.3,94,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx6453,2024-03-05 11:00,82.4,91,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx6471,2024-03-08 11:00,81.1,92,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx6523,2024-03-21 02:00,77.5,91,yes,yes,,UNLABELED_MEDIUM,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx6597,2024-04-09 10:00,76.3,95,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx6767,2024-05-17 18:00,72.8,94,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx6977,2024-07-05 18:00,76.6,98,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx7022,2024-07-17 06:00,73.3,96,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx7426,2024-10-18 14:00,77.3,96,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
idx7797,2025-01-16 15:00,73.3,93,yes,yes,,UNLABELED_HIGH,AWAITING_USER,AWAITING_USER,REVIEW,dados causais; leitura visual pendente do Cris (não fabricada)
